,mean_rank
OliverWyman-Navigator,10.0
MSRA-DeepST,11.9
IowaStateLW-STEM,12.1
OneQuietNight-ML,12.2
COVIDhub-ensemble,12.3
Geneva-DetGrowth,13.1
JHU_CSSE-DECOM,13.3
JCB-PRM,13.4
Google_Harvard-CPF,13.6
LANL-GrowthRate,13.6
BPagano-RtDriven,14.0
UCLA-SuEIR,14.5
UVA-Ensemble,14.5
JHUAPL-Bucky,15.1
COVIDhub-baseline,15.1
Karlen-pypm,15.2
Covid19Sim-Simulator,15.2
CEID-Walk,15.4
LNQ-ens1,15.4
USC-SI_kJalpha,15.5
DDS-NBDS,16.5
CU-select,16.9
IQVIA_ACOE-STAN,16.9
RobertWalraven-ESG,17.3
UChicagoCHATTOPADHYAY-UnIT,17.5
CovidAnalytics-DELPHI,17.7
USACE-ERDC_SEIR,20.5
UCSB-ACTS,21.5
TTU-squider,21.6
JHU_IDD-CovidSP,23.3
