,predicted_cases,actual_cases,error,perc_error
CU-select,3681151.0,3690210,-9059.0,-0.2%
UCLA-SuEIR,3617562.0,3690210,-72648.0,-2.0%
QJHong-Encounter,3782024.5,3690210,91814.5,2.5%
COVIDhub-ensemble,3806969.0,3690210,116759.0,3.2%
MSRA-DeepST,3912114.0,3690210,221904.0,6.0%
IBF-TimeSeries,3459128.0,3690210,-231082.0,-6.3%
JCB-PRM,3419587.6,3690210,-270622.4,-7.3%
OliverWyman-Navigator,4124654.0,3690210,434444.0,11.8%
USACE-ERDC_SEIR,3248367.9,3690210,-441842.1,-12.0%
BPagano-RtDriven,4134170.3,3690210,443960.3,12.0%
JHU_CSSE-DECOM,4146178.0,3690210,455968.0,12.4%
UVA-Ensemble,4219455.7,3690210,529245.7,14.3%
LNQ-ens1,4237097.9,3690210,546887.9,14.8%
IowaStateLW-STEM,3142454.0,3690210,-547756.0,-14.8%
CEID-Walk,3076591.1,3690210,-613618.9,-16.6%
COVIDhub-baseline,3053430.0,3690210,-636780.0,-17.3%
USC-SI_kJalpha,2787511.0,3690210,-902699.0,-24.5%
UCF-AEM,2757200.0,3690210,-933010.0,-25.3%
JHU_IDD-CovidSP,2705741.5,3690210,-984468.5,-26.7%
Karlen-pypm,4750151.4,3690210,1059941.4,28.7%
LANL-GrowthRate,4833895.5,3690210,1143685.5,31.0%
CovidAnalytics-DELPHI,2529023.0,3690210,-1161187.0,-31.5%
TTU-squider,2284729.1,3690210,-1405480.9,-38.1%
JHUAPL-Bucky,5113339.9,3690210,1423129.9,38.6%
UMich-RidgeTfReg,5137335.3,3690210,1447125.3,39.2%
RobertWalraven-ESG,5285029.0,3690210,1594819.0,43.2%
Columbia_UNC-SurvCon,6271529.0,3690210,2581319.0,70.0%
DDS-NBDS,7192247.6,3690210,3502037.6,94.9%
Google_Harvard-CPF,,3690210,,
JHU_UNC_GAS-StatMechPool,,3690210,,
UCSB-ACTS,,3690210,,
