,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,924,390.0,,418.0,,,,,340.0,,572.8,129.7,207.4,,311.4,,318.0,-534.0,,-506.0,,,,,-584.0,,-351.2,-794.3,-716.6,,-612.6,,-606.0,,True,,,,,False,,True,False,False,,False,,False
01003,2984,1722.0,,2754.0,,,,,2000.0,,877.9,684.6,1444.6,,1056.0,,0.0,-1262.0,,-230.0,,,,,-984.0,,-2106.1,-2299.4,-1539.4,,-1928.0,,-2984.0,,True,,,,,True,,False,False,False,,False,,False
01005,189,324.0,,399.0,,,,,172.0,,354.8,75.0,122.8,,,,243.0,135.0,,210.0,,,,,-17.0,,165.8,-114.0,-66.2,,,,54.0,,False,,,,,True,,False,True,True,,,,True
01007,444,318.0,,367.0,,,,,170.0,,523.5,58.0,210.7,,,,483.0,-126.0,,-77.0,,,,,-274.0,,79.5,-386.0,-233.3,,,,39.0,,True,,,,,False,,True,False,False,,,,True
01009,1334,708.0,,1627.0,,,,,513.0,,912.9,97.9,456.3,,336.0,,269.0,-626.0,,293.0,,,,,-821.0,,-421.1,-1236.1,-877.7,,-998.0,,-1065.0,,True,,,,,False,,True,False,False,,False,,False
01011,66,84.0,,1.0,,,,,70.0,,69.5,28.3,23.2,,,,0.0,18.0,,-65.0,,,,,4.0,,3.5,-37.7,-42.8,,,,-66.0,,False,,,,,True,,True,False,False,,,,False
01013,216,102.0,,0.0,,,,,137.0,,232.9,40.6,21.1,,,,18.0,-114.0,,-216.0,,,,,-79.0,,16.9,-175.4,-194.9,,,,-198.0,,False,,,,,True,,True,False,False,,,,False
01015,2440,3006.0,,1495.0,,,,,1119.0,,1377.1,465.9,2585.1,,1755.2,,0.0,566.0,,-945.0,,,,,-1321.0,,-1062.9,-1974.1,145.1,,-684.8,,-2440.0,,False,,,,,False,,False,False,True,,False,,False
01017,554,504.0,,1149.0,,,,,242.0,,529.3,80.0,203.2,,223.8,,1556.0,-50.0,,595.0,,,,,-312.0,,-24.7,-474.0,-350.8,,-330.2,,1002.0,,False,,,,,False,,True,False,False,,False,,False
01019,358,120.0,,123.0,,,,,269.0,,368.7,78.4,35.9,,,,91.0,-238.0,,-235.0,,,,,-89.0,,10.7,-279.6,-322.1,,,,-267.0,,True,,,,,True,,True,False,False,,,,False
