,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,73976,45045.0,32348.7,51461.0,,58356.7,20137.0,,42856.0,51383.2,66871.9,11322.6,65189.8,63341.5,,16637.7,40619.0,-28931.0,-41627.3,-22515.0,,-15619.3,-53839.0,,-31120.0,-22592.8,-7104.1,-62653.4,-8786.2,-10634.5,,-57338.3,-33357.0,False,True,,True,False,,False,True,True,False,True,True,,False,False
Alaska,19916,14050.0,889.8,14828.0,,13042.2,6487.0,,,14796.3,36806.5,3064.9,25105.1,22595.0,,12280.3,1995.0,-5866.0,-19026.2,-5088.0,,-6873.8,-13429.0,,,-5119.7,16890.5,-16851.1,5189.1,2679.0,,-7635.7,-17921.0,False,True,,False,False,,,True,False,False,True,True,,False,False
Arizona,112954,45870.0,40110.4,125425.0,,41299.0,2203.0,,33121.0,38127.1,31121.1,25967.1,69710.0,60804.5,,23103.1,60266.0,-67084.0,-72843.6,12471.0,,-71655.0,-110751.0,,-79833.0,-74826.9,-81832.9,-86986.9,-43244.0,-52149.5,,-89850.9,-52688.0,False,True,,False,False,,False,False,False,False,True,True,,False,True
Arkansas,57192,34360.0,25352.8,32688.0,,35673.9,23402.0,,35805.0,40117.3,41917.5,11500.6,39727.1,40598.0,,12787.1,29857.0,-22832.0,-31839.2,-24504.0,,-21518.1,-33790.0,,-21387.0,-17074.7,-15274.5,-45691.4,-17464.9,-16594.0,,-44404.9,-27335.0,False,False,,True,False,,True,True,True,False,True,True,,False,False
California,405798,142295.0,210543.8,119016.0,,166714.6,36926.0,,120592.0,161725.5,135657.5,79649.9,148117.0,179093.5,,73241.8,186313.0,-263503.0,-195254.2,-286782.0,,-239083.4,-368872.0,,-285206.0,-244072.5,-270140.5,-326148.1,-257681.0,-226704.5,,-332556.2,-219485.0,True,False,,True,False,,False,True,False,False,True,True,,False,True
Colorado,149997,69750.0,19539.7,108745.0,,67838.9,413336.0,,62689.0,67370.5,58609.1,48676.0,122537.5,122664.5,,60512.2,71311.0,-80247.0,-130457.3,-41252.0,,-82158.1,263339.0,,-87308.0,-82626.5,-91387.9,-101321.0,-27459.5,-27332.5,,-89484.8,-78686.0,False,True,,False,False,,False,False,False,False,True,True,,False,True
Connecticut,56508,25775.0,36598.4,42980.0,,27945.1,20509.0,,18999.0,21229.7,16798.7,40769.9,52175.9,86279.5,,22155.8,21319.0,-30733.0,-19909.6,-13528.0,,-28562.9,-35999.0,,-37509.0,-35278.3,-39709.3,-15738.1,-4332.1,29771.5,,-34352.2,-35189.0,True,True,,True,False,,False,False,False,True,True,True,,False,False
Delaware,14145,5520.0,6117.7,6429.0,,5620.1,2982.0,,4682.0,5702.5,3940.0,3284.2,6352.1,5847.0,,4199.0,5447.0,-8625.0,-8027.3,-7716.0,,-8524.9,-11163.0,,-9463.0,-8442.5,-10205.0,-10860.8,-7792.9,-8298.0,,-9946.0,-8698.0,True,True,,True,False,,False,True,False,False,True,True,,False,False
District of Columbia,5606,2800.0,177.2,5504.0,,2838.2,211.0,,2286.0,2100.4,1679.5,1724.5,3492.8,2890.5,,1955.9,4245.0,-2806.0,-5428.8,-102.0,,-2767.8,-5395.0,,-3320.0,-3505.6,-3926.5,-3881.5,-2113.2,-2715.5,,-3650.1,-1361.0,False,True,,True,False,,False,False,False,False,True,True,,False,True
Florida,247091,131480.0,81575.0,134211.0,,120456.0,23626.0,,107033.0,133846.3,114880.6,95851.7,226419.8,182055.5,,66496.0,113893.0,-115611.0,-165516.0,-112880.0,,-126635.0,-223465.0,,-140058.0,-113244.7,-132210.4,-151239.3,-20671.2,-65035.5,,-180595.0,-133198.0,False,True,,False,False,,False,True,False,False,True,True,,False,False
