,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,83758,69684.0,38186.7,60983.0,,66317.8,21877.0,,44300.0,50781.0,49668.0,13182.5,39144.9,30989.6,81736.7,49061.0,-14074.0,-45571.3,-22775.0,,-17440.2,-61881.0,,-39458.0,-32977.0,-34090.0,-70575.5,-44613.1,-52768.4,-2021.3,-34697.0,False,False,,False,False,,False,False,False,False,False,False,True,False
Alaska,22726,10350.0,1362.0,8909.0,,10203.4,6864.0,,,17263.4,19375.7,3377.7,13712.1,4302.4,20795.1,3094.0,-12376.0,-21364.0,-13817.0,,-12522.6,-15862.0,,,-5462.6,-3350.3,-19348.3,-9013.9,-18423.6,-1930.9,-19632.0,False,False,,False,False,,,True,True,False,True,False,True,False
Arizona,122128,37878.0,52722.4,55282.0,,39456.9,1803.0,,28192.0,52472.9,28871.3,25090.0,26247.7,20607.8,55992.9,33707.0,-84250.0,-69405.6,-66846.0,,-82671.1,-120325.0,,-93936.0,-69655.1,-93256.7,-97038.0,-95880.3,-101520.2,-66135.1,-88421.0,True,True,,True,False,,False,True,False,False,False,False,True,False
Arkansas,64064,41376.0,29757.2,41100.0,,40756.4,26658.0,,45128.0,41249.6,52310.2,13247.3,24954.2,16865.5,30704.1,30267.0,-22688.0,-34306.8,-22964.0,,-23307.6,-37406.0,,-18936.0,-22814.4,-11753.8,-50816.7,-39109.8,-47198.5,-33359.9,-33797.0,False,False,,False,False,,True,False,True,False,False,False,False,False
California,434257,180420.0,261662.5,345871.0,,183886.1,32033.0,,108611.0,157893.5,113924.7,94847.9,88582.7,107998.3,269490.6,208755.0,-253837.0,-172594.5,-88386.0,,-250370.9,-402224.0,,-325646.0,-276363.5,-320332.3,-339409.1,-345674.3,-326258.7,-164766.4,-225502.0,True,True,,True,False,,False,False,False,False,False,False,True,True
Colorado,163947,54186.0,19845.7,92662.0,,58266.8,167961.0,,44148.0,72082.1,52678.8,54600.2,46518.3,25318.6,89545.1,72096.0,-109761.0,-144101.3,-71285.0,,-105680.2,4014.0,,-119799.0,-91864.9,-111268.2,-109346.8,-117428.7,-138628.4,-74401.9,-91851.0,False,True,,True,True,,False,True,False,True,False,False,True,True
Connecticut,61663,19332.0,50078.2,27210.0,,21083.8,24860.0,,13396.0,22102.9,12562.7,44822.2,6325.1,12039.1,11093.8,16886.0,-42331.0,-11584.8,-34453.0,,-40579.2,-36803.0,,-48267.0,-39560.1,-49100.3,-16840.8,-55337.9,-49623.9,-50569.2,-44777.0,True,True,,True,True,,False,True,False,True,False,False,False,False
Delaware,15249,5430.0,6852.0,5436.0,,5425.8,5686.0,,4560.0,6499.6,3677.0,3920.3,2965.5,4229.0,3998.5,5404.0,-9819.0,-8397.0,-9813.0,,-9823.2,-9563.0,,-10689.0,-8749.4,-11572.0,-11328.7,-12283.5,-11020.0,-11250.5,-9845.0,True,True,,False,True,,False,True,False,False,False,False,False,False
District of Columbia,6166,2232.0,289.6,1686.0,,2164.7,231.0,,2031.0,2634.6,1449.2,1675.0,1489.0,1116.4,2392.0,2131.0,-3934.0,-5876.4,-4480.0,,-4001.3,-5935.0,,-4135.0,-3531.4,-4716.8,-4491.0,-4677.0,-5049.6,-3774.0,-4035.0,False,False,,False,False,,False,True,False,False,False,False,True,False
Florida,273387,142620.0,101265.9,155297.0,,121674.5,26074.0,,138794.0,148183.3,98974.9,121581.2,74032.7,61565.8,136861.0,132883.0,-130767.0,-172121.1,-118090.0,,-151712.5,-247313.0,,-134593.0,-125203.7,-174412.1,-151805.8,-199354.3,-211821.2,-136526.0,-140504.0,False,True,,False,False,,False,True,False,False,False,False,False,False
