,mean_rank
CU-select,9.2
COVIDhub-ensemble,9.5
OliverWyman-Navigator,9.7
MSRA-DeepST,9.8
LNQ-ens1,10.7
JHU_CSSE-DECOM,11.1
USACE-ERDC_SEIR,11.8
LANL-GrowthRate,12.0
JCB-PRM,12.2
CEID-Walk,12.4
UVA-Ensemble,12.6
COVIDhub-baseline,12.7
IowaStateLW-STEM,12.9
RobertWalraven-ESG,13.4
Google_Harvard-CPF,13.7
JHU_UNC_GAS-StatMechPool,13.8
DDS-NBDS,14.0
UCSB-ACTS,14.3
BPagano-RtDriven,15.4
JHU_IDD-CovidSP,15.9
USC-SI_kJalpha,16.7
JHUAPL-Bucky,16.8
Karlen-pypm,17.3
UCLA-SuEIR,18.4
TTU-squider,19.4
UMich-RidgeTfReg,19.6
CovidAnalytics-DELPHI,22.7
