,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,544,504.0,,519.5,,514.0,676.0,,,,240.7,,250.0,,593.2,,324.8,464.5,,673.0,589.3,,733.0,,,,,373.4,,,,,556.4,-40.0,,-24.5,,-30.0,132.0,,,,-303.3,,-294.0,,49.2,,-219.2,-79.5,,129.0,45.3,,189.0,,,,,-170.6,,,,,12.4,,True,,True,False,,,,False,,False,,False,,False,False,,False,False,,False,,,,,False,,,,,True
01003,2030,1224.0,,1225.2,,1207.0,1509.0,,,,1642.6,,768.0,,961.9,,896.4,1167.5,,1449.5,1508.4,,1418.0,,,,,861.4,1035.0,,,,1756.7,-806.0,,-804.8,,-823.0,-521.0,,,,-387.4,,-1262.0,,-1068.1,,-1133.6,-862.5,,-580.5,-521.6,,-612.0,,,,,-1168.6,-995.0,,,,-273.3,,True,,False,True,,,,True,,False,,False,,False,False,,True,True,,True,,,,,False,False,,,,True
01005,96,93.0,,82.3,,92.0,119.0,,,,71.3,,109.0,,44.4,,90.1,,,96.0,119.2,,79.0,,,,,82.9,,,,,99.3,-3.0,,-13.7,,-4.0,23.0,,,,-24.7,,13.0,,-51.6,,-5.9,,,0.0,23.2,,-17.0,,,,,-13.1,,,,,3.3,,False,,False,False,,,,False,,False,,False,,False,,,True,False,,False,,,,,False,,,,,False
01007,305,162.0,,163.6,,163.0,164.0,,,,79.9,,122.0,,164.2,,127.6,,,223.0,197.3,,164.0,,,,,,,,,,213.2,-143.0,,-141.4,,-142.0,-141.0,,,,-225.1,,-183.0,,-140.8,,-177.4,,,-82.0,-107.7,,-141.0,,,,,,,,,,-91.8,,True,,True,True,,,,False,,False,,True,,False,,,True,True,,True,,,,,,,,,,True
01009,763,696.0,,688.9,,693.0,958.0,,,,340.0,,377.0,,416.4,,449.8,786.5,,1013.0,845.4,,1066.0,,,,,387.5,,,,,889.9,-67.0,,-74.1,,-70.0,195.0,,,,-423.0,,-386.0,,-346.6,,-313.2,23.5,,250.0,82.4,,303.0,,,,,-375.5,,,,,126.9,,False,,False,False,,,,False,,False,,False,,False,True,,False,False,,False,,,,,False,,,,,False
01011,39,36.0,,35.1,,35.0,0.0,,,,25.5,,53.0,,9.6,,34.9,,,25.0,45.2,,37.0,,,,,,,,,,52.6,-3.0,,-3.9,,-4.0,-39.0,,,,-13.5,,14.0,,-29.4,,-4.1,,,-14.0,6.2,,-2.0,,,,,,,,,,13.6,,False,,False,False,,,,False,,False,,False,,False,,,False,False,,True,,,,,,,,,,False
01013,150,87.0,,81.8,,82.0,42.0,,,,55.4,,81.0,,53.3,,75.3,,,140.0,137.6,,173.0,,,,,54.8,,,,,101.3,-63.0,,-68.2,,-68.0,-108.0,,,,-94.6,,-69.0,,-96.7,,-74.7,,,-10.0,-12.4,,23.0,,,,,-95.2,,,,,-48.7,,False,,False,False,,,,False,,False,,False,,False,,,True,True,,True,,,,,False,,,,,True
01015,1557,951.0,,1012.2,,967.0,1008.0,,,,1126.1,,756.0,,406.8,,717.9,1066.5,,1379.0,1479.6,,1956.0,,,,,699.4,,,,,1007.6,-606.0,,-544.8,,-590.0,-549.0,,,,-430.9,,-801.0,,-1150.2,,-839.1,-490.5,,-178.0,-77.4,,399.0,,,,,-857.6,,,,,-549.4,,True,,True,True,,,,True,,False,,False,,False,True,,True,True,,True,,,,,False,,,,,True
01017,345,219.0,,188.4,,187.0,260.0,,,,133.7,,160.0,,47.6,,177.2,216.0,,325.0,293.0,,344.0,,,,,179.8,,,,,135.6,-126.0,,-156.6,,-158.0,-85.0,,,,-211.3,,-185.0,,-297.4,,-167.8,-129.0,,-20.0,-52.0,,-1.0,,,,,-165.2,,,,,-209.4,,False,,False,True,,,,False,,False,,False,,False,False,,True,True,,True,,,,,False,,,,,False
01019,192,186.0,,192.4,,193.0,212.0,,,,90.0,,159.0,,41.3,,118.1,,,244.0,249.7,,286.0,,,,,,,,,,269.2,-6.0,,0.4,,1.0,20.0,,,,-102.0,,-33.0,,-150.7,,-73.9,,,52.0,57.7,,94.0,,,,,,,,,,77.2,,True,,True,False,,,,False,,False,,False,,False,,,False,False,,False,,,,,,,,,,False
