,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,382,324.0,,328.2,,330.0,341.0,,,,,482.9,354.5,,,352.0,,370.6,,210.1,,385.0,316.9,,420.0,459.0,,,,,240.7,445.9,,,,,325.9,-58.0,,-53.8,,-52.0,-41.0,,,,,100.9,-27.5,,,-30.0,,-11.4,,-171.9,,3.0,-65.1,,38.0,77.0,,,,,-141.3,63.9,,,,,-56.1,,True,,True,True,,,,,False,True,,,True,,True,,False,,True,False,,True,False,,,,,False,False,,,,,True
01003,1495,1070.0,,1069.2,,1086.0,1480.0,,,,,1491.8,1023.7,,,903.0,,1050.2,,665.2,,1616.5,1292.6,,1450.0,1507.0,,,,,787.5,1218.4,1058.0,,,,1415.0,-425.0,,-425.8,,-409.0,-15.0,,,,,-3.2,-471.3,,,-592.0,,-444.8,,-829.8,,121.5,-202.4,,-45.0,12.0,,,,,-707.5,-276.6,-437.0,,,,-80.0,,False,,True,True,,,,,True,False,,,False,,False,,False,,True,True,,True,True,,,,,False,True,False,,,,True
01005,62,68.0,,63.3,,61.0,44.0,,,,,155.3,109.0,,,129.0,,20.7,,53.8,,55.0,75.8,,70.0,120.0,,,,,53.9,65.4,,,,,89.3,6.0,,1.3,,-1.0,-18.0,,,,,93.3,47.0,,,67.0,,-41.3,,-8.2,,-7.0,13.8,,8.0,58.0,,,,,-8.1,3.4,,,,,27.3,,True,,True,False,,,,,False,False,,,False,,False,,False,,False,False,,False,False,,,,,False,True,,,,,False
01007,247,116.0,,110.5,,110.0,104.0,,,,,243.6,161.7,,,156.0,,54.7,,87.0,,207.0,287.2,,109.0,171.0,,,,,,143.0,,,,,87.0,-131.0,,-136.5,,-137.0,-143.0,,,,,-3.4,-85.3,,,-91.0,,-192.3,,-160.0,,-40.0,40.2,,-138.0,-76.0,,,,,,-104.0,,,,,-160.0,,False,,False,False,,,,,True,True,,,True,,False,,False,,True,True,,False,True,,,,,,True,,,,,False
01009,546,434.0,,433.6,,430.0,622.0,,,,,574.7,504.1,,,428.0,,463.1,,260.1,,420.0,386.9,,516.0,580.0,,,,,263.2,355.1,,,,,472.1,-112.0,,-112.4,,-116.0,76.0,,,,,28.7,-41.9,,,-118.0,,-82.9,,-285.9,,-126.0,-159.1,,-30.0,34.0,,,,,-282.8,-190.9,,,,,-73.9,,False,,False,True,,,,,True,True,,,False,,True,,False,,False,False,,True,True,,,,,False,False,,,,,True
01011,26,26.0,,24.8,,24.0,0.0,,,,,80.8,47.2,,,54.0,,11.0,,18.1,,21.0,35.6,,42.0,55.0,,,,,,37.0,,,,,29.3,0.0,,-1.2,,-2.0,-26.0,,,,,54.8,21.2,,,28.0,,-15.0,,-7.9,,-5.0,9.6,,16.0,29.0,,,,,,11.0,,,,,3.3,,False,,False,False,,,,,False,False,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False
01013,93,114.0,,119.0,,102.0,3.0,,,,,189.1,130.4,,,104.0,,116.5,,53.0,,107.0,92.7,,137.0,162.0,,,,,86.7,136.7,,,,,104.7,21.0,,26.0,,9.0,-90.0,,,,,96.1,37.4,,,11.0,,23.5,,-40.0,,14.0,-0.3,,44.0,69.0,,,,,-6.3,43.7,,,,,11.7,,False,,True,False,,,,,False,False,,,True,,False,,False,,True,True,,False,False,,,,,True,False,,,,,True
01015,1103,908.0,,888.8,,832.0,2149.0,,,,,1050.3,810.9,,,788.0,,1481.4,,536.5,,762.5,790.8,,1138.0,1121.0,,,,,707.7,1186.3,,,,,840.6,-195.0,,-214.2,,-271.0,1046.0,,,,,-52.7,-292.1,,,-315.0,,378.4,,-566.5,,-340.5,-312.2,,35.0,18.0,,,,,-395.3,83.3,,,,,-262.4,,False,,False,False,,,,,True,False,,,False,,False,,False,,False,False,,True,True,,,,,False,True,,,,,False
01017,232,226.0,,222.5,,208.0,238.0,,,,,269.4,260.5,,,181.0,,339.2,,129.9,,344.0,194.3,,297.0,300.0,,,,,160.8,237.9,,,,,172.7,-6.0,,-9.5,,-24.0,6.0,,,,,37.4,28.5,,,-51.0,,107.2,,-102.1,,112.0,-37.7,,65.0,68.0,,,,,-71.2,5.9,,,,,-59.3,,False,,False,False,,,,,False,False,,,False,,False,,False,,False,False,,False,False,,,,,False,True,,,,,False
01019,111,162.0,,160.1,,150.0,146.0,,,,,189.1,209.5,,,180.0,,150.7,,88.0,,138.0,144.9,,221.0,239.0,,,,,,168.1,,,,,204.3,51.0,,49.1,,39.0,35.0,,,,,78.1,98.5,,,69.0,,39.7,,-23.0,,27.0,33.9,,110.0,128.0,,,,,,57.1,,,,,93.3,,True,,True,True,,,,,False,False,,,False,,True,,True,,True,True,,False,False,,,,,,False,,,,,False
