,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Bulgaria,90,83.7,84.0,58.3,-6.3,-6.0,-31.7,True,False
Canada,4823,4752.4,4285.0,3980.1,-70.6,-538.0,-842.9,False,False
Croatia,87,79.6,88.0,60.4,-7.4,1.0,-26.6,True,False
Cyprus,15,20.1,19.0,19.4,5.1,4.0,4.4,True,True
Estonia,60,67.1,66.0,70.0,7.1,6.0,10.0,True,False
Finland,265,355.9,290.0,343.6,90.9,25.0,78.6,True,True
France,26313,28529.9,27789.0,24798.3,2216.9,1476.0,-1514.7,True,True
Germany,7549,8292.9,8096.0,6791.8,743.9,547.0,-757.2,True,False
Greece,151,170.3,163.0,140.2,19.3,12.0,-10.8,True,True
Hungary,405,418.9,399.0,306.3,13.9,-6.0,-98.7,True,False
Ireland,1446,1813.4,1558.0,1381.5,367.4,112.0,-64.5,True,True
Italy,30395,31885.0,30988.0,27518.2,1490.0,593.0,-2876.8,True,False
Latvia,18,26.7,22.0,128.7,8.7,4.0,110.7,True,False
Luxembourg,101,110.3,104.0,117.8,9.3,3.0,16.8,True,False
Portugal,1126,1258.9,1245.0,1018.8,132.9,119.0,-107.2,True,True
Romania,939,920.4,913.0,663.2,-18.6,-26.0,-275.8,False,False
Slovakia,26,26.6,25.0,24.7,0.6,-1.0,-1.3,False,False
Slovenia,101,93.3,100.0,90.0,-7.7,-1.0,-11.0,True,False
Spain,26478,28096.4,26500.0,25228.5,1618.4,22.0,-1249.5,True,True
Sweden,3220,3463.7,3271.0,3668.9,243.7,51.0,448.9,True,False
United Kingdom,31662,29054.7,26995.0,29324.3,-2607.3,-4667.0,-2337.7,False,True
