,mean_rank
Karlen-pypm,13.9
Google_Harvard-CPF,13.9
UMass-MechBayes,14.5
Caltech-CS156,16.2
SteveMcConnell-CovidComplete,16.5
LNQ-ens1,16.9
MSRA-DeepST,17.0
USC-SI_kJalpha,17.1
COVIDhub-ensemble,17.5
Covid19Sim-Simulator,17.6
CU-select,18.0
OliverWyman-Navigator,18.5
GT-DeepCOVID,18.7
UCSD_NEU-DeepGLEAM,18.9
MOBS-GLEAM_COVID,19.1
Columbia_UNC-SurvCon,19.4
LANL-GrowthRate,19.6
JCB-PRM,19.8
CMU-TimeSeries,19.8
UA-EpiCovDA,20.1
UCSB-ACTS,20.2
JHU_CSSE-DECOM,20.8
MIT_CritData-GBCF,20.9
BPagano-RtDriven,20.9
epiforecasts-ensemble1,21.2
JHUAPL-Bucky,21.4
USC-SI_kJalpha_RF,21.5
IowaStateLW-STEM,22.8
COVIDhub-baseline,23.4
CEID-Walk,23.4
UMich-RidgeTfReg,25.0
UT-Mobility,25.2
JHU_UNC_GAS-StatMechPool,25.3
PSI-DRAFT,25.5
CovidAnalytics-DELPHI,25.7
NotreDame-mobility,25.7
UCLA-SuEIR,26.2
DDS-NBDS,27.0
TTU-squider,29.5
JHU_IDD-CovidSP,30.6
WalmartLabsML-LogForecasting,33.4
RobertWalraven-ESG,34.5
