,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,error-Baseline,error-IHME-CurveFit,error-STH-3PU,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,3457,3862.9,3781.4,,405.9,324.4,,True,
Alaska,102,55.7,33.9,,-46.3,-68.1,,False,
Arizona,6457,9870.0,6602.2,,3413.0,145.2,,True,
Arkansas,2337,1732.6,1928.9,,-604.4,-408.1,,True,
California,18710,24951.9,28413.4,,6241.9,9703.4,,False,
Colorado,2787,2066.0,4792.0,,-721.0,2005.0,,False,
Connecticut,4828,4574.7,4806.9,,-253.3,-21.1,,True,
Delaware,746,680.1,714.2,,-65.9,-31.8,,True,
District of Columbia,670,665.3,602.9,,-4.7,-67.1,,False,
Florida,17930,24558.6,18431.4,,6628.6,501.4,,True,
Georgia,9179,9532.7,10969.7,,353.7,1790.7,,False,
Hawaii,231,105.3,28.3,,-125.7,-202.7,,False,
Idaho,847,831.3,834.1,,-15.7,-12.9,,True,
Illinois,11952,9791.3,9614.1,,-2160.7,-2337.9,,False,
Indiana,5246,4021.6,4316.6,,-1224.4,-929.4,,True,
Iowa,2191,1718.4,1871.8,,-472.6,-319.2,,True,
Kansas,1410,662.3,2080.2,,-747.7,670.2,,True,
Kentucky,1783,1233.6,2552.2,,-549.4,769.2,,False,
Louisiana,6233,8066.4,7675.7,,1833.4,1442.7,,True,
Maine,174,154.7,153.9,,-19.3,-20.1,,False,
Maryland,4415,4625.0,4873.7,,210.0,458.7,,False,
Massachusetts,10488,10176.1,10008.2,,-311.9,-479.8,,False,
Michigan,8875,7440.1,7556.2,,-1434.9,-1318.8,,True,
Minnesota,3257,2351.7,2264.1,,-905.3,-992.9,,False,
Mississippi,3657,4763.4,3377.1,,1106.4,-279.9,,True,
Missouri,3568,2195.7,5175.0,,-1372.3,1607.0,,False,
Montana,600,283.0,261.2,,-317.0,-338.8,,False,
Nebraska,905,538.1,692.7,,-366.9,-212.3,,True,
Nevada,2011,2814.1,3047.2,,803.1,1036.2,,False,
New Hampshire,508,448.7,555.3,,-59.3,47.3,,True,
New Jersey,16746,16438.6,16412.3,,-307.4,-333.7,,False,
New Mexico,1350,1145.6,1424.3,,-204.4,74.3,,True,
New York,34296,33724.9,33760.5,,-590.1,-554.5,,True,
North Carolina,5005,5297.1,7974.2,,292.1,2969.2,,False,
North Dakota,840,216.0,200.0,,-624.0,-640.0,,False,
Ohio,5984,5749.0,8040.5,,-235.0,2056.5,,False,
Oklahoma,1624,1390.4,2487.3,,-233.6,863.3,,False,
Oregon,819,801.7,2647.0,,-17.3,1828.0,,False,
Pennsylvania,9775,8618.4,8610.0,,-1156.6,-1165.0,,False,
Rhode Island,1294,1118.0,1083.6,,-165.0,-199.4,,False,
South Carolina,4274,5804.7,3621.4,,1530.7,-652.6,,True,
South Dakota,777,309.4,236.5,,-467.6,-540.5,,False,
Tennessee,4211,3451.6,2622.5,,-759.4,-1588.5,,False,
Texas,21249,32571.9,26598.4,20005.0,11688.9,5715.4,-878.0,True,True
Utah,787,707.4,1044.9,,-79.6,257.9,,False,
Vermont,63,72.9,61.1,,9.9,-1.9,,True,
Virginia,3938,3930.6,5373.6,,-7.4,1435.6,,False,
Washington,2595,3054.9,4487.1,,493.9,1926.1,,False,
West Virginia,658,465.9,222.7,,-192.1,-435.3,,False,
Wisconsin,3143,1740.9,3039.5,,-1351.1,-52.5,,True,
Wyoming,176,57.7,27.0,,-118.3,-149.0,,False,
US,256302,272479.7,277988.7,245473.0,16620.7,22129.7,-10386.0,False,True
