,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3457,3198.7,2942.9,2686.7,3955.0,,3012.4,-258.3,-514.1,-770.3,498.0,,-444.6,False,False,False,,False
Alaska,102,53.9,83.4,52.4,,,56.7,-48.1,-18.6,-49.6,,,-45.3,True,False,,,True
Arizona,6457,6849.9,6394.9,6786.4,6419.0,,6441.6,392.9,-62.1,329.4,-38.0,,-15.4,True,True,True,,True
Arkansas,2337,2952.4,2709.4,1813.7,2600.0,,2136.9,615.4,372.4,-523.3,263.0,,-200.1,True,True,True,,True
California,18710,20666.9,17640.8,23747.8,19514.0,,19398.7,1956.9,-1069.2,5037.8,804.0,,688.7,True,False,True,,True
Colorado,2787,2244.3,2268.7,2384.5,2239.0,,2142.9,-542.7,-518.3,-402.5,-548.0,,-644.1,True,True,False,,False
Connecticut,4828,4598.3,4570.8,4739.0,4642.0,,4555.6,-229.7,-257.2,-89.0,-186.0,,-272.4,False,True,True,,False
Delaware,746,674.1,696.2,705.2,679.0,,664.4,-71.9,-49.8,-40.8,-67.0,,-81.6,True,True,True,,False
District of Columbia,670,655.4,648.8,717.8,644.0,,639.1,-14.6,-21.2,47.8,-26.0,,-30.9,False,False,False,,False
Florida,17930,19389.7,17713.8,22383.3,18152.0,,17620.8,1459.7,-216.2,4453.3,222.0,,-309.2,True,False,True,,True
Georgia,9179,8984.6,8003.1,8809.1,8754.0,,8784.9,-194.4,-1175.9,-369.9,-425.0,,-394.1,False,False,False,,False
Hawaii,231,306.0,166.6,163.5,,,233.7,75.0,-64.4,-67.5,,,2.7,True,True,,,True
Idaho,847,691.0,642.1,650.9,733.0,,629.3,-156.0,-204.9,-196.1,-114.0,,-217.7,False,False,True,,False
Illinois,11952,9970.3,9683.6,10220.1,9682.0,,9691.4,-1981.7,-2268.4,-1731.9,-2270.0,,-2260.6,False,True,False,,False
Indiana,5246,4108.3,4040.1,4342.9,4176.0,,3952.1,-1137.7,-1205.9,-903.1,-1070.0,,-1293.9,False,True,True,,False
Iowa,2191,1663.6,1605.4,2071.7,1842.0,,1680.5,-527.4,-585.6,-119.3,-349.0,,-510.5,False,True,True,,True
Kansas,1410,1188.4,1041.6,1779.6,922.0,,962.3,-220.6,-367.4,370.6,-487.0,,-446.7,False,False,False,,False
Kentucky,1783,1562.7,1603.9,2130.0,1952.0,,1658.7,-220.3,-179.1,347.0,169.0,,-124.3,True,False,True,,True
Louisiana,6233,6546.0,6123.5,6419.5,6720.0,,6847.5,313.0,-109.5,186.5,487.0,,614.5,True,True,False,,False
Maine,174,165.6,154.3,147.1,241.0,,154.2,-8.4,-19.7,-26.9,67.0,,-19.8,False,False,False,,False
Maryland,4415,4242.1,4216.5,4677.2,4220.0,,4107.0,-172.9,-198.5,262.2,-195.0,,-308.0,False,False,False,,False
Massachusetts,10488,10195.7,9524.8,10933.6,9614.0,,9674.2,-292.3,-963.2,445.6,-874.0,,-813.8,False,False,False,,False
