,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3457,3491.6,2547.4,4751.4,3023.0,,3106.0,34.6,-909.6,1294.4,-434.0,,-351.0,False,False,False,,False
Alaska,102,83.4,96.5,31.1,,,54.0,-18.6,-5.5,-70.9,,,-48.0,True,False,,,False
Arizona,6457,8178.1,4609.7,8786.9,8054.0,,7148.8,1721.1,-1847.3,2329.9,1597.0,,691.8,False,False,True,,True
Arkansas,2337,1818.4,1140.7,2027.9,1524.0,,1387.1,-518.6,-1196.3,-309.1,-813.0,,-949.9,False,True,False,,False
California,18672,23853.0,17977.5,37485.2,22931.0,,20525.7,5181.0,-694.5,18813.2,4259.0,,1853.7,True,False,True,,True
Colorado,2787,2200.9,2168.9,2391.4,2296.0,,2086.5,-586.1,-618.1,-395.6,-491.0,,-700.5,False,True,True,,False
Connecticut,4828,4550.0,4532.4,4629.1,4595.0,,4536.3,-278.0,-295.6,-198.9,-233.0,,-291.7,False,True,True,,False
Delaware,746,690.0,665.9,659.1,659.0,,659.1,-56.0,-80.1,-86.9,-87.0,,-86.9,False,False,False,,False
District of Columbia,670,694.0,651.4,772.6,638.0,,649.1,24.0,-18.6,102.6,-32.0,,-20.9,True,False,False,,True
Florida,17930,21549.3,12134.5,20370.4,19810.0,,18820.7,3619.3,-5795.5,2440.4,1880.0,,890.7,False,True,True,,True
Georgia,9179,10660.6,7027.6,10486.9,7341.0,,8864.6,1481.6,-2151.4,1307.9,-1838.0,,-314.4,False,True,False,,True
Hawaii,231,137.0,675.5,182.4,,,154.3,-94.0,444.5,-48.6,,,-76.7,False,True,,,True
Idaho,847,795.6,554.5,805.7,502.0,,584.2,-51.4,-292.5,-41.3,-345.0,,-262.8,False,True,False,,False
Illinois,11951,9811.9,9973.9,10333.0,9204.0,,9123.9,-2139.1,-1977.1,-1618.0,-2747.0,,-2827.1,True,True,False,,False
Indiana,5246,4338.6,4018.4,6045.8,4081.0,,3838.7,-907.4,-1227.6,799.8,-1165.0,,-1407.3,False,True,False,,False
Iowa,2191,1834.1,1740.1,2541.9,1621.0,,1597.3,-356.9,-450.9,350.9,-570.0,,-593.7,False,True,False,,False
Kansas,1410,683.1,941.3,1033.6,675.0,,680.8,-726.9,-468.7,-376.4,-735.0,,-729.2,True,True,False,,False
Kentucky,1783,1669.1,1476.8,2247.7,1242.0,,1711.6,-113.9,-306.2,464.7,-541.0,,-71.4,False,False,False,,True
Louisiana,6233,7818.9,4944.8,7602.2,6830.0,,7236.6,1585.9,-1288.2,1369.2,597.0,,1003.6,True,True,True,,True
Maine,174,182.4,155.7,150.1,198.0,,144.8,8.4,-18.3,-23.9,24.0,,-29.2,False,False,False,,False
Maryland,4415,4359.6,4181.5,4891.2,3977.0,,4090.2,-55.4,-233.5,476.2,-438.0,,-324.8,False,False,False,,False
Massachusetts,10488,9988.1,8979.7,11444.5,10224.0,,9445.9,-499.9,-1508.3,956.5,-264.0,,-1042.1,False,False,True,,False
Michigan,8875,7520.4,7390.9,9076.2,7564.0,,7102.8,-1354.6,-1484.1,201.2,-1311.0,,-1772.2,False,True,True,,False
Minnesota,3257,2597.3,2501.3,4549.0,2312.0,,2717.2,-659.7,-755.7,1292.0,-945.0,,-539.8,False,False,False,,True
Mississippi,3657,4245.7,2528.3,3242.7,4174.0,,3886.3,588.7,-1128.7,-414.3,517.0,,229.3,False,True,True,,True
Missouri,3574,2353.0,2545.0,2636.4,2036.0,,1998.4,-1221.0,-1029.0,-937.6,-1538.0,,-1575.6,True,True,False,,False
Montana,600,192.9,250.6,163.9,233.0,,167.1,-407.1,-349.4,-436.1,-367.0,,-432.9,True,False,True,,False
Nebraska,905,596.6,622.0,843.2,562.0,,480.6,-308.4,-283.0,-61.8,-343.0,,-424.4,True,True,False,,False
Nevada,2011,2804.1,1617.3,3145.2,2366.0,,2497.0,793.1,-393.7,1134.2,355.0,,486.0,True,False,True,,True
