,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3457,3284.9,4958.0,3300.0,3011.2,2920.4,2868.0,,3012.0,3079.9,2954.6,3043.4,2901.8,,3204.4,3120.0,,,3108.6,3389.1,3163.0,2984.0,-172.1,1501.0,-157.0,-445.8,-536.6,-589.0,,-445.0,-377.1,-502.4,-413.6,-555.2,,-252.6,-337.0,,,-348.4,-67.9,-294.0,-473.0,False,True,False,False,False,,False,False,False,False,False,,False,False,,,False,True,False,False
Alaska,102,71.7,62.0,72.2,179.5,129.3,96.0,,,70.1,127.4,102.0,87.7,,103.9,86.0,,,74.0,133.5,93.0,70.7,-30.3,-40.0,-29.8,77.5,27.3,-6.0,,,-31.9,25.4,0.0,-14.3,,1.9,-16.0,,,-28.0,31.5,-9.0,-31.3,False,True,False,True,True,,,False,True,True,True,,True,True,,,True,False,True,False
Arizona,6457,6069.4,5830.6,6108.0,6248.9,6485.6,6176.0,,6230.0,6398.8,6148.8,6044.6,6143.2,,6050.5,5967.0,,,6410.6,6430.2,6191.0,6283.4,-387.6,-626.4,-349.0,-208.1,28.6,-281.0,,-227.0,-58.2,-308.2,-412.4,-313.8,,-406.5,-490.0,,,-46.4,-26.8,-266.0,-173.6,False,True,True,True,True,,True,True,True,False,True,,False,False,,,True,True,True,True
Arkansas,2337,2412.4,2954.1,2422.2,1846.6,2222.1,2261.0,,2288.0,2511.0,2165.5,2000.1,2065.5,,1677.6,2062.0,,,2155.7,1962.9,2310.0,1879.6,75.4,617.1,85.2,-490.4,-114.9,-76.0,,-49.0,174.0,-171.5,-336.9,-271.5,,-659.4,-275.0,,,-181.3,-374.1,-27.0,-457.4,False,False,False,False,False,,True,False,False,False,False,,False,False,,,False,False,True,False
California,18672,19109.3,19013.9,19278.6,20931.4,19194.4,18405.0,,18580.0,19453.9,18878.5,19251.1,18079.3,,17951.2,18202.0,,,18921.9,19073.8,19468.0,18504.7,437.3,341.9,606.6,2259.4,522.4,-267.0,,-92.0,781.9,206.5,579.1,-592.7,,-720.8,-470.0,,,249.9,401.8,796.0,-167.3,True,False,False,False,True,,True,False,True,False,False,,False,False,,,True,True,False,True
Colorado,2787,2376.6,2974.3,2429.6,2243.5,2362.0,2606.0,,2252.0,2412.8,2525.3,2432.5,2271.8,,2376.7,2218.0,,,2281.2,3501.6,2441.0,2208.3,-410.4,187.3,-357.4,-543.5,-425.0,-181.0,,-535.0,-374.2,-261.7,-354.5,-515.2,,-410.3,-569.0,,,-505.8,714.6,-346.0,-578.7,True,True,False,False,True,,False,True,True,True,False,,True,False,,,False,False,True,False
Connecticut,4828,4629.6,4763.0,4718.3,4694.4,4620.7,4634.0,,4606.0,4623.7,4797.5,4646.4,4553.2,,4600.0,4632.0,,,4589.4,5280.3,4668.0,4548.3,-198.4,-65.0,-109.7,-133.6,-207.3,-194.0,,-222.0,-204.3,-30.5,-181.6,-274.8,,-228.0,-196.0,,,-238.6,452.3,-160.0,-279.7,True,True,True,False,True,,False,False,True,True,False,,False,True,,,False,False,True,False
Delaware,746,706.7,721.7,712.9,726.7,725.2,702.0,,703.0,719.6,717.4,691.7,676.3,,720.8,675.0,,,684.7,848.2,711.0,682.0,-39.3,-24.3,-33.1,-19.3,-20.8,-44.0,,-43.0,-26.4,-28.6,-54.3,-69.7,,-25.2,-71.0,,,-61.3,102.2,-35.0,-64.0,True,True,True,True,False,,False,True,True,False,False,,True,False,,,False,False,True,False
District of Columbia,670,672.1,681.2,681.2,668.2,660.5,644.0,,648.0,661.5,688.5,657.2,666.7,,653.1,682.0,,,648.4,790.3,693.0,648.7,2.1,11.2,11.2,-1.8,-9.5,-26.0,,-22.0,-8.5,18.5,-12.8,-3.3,,-16.9,12.0,,,-21.6,120.3,23.0,-21.3,False,False,True,False,False,,False,False,False,False,False,,False,False,,,False,False,False,False
Florida,17930,19423.0,18428.1,18532.6,17949.7,18269.2,17296.0,,18056.0,19004.3,17805.1,18395.4,18629.0,,17267.3,16703.0,,,17754.6,16841.2,17797.0,17360.2,1493.0,498.1,602.6,19.7,339.2,-634.0,,126.0,1074.3,-124.9,465.4,699.0,,-662.7,-1227.0,,,-175.4,-1088.8,-133.0,-569.8,True,True,True,True,True,,True,True,True,True,True,,True,True,,,True,True,True,True
