,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3457,3278.7,3205.0,3270.9,3320.0,3270.0,3286.0,3236.0,3304.2,3751.0,3516.6,3129.0,3232.1,3215.9,3357.1,,3230.0,3286.3,3396.7,3377.0,3146.4,3236.5,3366.1,3316.0,3293.7,3318.0,3320.1,3342.5,,3384.5,3289.8,3353.0,,3221.2,2913.1,,3356.0,3273.4,3377.0,3252.8,,3359.0,3331.7,3310.0,3278.2,3354.0,3265.7,3265.5,3173.9,3271.0,-178.3,-252.0,-186.1,-137.0,-187.0,-171.0,-221.0,-152.8,294.0,59.6,-328.0,-224.9,-241.1,-99.9,,-227.0,-170.7,-60.3,-80.0,-310.6,-220.5,-90.9,-141.0,-163.3,-139.0,-136.9,-114.5,,-72.5,-167.2,-104.0,,-235.8,-543.9,,-101.0,-183.6,-80.0,-204.2,,-98.0,-125.3,-147.0,-178.8,-103.0,-191.3,-191.5,-283.1,-186.0,False,False,True,False,True,False,True,False,True,False,False,False,True,,False,True,True,True,False,False,True,True,True,True,True,True,,True,True,True,,False,False,,True,False,True,False,,True,True,True,False,True,False,False,False,False
Alaska,102,125.9,86.2,117.0,111.0,124.0,112.0,136.0,133.6,112.0,118.8,103.0,108.5,109.1,110.3,,,104.0,99.7,141.0,102.7,84.5,127.7,100.0,132.4,160.0,138.9,153.4,,110.5,140.4,98.0,,,68.1,,271.0,129.1,125.0,96.2,,105.1,135.6,129.0,94.6,132.0,119.2,104.0,93.6,118.0,23.9,-15.8,15.0,9.0,22.0,10.0,34.0,31.6,10.0,16.8,1.0,6.5,7.1,8.3,,,2.0,-2.3,39.0,0.7,-17.5,25.7,-2.0,30.4,58.0,36.9,51.4,,8.5,38.4,-4.0,,,-33.9,,169.0,27.1,23.0,-5.8,,3.1,33.6,27.0,-7.4,30.0,17.2,2.0,-8.4,16.0,True,True,True,True,True,False,False,True,True,True,True,True,True,,,True,True,False,True,True,False,True,False,False,False,False,,True,False,True,,,False,,False,False,True,True,,True,False,False,True,False,True,True,True,True
Arizona,6457,6279.0,6199.7,6300.4,6221.0,6309.5,6252.0,6380.0,6337.3,6229.0,6224.2,6054.0,6179.0,6274.7,6246.3,,6124.0,6249.6,6163.2,6235.0,6131.9,6151.5,6301.5,6359.0,6313.9,6166.0,6406.3,6302.2,,6254.2,6297.5,6126.0,,6173.2,5952.8,,6431.0,6606.4,6248.0,6393.9,,6051.6,6434.0,6436.0,6488.8,6481.0,6267.0,6178.0,6208.4,6352.0,-178.0,-257.3,-156.6,-236.0,-147.5,-205.0,-77.0,-119.7,-228.0,-232.8,-403.0,-278.0,-182.3,-210.7,,-333.0,-207.4,-293.8,-222.0,-325.1,-305.5,-155.5,-98.0,-143.1,-291.0,-50.7,-154.8,,-202.8,-159.5,-331.0,,-283.8,-504.2,,-26.0,149.4,-209.0,-63.1,,-405.4,-23.0,-21.0,31.8,24.0,-190.0,-279.0,-248.6,-105.0,False,True,False,True,False,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,True,True,True,False,True,True,,False,True,False,,False,False,,True,True,False,True,,False,True,True,True,True,False,False,False,True
Arkansas,2337,2375.1,2253.3,2310.9,2278.0,2308.9,2316.0,2275.0,2241.8,2438.0,2397.2,2339.0,2366.9,2289.7,2411.1,,2321.0,2412.9,2271.5,2369.0,2140.1,2320.5,2358.4,2298.0,2364.7,2254.0,2349.1,2332.3,,2174.5,2415.1,2285.0,,2406.2,2187.5,,2361.0,2155.8,2162.0,2261.2,,2309.8,2360.9,2384.0,2253.0,2358.0,2281.0,2288.0,2158.8,2191.0,38.1,-83.7,-26.1,-59.0,-28.1,-21.0,-62.0,-95.2,101.0,60.2,2.0,29.9,-47.3,74.1,,-16.0,75.9,-65.5,32.0,-196.9,-16.5,21.4,-39.0,27.7,-83.0,12.1,-4.7,,-162.5,78.1,-52.0,,69.2,-149.5,,24.0,-181.2,-175.0,-75.8,,-27.2,23.9,47.0,-84.0,21.0,-56.0,-49.0,-178.2,-146.0,False,True,False,True,True,False,False,False,False,True,True,False,False,,True,False,False,True,False,True,True,False,True,False,True,True,,False,False,False,,False,False,,True,False,False,False,,True,True,False,False,True,False,False,False,False
California,18672,18565.3,19332.1,18604.9,18663.0,18605.5,18728.0,18631.0,18718.9,19117.0,18946.1,18230.0,18436.3,18783.0,18952.7,,18641.0,18834.5,18914.5,18766.0,18631.1,18594.0,18749.9,18658.0,18736.1,18558.0,18150.9,18812.0,,18216.6,18581.7,19040.0,,18730.8,18346.6,,18848.0,16797.8,19060.0,18544.4,18665.0,18377.5,18155.1,18829.0,18811.3,18993.0,18659.0,18352.5,18742.2,18398.0,-106.7,660.1,-67.1,-9.0,-66.5,56.0,-41.0,46.9,445.0,274.1,-442.0,-235.7,111.0,280.7,,-31.0,162.5,242.5,94.0,-40.9,-78.0,77.9,-14.0,64.1,-114.0,-521.1,140.0,,-455.4,-90.3,368.0,,58.8,-325.4,,176.0,-1874.2,388.0,-127.6,-7.0,-294.5,-516.9,157.0,139.3,321.0,-13.0,-319.5,70.2,-274.0,False,True,True,True,True,True,True,False,False,False,False,False,False,,True,False,False,True,True,True,True,True,True,False,False,False,,False,True,False,,True,False,,False,False,False,False,True,False,False,False,False,False,True,False,True,False
Colorado,2787,2473.7,2376.9,2496.2,2632.0,2486.0,2516.0,2796.0,2596.6,2787.0,2702.9,3031.0,2501.8,2700.7,2665.2,,2472.0,2524.0,2650.4,2559.0,2452.9,2509.5,2587.6,2593.0,2705.6,2559.0,2494.2,2572.5,,2507.2,2573.7,2445.0,,2447.3,2288.7,,2448.0,2703.1,2464.0,2474.4,,2536.6,2507.1,2701.0,2439.3,2622.0,2517.4,2464.0,2362.0,2493.0,-313.3,-410.1,-290.8,-155.0,-301.0,-271.0,9.0,-190.4,0.0,-84.1,244.0,-285.2,-86.3,-121.8,,-315.0,-263.0,-136.6,-228.0,-334.1,-277.5,-199.4,-194.0,-81.4,-228.0,-292.8,-214.5,,-279.8,-213.3,-342.0,,-339.7,-498.3,,-339.0,-83.9,-323.0,-312.6,,-250.4,-279.9,-86.0,-347.7,-165.0,-269.6,-323.0,-425.0,-294.0,False,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,True,,True,True,False,,False,False,,False,True,False,True,,True,True,True,False,True,True,False,False,True
Connecticut,4828,4727.4,4818.2,4738.6,4775.0,4738.3,4768.0,4778.0,4766.7,4935.0,4816.7,4835.0,4710.5,4778.8,4788.0,,4699.0,4773.9,4858.4,4733.0,4684.6,4767.0,4802.8,4804.0,4731.8,4716.0,4754.1,4771.4,,4697.7,4755.7,4666.0,,4738.9,4707.2,,4790.0,5554.8,4688.0,4701.5,,4782.5,4768.1,4810.0,4705.3,4779.0,4737.1,4712.0,4766.2,4728.0,-100.6,-9.8,-89.4,-53.0,-89.7,-60.0,-50.0,-61.3,107.0,-11.3,7.0,-117.5,-49.2,-40.0,,-129.0,-54.1,30.4,-95.0,-143.4,-61.0,-25.2,-24.0,-96.2,-112.0,-73.9,-56.6,,-130.3,-72.3,-162.0,,-89.1,-120.8,,-38.0,726.8,-140.0,-126.5,,-45.5,-59.9,-18.0,-122.7,-49.0,-90.9,-116.0,-61.8,-100.0,True,True,True,True,True,True,True,False,True,True,False,True,True,,False,True,True,True,False,True,True,True,True,False,True,True,,False,True,False,,True,False,,True,False,False,False,,True,True,True,False,True,True,False,True,True
Delaware,746,792.9,766.4,792.5,753.0,792.0,772.0,753.0,763.9,765.0,733.5,743.0,789.3,762.0,748.6,,742.0,777.7,723.8,779.0,735.6,751.0,756.3,750.0,762.1,754.0,775.5,778.8,,766.6,821.0,754.0,,,846.7,,794.0,752.5,821.0,716.9,,771.5,791.3,777.0,768.0,788.0,780.7,797.0,733.4,807.0,46.9,20.4,46.5,7.0,46.0,26.0,7.0,17.9,19.0,-12.5,-3.0,43.3,16.0,2.6,,-4.0,31.7,-22.2,33.0,-10.4,5.0,10.3,4.0,16.1,8.0,29.5,32.8,,20.6,75.0,8.0,,,100.7,,48.0,6.5,75.0,-29.1,,25.5,45.3,31.0,22.0,42.0,34.7,51.0,-12.6,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,,False,,False,True,False,True,,True,True,True,True,True,True,False,True,False
District of Columbia,670,657.4,647.2,659.4,657.0,659.1,659.0,673.0,661.3,656.0,665.2,651.0,662.3,659.9,666.6,,653.0,655.0,662.1,661.0,657.1,646.0,659.7,657.0,648.6,663.0,,,,656.2,663.1,659.0,,,646.5,,669.0,654.0,667.0,651.6,,660.6,,663.0,,658.0,661.5,656.0,671.2,,-12.6,-22.8,-10.6,-13.0,-10.9,-11.0,3.0,-8.7,-14.0,-4.8,-19.0,-7.7,-10.1,-3.4,,-17.0,-15.0,-7.9,-9.0,-12.9,-24.0,-10.3,-13.0,-21.4,-7.0,,,,-13.8,-6.9,-11.0,,,-23.5,,-1.0,-16.0,-3.0,-18.4,,-9.4,,-7.0,,-12.0,-8.5,-14.0,1.2,,False,True,False,True,True,True,True,False,True,False,True,True,True,,False,False,True,True,False,False,True,False,False,True,,,,False,True,True,,,False,,True,False,True,False,,True,,True,,True,True,False,True,
Florida,17930,17817.6,18072.9,17816.7,17851.0,17794.2,18071.0,18479.0,18132.4,19134.0,19303.0,17745.0,18001.1,18223.3,18725.6,,18073.0,18784.3,18692.6,17934.0,17824.3,17873.5,18464.4,17511.0,17981.7,17975.0,17504.7,18154.2,,17859.3,17870.7,18033.0,,18198.8,16770.8,,18302.0,17844.1,18450.0,17564.4,,18119.6,17488.4,18318.0,17617.2,18349.0,17926.2,17641.0,17954.0,18136.0,-112.4,142.9,-113.3,-79.0,-135.8,141.0,549.0,202.4,1204.0,1373.0,-185.0,71.1,293.3,795.6,,143.0,854.3,762.6,4.0,-105.7,-56.5,534.4,-419.0,51.7,45.0,-425.3,224.2,,-70.7,-59.3,103.0,,268.8,-1159.2,,372.0,-85.9,520.0,-365.6,,189.6,-441.6,388.0,-312.8,419.0,-3.8,-289.0,24.0,206.0,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,True,True,True,False,False,True,True,False,False,,True,True,True,,False,False,,False,True,False,False,,False,False,False,False,False,True,False,True,False
