,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3457,2948.9,2634.7,2956.8,2887.0,2983.2,3018.0,3012.5,2827.2,,2694.1,,2936.2,2894.0,2906.4,-508.1,-822.3,-500.2,-570.0,-473.8,-439.0,-444.5,-629.8,,-762.9,,-520.8,-563.0,-550.6,False,True,False,True,True,True,False,,False,,False,False,False
Alaska,102,71.7,65.8,100.0,197.0,123.4,,86.0,80.3,,67.1,,71.3,128.0,71.2,-30.3,-36.2,-2.0,95.0,21.4,,-16.0,-21.7,,-34.9,,-30.7,26.0,-30.8,False,True,False,True,,True,True,,False,,False,True,False
Arizona,6457,6275.1,5837.6,6298.9,6534.0,6684.0,6269.0,6616.4,6108.5,,5762.3,,6303.5,6180.0,6324.7,-181.9,-619.4,-158.1,77.0,227.0,-188.0,159.4,-348.5,,-694.7,,-153.5,-277.0,-132.3,False,True,True,False,False,True,False,,False,,True,False,True
Arkansas,2337,2227.3,2223.7,2260.7,2414.0,2502.6,2294.0,2568.9,1805.1,,1834.9,,2017.9,2151.0,1750.7,-109.7,-113.3,-76.3,77.0,165.6,-43.0,231.9,-531.9,,-502.1,,-319.1,-186.0,-586.3,False,True,True,False,True,False,False,,False,,False,False,False
California,18710,19856.7,18304.9,19839.7,20807.0,19230.3,19021.0,19220.9,18131.4,,17321.6,,19100.9,19513.0,18344.3,1146.7,-405.1,1129.7,2097.0,520.3,311.0,510.9,-578.6,,-1388.4,,390.9,803.0,-365.7,True,True,False,True,True,True,True,,False,,True,True,True
Colorado,2787,2253.1,2242.0,2237.6,2707.0,2418.7,2253.0,2436.4,2188.1,,2142.2,,2160.5,2317.0,2147.3,-533.9,-545.0,-549.4,-80.0,-368.3,-534.0,-350.6,-598.9,,-644.8,,-626.5,-470.0,-639.7,False,False,True,True,False,True,False,,False,,False,True,False
Connecticut,4828,4595.3,4670.5,4733.3,4597.0,4631.0,4620.0,4600.4,4546.8,,4537.0,,4565.2,4616.0,4533.1,-232.7,-157.5,-94.7,-231.0,-197.0,-208.0,-227.6,-281.2,,-291.0,,-262.8,-212.0,-294.9,True,True,True,True,True,True,False,,False,,False,True,False
Delaware,746,727.3,749.1,742.0,688.0,732.4,678.0,700.1,678.3,,656.9,,672.7,724.0,691.4,-18.7,3.1,-4.0,-58.0,-13.6,-68.0,-45.9,-67.7,,-89.1,,-73.3,-22.0,-54.6,True,True,False,True,False,False,False,,False,,False,False,False
District of Columbia,670,679.0,698.8,671.5,648.0,657.3,643.0,654.1,644.4,,643.1,,649.7,659.0,644.1,9.0,28.8,1.5,-22.0,-12.7,-27.0,-15.9,-25.6,,-26.9,,-20.3,-11.0,-25.9,False,True,False,False,False,False,False,,False,,False,False,False
Florida,17930,19052.7,17872.9,18866.9,18402.0,18457.3,17691.5,18541.9,16913.8,,16475.2,,17760.5,17875.0,16882.3,1122.7,-57.1,936.9,472.0,527.3,-238.5,611.9,-1016.2,,-1454.8,,-169.5,-55.0,-1047.7,True,True,True,True,True,True,True,,False,,True,True,True
