,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3457,2754.4,3974.5,4392.8,2548.0,,-702.6,517.5,935.8,-909.0,,True,False,False,
Alaska,102,55.7,115.5,13.7,,,-46.3,13.5,-88.3,,,True,False,,
Arizona,6457,6412.0,13809.4,6541.2,11172.0,,-45.0,7352.4,84.2,4715.0,,False,False,False,
Arkansas,2337,743.7,1479.9,820.1,3201.0,,-1593.3,-857.1,-1516.9,864.0,,True,True,True,
California,18672,15130.0,37109.3,21443.4,15048.0,,-3542.0,18437.3,2771.4,-3624.0,,False,True,False,
Colorado,2787,2197.4,2250.9,1988.5,1863.0,,-589.6,-536.1,-798.5,-924.0,,True,False,False,
Connecticut,4828,4712.3,4458.4,4757.4,5068.0,,-115.7,-369.6,-70.6,240.0,,False,True,False,
Delaware,746,611.3,965.7,619.4,664.0,,-134.7,219.7,-126.6,-82.0,,False,True,True,
District of Columbia,670,737.7,592.5,681.8,721.0,,67.7,-77.5,11.8,51.0,,False,True,True,
Florida,17930,9926.4,64166.0,17930.8,7194.0,,-8003.6,46236.0,0.8,-10736.0,,False,True,False,
Georgia,9179,4488.3,11326.4,4041.9,5553.0,,-4690.7,2147.4,-5137.1,-3626.0,,True,False,True,
Hawaii,231,38.9,101.5,18.1,,,-192.1,-129.5,-212.9,,,True,False,,
Idaho,847,132.7,2144.3,124.1,726.0,,-714.3,1297.3,-722.9,-121.0,,False,False,True,
Illinois,11951,9641.1,7801.9,9278.0,8480.0,,-2309.9,-4149.1,-2673.0,-3471.0,,False,False,False,
Indiana,5246,4162.4,3758.8,3581.7,3071.0,,-1083.6,-1487.2,-1664.3,-2175.0,,False,False,False,
Iowa,2191,1018.9,1803.2,851.3,957.0,,-1172.1,-387.8,-1339.7,-1234.0,,True,False,False,
Kansas,1410,581.9,1471.3,765.1,334.0,,-828.1,61.3,-644.9,-1076.0,,True,True,False,
