,count,mean,median,std,min,25%,75%,max
JCB-PRM,51,307353.1,42313.9,643640.6,20.9,6911.6,202308.1,3101432.7
MITCovAlliance-SIR,51,317338.4,45101.1,713541.7,0.8,10890.1,192819.4,3615360.0
Covid19Sim-Simulator,51,373183.2,60301.7,837655.3,8.8,3224.6,330123.8,4779808.3
USC-SI_kJalpha,51,374747.3,68644.0,816435.4,4.0,17440.0,288292.0,4309776.0
UCLA-SuEIR,51,424362.6,100072.0,847271.8,14.8,12713.0,332213.6,4353648.4
Baseline,51,431158.1,69998.0,880341.0,2.9,2916.6,222856.3,3552686.4
IowaStateLW-STEM,49,456433.5,81225.0,875218.6,25.0,11885.0,546902.5,4682896.0
USACE-ERDC_SEIR,51,629775.7,26550.4,1654957.6,7.7,3982.2,444045.2,8590770.7
WalmartLabsML-LogForecasting,51,958515.6,189749.1,1801991.3,22.9,73829.5,967239.2,8497938.1
RobertWalraven-ESG,51,1286014.7,224401.2,2799525.4,25.0,101710.1,1000101.5,17014552.5
IHME-CurveFit,51,1526434.5,75673.5,5546810.3,18.4,7662.2,307982.6,31178540.1
Columbia_UNC-SurvCon,51,60915022.4,204304.0,412411321.7,16.0,18850.0,1846712.5,2946752656.0
