,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3457,4069.0,5634.3,4532.6,3131.0,,612.0,2177.3,1075.6,-326.0,,False,False,True,
Alaska,102,87.4,237.9,21.9,,,-14.6,135.9,-80.1,,,False,False,,
Arizona,6457,11059.3,5890.1,8391.7,9046.0,,4602.3,-566.9,1934.7,2589.0,,True,True,True,
Arkansas,2337,1463.0,1526.5,1049.1,1419.0,,-874.0,-810.5,-1287.9,-918.0,,True,False,False,
California,18710,24428.6,20949.0,18685.2,19350.0,,5718.6,2239.0,-24.8,640.0,,True,True,True,
Colorado,2787,2636.9,2881.4,3202.2,2185.0,,-150.1,94.4,415.2,-602.0,,True,False,False,
Connecticut,4828,4733.3,4645.1,4938.8,4523.0,,-94.7,-182.9,110.8,-305.0,,False,False,False,
Delaware,786,680.1,707.6,767.8,640.0,,-90.9,-63.4,-3.2,-131.0,,True,True,False,
District of Columbia,670,631.6,705.6,658.7,618.0,,-36.4,37.6,-9.3,-50.0,,False,True,False,
Florida,17930,26588.3,20095.9,17132.9,18747.0,,8658.3,2165.9,-797.1,817.0,,True,True,True,
Georgia,9179,9263.1,8141.6,10972.9,6027.0,,84.1,-1037.4,1793.9,-3152.0,,False,False,False,
Hawaii,231,26.0,230.3,34.3,,,-205.0,-0.7,-196.7,,,True,True,,
Idaho,847,1005.7,1058.8,380.5,454.0,,158.7,211.8,-466.5,-393.0,,False,False,False,
Illinois,11952,9680.3,10735.9,8395.7,8645.0,,-2271.7,-1216.1,-3556.3,-3307.0,,True,False,False,
Indiana,5697,4116.7,4341.7,4206.2,3378.0,,-1647.3,-1422.3,-1557.8,-2386.0,,True,True,False,
Iowa,2191,1655.0,1625.8,2080.9,1025.0,,-536.0,-565.2,-110.1,-1166.0,,False,True,False,
Kansas,1410,836.7,1163.8,662.9,706.0,,-573.3,-246.2,-747.1,-704.0,,True,False,False,
Kentucky,1783,1408.0,1992.1,1211.3,1088.0,,-375.0,209.1,-571.7,-695.0,,True,False,False,
Louisiana,6233,7876.1,6363.8,7218.1,6533.0,,1643.1,130.8,985.1,300.0,,True,True,True,
Maine,174,186.4,143.9,146.2,212.0,,12.4,-30.1,-27.8,38.0,,False,False,False,
Maryland,4415,4704.3,5198.9,4155.9,3851.0,,289.3,783.9,-259.1,-564.0,,False,True,False,
Massachusetts,10488,10366.4,9351.0,9890.3,9046.0,,-121.6,-1137.0,-597.7,-1442.0,,False,False,False,
Michigan,8875,7360.9,7489.4,7028.0,7344.0,,-1514.1,-1385.6,-1847.0,-1531.0,,True,False,False,
Minnesota,3257,2288.3,3023.9,2092.6,1904.0,,-968.7,-233.1,-1164.4,-1353.0,,True,False,False,
Mississippi,3657,5033.0,3807.1,3866.1,2980.0,,1376.0,150.1,209.1,-677.0,,True,True,True,
Missouri,3597,2338.4,6504.4,2626.6,1771.0,,-1244.6,2921.4,-956.4,-1812.0,,False,True,False,
Montana,600,298.9,433.1,240.3,267.0,,-301.1,-166.9,-359.7,-333.0,,True,False,False,
Nebraska,905,585.7,996.7,983.1,451.0,,-319.3,91.7,78.1,-454.0,,True,True,False,
Nevada,2011,2386.0,2399.6,3107.0,2040.0,,375.0,388.6,1096.0,29.0,,False,False,True,
New Hampshire,508,543.9,469.5,494.3,447.0,,35.9,-38.5,-13.7,-61.0,,False,True,False,
New Jersey,16746,16613.0,16126.2,17339.0,16238.0,,-133.0,-619.8,593.0,-508.0,,False,False,False,
New Mexico,1350,1288.3,1048.2,948.1,1250.0,,-61.7,-301.8,-401.9,-100.0,,False,False,False,
New York,34296,33978.6,33225.0,34962.1,33160.0,,-330.4,-1084.0,653.1,-1149.0,,False,False,False,
North Carolina,5005,4615.3,4281.9,4470.1,3927.0,,-389.7,-723.1,-534.9,-1078.0,,False,False,False,
North Dakota,840,200.1,420.7,202.3,151.0,,-639.9,-419.3,-637.7,-689.0,,True,True,False,
