,count,mean,median,std,min,25%,75%,max
USC-SI_kJalpha,51,189127.8,30276.0,387868.5,1.0,2864.5,190994.5,2064969.0
JCB-PRM,51,194780.7,25954.7,398568.3,25.0,5471.1,193928.1,2206076.6
COVIDhub-baseline,51,235722.2,44838.6,470607.2,1.0,5796.2,238346.0,2522842.2
Covid19Sim-Simulator,51,239311.7,31691.9,608601.8,1.9,6746.3,189191.4,3931489.9
Baseline,51,248273.2,54155.9,484296.6,0.3,11264.4,195011.5,2477026.3
BPagano-RtDriven,51,259488.9,81209.0,403460.1,9.9,11145.5,263660.0,1614172.8
IowaStateLW-STEM,49,311634.6,73441.0,661224.2,25.0,13949.0,292456.1,4048144.0
UCLA-SuEIR,51,341839.7,92325.4,691646.8,17.2,14941.3,254677.9,3999863.4
LANL-GrowthRate,51,602584.6,147780.8,1336032.4,4.5,29552.1,406644.7,7648263.4
WalmartLabsML-LogForecasting,51,699881.7,137147.4,1372152.9,25.5,52230.9,671687.2,7543352.5
RobertWalraven-ESG,51,702524.3,234081.8,1285918.0,25.0,79553.0,623473.6,7380676.2
Columbia_UNC-SurvCon,51,1424470.7,63001.0,6198564.4,1.0,5929.0,473468.5,43850884.0
