,total_deaths_2020-10-04,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Columbia_UNC-SurvCon,209909,263761.0,257672,54040.0,47763,6277.0,13.1%
Covid19Sim-Simulator,209909,248833.3,257672,39112.3,47763,-8650.7,-18.1%
QJHong-Encounter,209909,246303.1,257672,36582.1,47763,-11180.9,-23.4%
JCB-PRM,209909,245721.5,257672,36000.5,47763,-11762.5,-24.6%
USC-SI_kJalpha,209909,244481.0,257672,34760.0,47763,-13003.0,-27.2%
Baseline,209909,243766.7,257672,34045.7,47763,-13717.3,-28.7%
COVIDhub-baseline,209909,243675.8,257672,33954.8,47763,-13808.2,-28.9%
IowaStateLW-STEM,209909,241308.0,257672,31587.0,47763,-16176.0,-33.9%
STH-3PU,209909,239078.0,257672,29357.0,47763,-18406.0,-38.5%
UCLA-SuEIR,209909,238963.6,257672,29242.6,47763,-18520.4,-38.8%
BPagano-RtDriven,209909,236625.1,257672,26904.1,47763,-20858.9,-43.7%
WalmartLabsML-LogForecasting,209909,231616.2,257672,21895.2,47763,-25867.8,-54.2%
LANL-GrowthRate,209909,226785.2,257672,17064.2,47763,-30698.8,-64.3%
RobertWalraven-ESG,209909,223739.5,257672,14018.5,47763,-33744.5,-70.6%
