,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3457,3090.3,3324.1,3016.0,,2947.4,-366.7,-132.9,-441.0,,-509.6,True,False,,False
Alaska,102,63.7,114.9,,,59.5,-38.3,12.9,,,-42.5,True,,,False
Arizona,6457,6317.6,6410.6,6849.0,,6356.6,-139.4,-46.4,392.0,,-100.4,True,False,,True
Arkansas,2337,1838.6,2065.9,2318.0,,1608.8,-498.4,-271.1,-19.0,,-728.2,True,True,,False
California,18710,20755.6,17297.3,20414.0,,18918.3,2045.6,-1412.7,1704.0,,208.3,True,True,,True
Colorado,2787,2145.7,2230.2,2328.0,,2105.5,-641.3,-556.8,-459.0,,-681.5,True,True,,False
Connecticut,4828,4598.3,4564.6,4621.0,,4555.8,-229.7,-263.4,-207.0,,-272.2,False,True,,False
Delaware,786,674.1,710.1,656.0,,651.2,-96.9,-60.9,-115.0,,-119.8,True,False,,False
District of Columbia,670,665.3,651.6,650.0,,643.4,-4.7,-18.4,-20.0,,-26.6,False,False,,False
Florida,17930,20089.6,16677.3,17842.0,,17780.3,2159.6,-1252.7,-88.0,,-149.7,True,True,,True
Georgia,9179,9250.7,8286.8,8663.0,,8706.8,71.7,-892.2,-516.0,,-472.2,False,False,,False
Hawaii,231,237.0,189.6,,,211.0,6.0,-41.4,,,-20.0,False,,,False
Idaho,847,710.7,678.3,673.0,,633.1,-136.3,-168.7,-174.0,,-213.9,False,False,,False
Illinois,11952,10029.4,9701.1,9817.0,,9599.5,-1922.6,-2250.9,-2135.0,,-2352.5,False,False,,False
Indiana,5697,4167.4,4141.0,4528.0,,3936.5,-1557.6,-1584.0,-1197.0,,-1788.5,False,True,,False
Iowa,2191,1742.4,1802.1,1940.0,,1667.8,-448.6,-388.9,-251.0,,-523.2,True,True,,False
Kansas,1410,991.3,884.3,676.0,,828.7,-418.7,-525.7,-734.0,,-581.3,False,False,,False
Kentucky,1783,1690.9,1751.6,1833.0,,1629.3,-92.1,-31.4,50.0,,-153.7,True,True,,False
Louisiana,6233,6634.7,5946.5,6306.0,,7006.9,401.7,-286.5,73.0,,773.9,True,True,,False
Maine,174,155.7,152.3,217.0,,142.6,-18.3,-21.7,43.0,,-31.4,False,False,,False
Maryland,4415,4222.4,4352.5,4072.0,,4090.7,-192.6,-62.5,-343.0,,-324.3,True,False,,False
Massachusetts,10488,10047.9,9500.4,9612.0,,9530.5,-440.1,-987.6,-876.0,,-957.5,False,False,,False
Michigan,8875,7946.0,7940.9,7696.0,,7427.1,-929.0,-934.1,-1179.0,,-1447.9,False,False,,False
Minnesota,3257,2582.1,2432.4,2721.0,,2493.6,-674.9,-824.6,-536.0,,-763.4,False,True,,False
Mississippi,3657,3810.9,3302.4,4646.0,,3568.7,153.9,-354.6,989.0,,-88.3,False,False,,True
Missouri,3597,2184.4,3032.6,2329.0,,2191.3,-1385.6,-537.4,-1241.0,,-1378.7,True,True,,True
Montana,600,312.4,326.8,497.0,,226.2,-287.6,-273.2,-103.0,,-373.8,True,True,,False
Nebraska,905,729.7,769.7,868.0,,570.5,-175.3,-135.3,-37.0,,-334.5,True,True,,False
Nevada,2011,2073.0,1823.2,2053.0,,2190.3,62.0,-187.8,42.0,,179.3,False,True,,False
New Hampshire,508,465.6,476.8,499.0,,474.0,-42.4,-31.2,-9.0,,-34.0,True,True,,True
New Jersey,16746,16445.0,16378.1,16670.0,,16285.3,-301.0,-367.9,-76.0,,-460.7,False,True,,False
New Mexico,1350,1020.1,996.7,1173.0,,937.1,-329.9,-353.3,-177.0,,-412.9,False,True,,False
New York,34296,33377.9,33474.7,33859.0,,33341.3,-918.1,-821.3,-437.0,,-954.7,True,True,,False
North Carolina,5005,4648.9,4509.6,5220.0,,4174.1,-356.1,-495.4,215.0,,-830.9,False,True,,False
North Dakota,840,286.3,450.5,357.0,,210.4,-553.7,-389.5,-483.0,,-629.6,True,True,,False
Ohio,6797,5952.7,5645.4,6602.0,,5562.4,-1127.3,-1434.6,-478.0,,-1517.6,False,True,,False
