,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3457,3390.3,3999.9,3408.3,3208.8,3029.9,2951.0,,3299.7,3031.0,3237.9,3063.3,3103.5,3566.0,3123.7,3029.8,,3250.6,3038.0,,,3067.1,,3456.0,3080.3,-66.7,542.9,-48.7,-248.2,-427.1,-506.0,,-157.3,-426.0,-219.1,-393.7,-353.5,109.0,-333.3,-427.2,,-206.4,-419.0,,,-389.9,,-1.0,-376.7,False,True,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,,False,,True,False
Alaska,102,101.0,354.6,102.0,128.5,116.9,85.0,,76.9,,87.7,99.7,103.6,133.2,88.8,120.1,,106.9,90.0,,,79.7,,99.0,78.3,-1.0,252.6,0.0,26.5,14.9,-17.0,,-25.1,,-14.3,-2.3,1.6,31.2,-13.2,18.1,,4.9,-12.0,,,-22.3,,-3.0,-23.7,False,True,False,False,False,,False,,False,False,False,False,False,False,,False,False,,,False,,False,False
Arizona,6457,6157.3,6907.4,6157.3,6169.3,6118.5,5995.0,,6293.2,6065.0,6322.5,6160.8,6073.8,6334.9,6112.5,6200.9,,6064.5,5965.0,,,6186.4,,6303.0,6250.0,-299.7,450.4,-299.7,-287.7,-338.5,-462.0,,-163.8,-392.0,-134.5,-296.2,-383.2,-122.1,-344.5,-256.1,,-392.5,-492.0,,,-270.6,,-154.0,-207.0,False,False,True,False,False,,True,False,True,True,False,True,False,True,,False,False,,,True,,True,True
Arkansas,2337,2359.7,2403.9,2343.8,2227.0,2122.1,2111.0,,2513.0,2420.0,2515.9,2304.9,2072.4,2522.2,2135.4,2180.9,,2016.8,2196.0,,,2156.0,,2422.0,1988.9,22.7,66.9,6.8,-110.0,-214.9,-226.0,,176.0,83.0,178.9,-32.1,-264.6,185.2,-201.6,-156.1,,-320.2,-141.0,,,-181.0,,85.0,-348.1,False,True,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,,False,,False,False
California,18710,18921.9,19727.2,18902.0,19589.6,18659.9,18758.0,,19218.3,18454.0,19235.5,18815.0,18911.5,19120.9,17944.6,18396.5,,17684.3,18671.5,,,18753.8,18847.0,18658.0,18602.5,211.9,1017.2,192.0,879.6,-50.1,48.0,,508.3,-256.0,525.5,105.0,201.5,410.9,-765.4,-313.5,,-1025.7,-38.5,,,43.8,137.0,-52.0,-107.5,False,True,False,True,True,,False,False,False,True,True,False,False,False,,False,True,,,True,True,True,True
Colorado,2787,2482.0,2758.2,2498.0,2598.4,2426.4,2400.0,,2741.5,2357.0,2432.2,2560.8,2439.0,2609.5,2357.6,2365.0,,2426.8,2285.0,,,2241.7,,2677.0,2284.1,-305.0,-28.8,-289.0,-188.6,-360.6,-387.0,,-45.5,-430.0,-354.8,-226.2,-348.0,-177.5,-429.4,-422.0,,-360.2,-502.0,,,-545.3,,-110.0,-502.9,True,True,True,False,False,,True,False,False,True,False,True,False,False,,False,False,,,False,,True,False
Connecticut,4828,4600.3,4595.0,4660.8,4753.3,4647.7,4615.0,,4602.3,4615.0,4625.7,4821.7,4639.2,4751.2,4576.4,4846.8,,4609.4,4584.0,,,4581.7,,4670.0,4551.0,-227.7,-233.0,-167.2,-74.7,-180.3,-213.0,,-225.7,-213.0,-202.3,-6.3,-188.8,-76.8,-251.6,18.8,,-218.6,-244.0,,,-246.3,,-158.0,-277.0,False,True,True,True,True,,True,True,True,True,True,True,False,True,,True,False,,,False,,True,False
Delaware,786,718.4,706.2,724.0,729.8,727.9,716.0,,733.5,696.0,713.6,725.2,698.8,734.0,692.9,741.8,,721.7,688.0,,,698.8,,718.0,698.9,-44.6,-56.8,-39.0,-33.2,-35.1,-47.0,,-29.5,-67.0,-49.4,-37.8,-64.2,-29.0,-70.1,-21.2,,-41.3,-75.0,,,-64.2,,-45.0,-64.1,False,True,True,True,False,,True,False,False,True,False,True,False,True,,True,False,,,False,,False,False
District of Columbia,670,660.4,672.1,669.5,706.6,666.9,646.0,,684.3,648.0,662.2,684.1,662.2,667.7,657.9,678.0,,654.0,670.0,,,650.5,,689.0,649.9,-9.6,2.1,-0.5,36.6,-3.1,-24.0,,14.3,-22.0,-7.8,14.1,-7.8,-2.3,-12.1,8.0,,-16.0,0.0,,,-19.5,,19.0,-20.1,True,True,False,True,False,,False,False,True,False,True,True,False,True,,False,True,,,False,,False,False
Florida,17930,18895.9,20821.3,19572.6,19695.2,18086.5,17567.0,,19792.8,17938.0,19466.8,18622.2,18364.2,18546.4,18059.7,18068.6,,17599.2,17422.0,,,18515.0,,19745.0,17759.8,965.9,2891.3,1642.6,1765.2,156.5,-363.0,,1862.8,8.0,1536.8,692.2,434.2,616.4,129.7,138.6,,-330.8,-508.0,,,585.0,,1815.0,-170.2,False,False,False,True,True,,False,True,False,True,True,True,True,True,,True,True,,,True,,False,True
