,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,3457,3003.9,2915.0,2865.3,,3528.0,3230.0,3035.6,3023.9,2680.1,2961.7,3184.2,2998.0,2910.7,-453.1,-542.0,-591.7,,71.0,-227.0,-421.4,-433.1,-776.9,-495.3,-272.8,-459.0,-546.3,False,False,,True,True,True,True,False,False,True,False,False
Alaska,102,142.4,88.0,84.5,,47.3,,78.2,174.3,65.2,79.3,109.8,83.0,69.6,40.4,-14.0,-17.5,,-54.7,,-23.8,72.3,-36.8,-22.7,7.8,-19.0,-32.4,True,True,,False,,True,False,True,True,True,True,True
Arizona,6457,6770.1,16356.0,6516.9,,7011.8,6491.0,6531.5,6153.1,5844.0,6531.1,6206.9,6237.0,6312.8,313.1,9899.0,59.9,,554.8,34.0,74.5,-303.9,-613.0,74.1,-250.1,-220.0,-144.2,False,True,,False,True,True,True,False,True,True,True,True
Arkansas,2337,2305.9,4443.0,2847.3,,2070.5,1804.0,2467.0,2175.6,1752.5,1896.9,1712.9,1980.0,1659.9,-31.1,2106.0,510.3,,-266.5,-533.0,130.0,-161.4,-584.5,-440.1,-624.1,-357.0,-677.1,False,False,,False,False,False,False,False,False,False,False,False
California,18710,20241.7,18940.0,18385.3,,24293.8,18623.0,18715.3,18433.4,16826.9,19118.7,18666.9,19463.0,18141.5,1531.7,230.0,-324.7,,5583.8,-87.0,5.3,-276.6,-1883.1,408.7,-43.1,753.0,-568.5,True,True,,False,True,True,True,False,True,True,True,True
Colorado,2787,2253.1,6573.0,2396.7,,2360.9,2233.0,2529.3,2304.1,2111.2,2172.1,3363.3,2613.0,2128.9,-533.9,3786.0,-390.3,,-426.1,-554.0,-257.7,-482.9,-675.8,-614.9,576.3,-174.0,-658.1,False,True,,True,False,True,True,False,False,False,True,False
Connecticut,4828,4571.7,4666.0,4582.4,,4905.3,4587.0,4587.6,4974.0,4525.0,4550.7,5009.0,4566.0,4520.5,-256.3,-162.0,-245.6,,77.3,-241.0,-240.4,146.0,-303.0,-277.3,181.0,-262.0,-307.5,True,True,,True,True,True,True,False,False,True,False,False
Delaware,786,727.3,726.0,714.5,,732.8,677.0,706.7,719.4,677.2,682.5,810.3,674.0,663.4,-45.7,-47.0,-58.5,,-40.2,-96.0,-66.3,-53.6,-95.8,-90.5,37.3,-99.0,-109.6,False,False,,True,False,False,False,False,False,True,False,False
District of Columbia,670,655.4,674.0,647.0,,674.9,635.0,649.6,669.1,624.7,647.2,721.3,655.0,636.8,-14.6,4.0,-23.0,,4.9,-35.0,-20.4,-0.9,-45.3,-22.8,51.3,-15.0,-33.2,True,False,,True,False,False,True,False,False,False,False,False
Florida,17930,19814.9,19350.0,17882.4,,22926.7,17000.0,17609.4,17020.0,15185.0,17973.6,16019.2,18336.0,16411.0,1884.9,1420.0,-47.6,,4996.7,-930.0,-320.6,-910.0,-2745.0,43.6,-1910.8,406.0,-1519.0,True,True,,False,True,True,True,False,True,False,True,True
Georgia,9179,9648.9,8651.0,8050.6,,8828.3,8347.0,8335.8,8960.5,7859.6,8863.7,8170.2,8586.0,8016.8,469.9,-528.0,-1128.4,,-350.7,-832.0,-843.2,-218.5,-1319.4,-315.3,-1008.8,-593.0,-1162.2,False,False,,True,False,False,True,False,True,False,False,False
Hawaii,231,226.3,170.0,176.0,,164.4,,169.5,409.5,155.0,194.3,173.4,174.0,182.1,-4.7,-61.0,-55.0,,-66.6,,-61.5,178.5,-76.0,-36.7,-57.6,-57.0,-48.9,False,False,,False,,False,False,False,False,False,False,False
Idaho,847,593.6,2510.0,656.6,,721.5,619.0,745.3,654.6,473.0,614.1,708.8,678.0,552.7,-253.4,1663.0,-190.4,,-125.5,-228.0,-101.7,-192.4,-374.0,-232.9,-138.2,-169.0,-294.3,False,True,,True,True,True,True,False,True,True,True,False
Illinois,11952,10094.3,9660.0,9765.7,,10476.4,9788.0,10190.9,10359.8,9307.7,9865.5,12658.1,9876.0,9046.4,-1857.7,-2292.0,-2186.3,,-1475.6,-2164.0,-1761.1,-1592.2,-2644.3,-2086.5,706.1,-2076.0,-2905.6,False,False,,True,False,True,True,False,False,True,False,False
Indiana,5697,4161.4,3984.0,4034.4,,4697.7,4096.0,4108.9,4795.0,3831.6,4002.2,5521.1,4030.0,3686.5,-1522.6,-1700.0,-1649.6,,-986.3,-1588.0,-1575.1,-889.0,-1852.4,-1681.8,-162.9,-1654.0,-1997.5,False,False,,True,False,False,True,False,False,True,False,False
Iowa,2191,1716.7,1541.0,1620.9,,1652.1,1766.0,1835.4,1912.0,1430.6,1719.6,2096.2,1587.0,1511.8,-474.3,-650.0,-570.1,,-538.9,-425.0,-355.6,-279.0,-760.4,-471.4,-94.8,-604.0,-679.2,False,False,,False,True,True,True,False,True,True,False,False
Kansas,1410,949.3,974.0,1086.8,,2382.5,880.0,933.5,1175.4,684.8,909.9,916.2,1041.0,766.5,-460.7,-436.0,-323.2,,972.5,-530.0,-476.5,-234.6,-725.2,-500.1,-493.8,-369.0,-643.5,True,True,,False,False,False,True,False,False,False,True,False
Kentucky,1783,1518.4,1621.0,1496.6,,2203.9,1498.0,1635.1,1975.6,1242.8,1636.7,1950.1,1551.0,1347.4,-264.6,-162.0,-286.4,,420.9,-285.0,-147.9,192.6,-540.2,-146.3,167.1,-232.0,-435.6,True,False,,False,False,True,True,False,True,True,True,False
Louisiana,6233,6227.1,6228.0,6070.2,,6779.5,6176.0,6027.3,6378.9,5842.0,6549.3,6210.8,5842.0,5893.7,-5.9,-5.0,-162.8,,546.5,-57.0,-205.7,145.9,-391.0,316.3,-22.2,-391.0,-339.3,True,False,,False,False,False,False,False,False,False,False,False
Maine,174,147.9,169.0,168.3,,167.2,208.0,169.4,235.4,141.0,146.5,187.0,166.0,151.9,-26.1,-5.0,-5.7,,-6.8,34.0,-4.6,61.4,-33.0,-27.5,13.0,-8.0,-22.1,True,True,,True,False,True,False,False,False,True,True,True
Maryland,4415,4375.0,4269.0,4171.6,,4289.2,4308.0,4212.1,4515.2,4043.4,4150.8,4721.5,4152.0,4079.7,-40.0,-146.0,-243.4,,-125.8,-107.0,-202.9,100.2,-371.6,-264.2,306.5,-263.0,-335.3,False,False,,False,False,False,False,False,False,False,False,False
Massachusetts,10488,10142.6,12104.0,10228.0,,10543.8,9742.0,10632.2,10387.7,9670.3,9750.0,11843.7,10849.0,9655.5,-345.4,1616.0,-260.0,,55.8,-746.0,144.2,-100.3,-817.7,-738.0,1355.7,361.0,-832.5,False,True,,True,False,True,True,False,False,False,False,False
Michigan,8875,7633.3,7580.0,7521.5,,7839.9,7712.0,7696.9,8024.4,7230.5,7413.9,9289.9,7601.0,7170.4,-1241.7,-1295.0,-1353.5,,-1035.1,-1163.0,-1178.1,-850.6,-1644.5,-1461.1,414.9,-1274.0,-1704.6,False,False,,True,True,True,True,False,False,True,False,False
Minnesota,3257,2397.9,2805.0,2432.1,,2986.3,2511.0,2466.9,2499.4,2163.8,2505.8,4099.7,2614.0,2220.2,-859.1,-452.0,-824.9,,-270.7,-746.0,-790.1,-757.6,-1093.2,-751.2,842.7,-643.0,-1036.8,True,True,,True,True,True,True,False,True,True,True,False
Mississippi,3657,3775.4,3641.0,3443.9,,3928.9,3459.0,3505.6,3527.6,3282.0,3612.4,3614.0,3521.0,3386.5,118.4,-16.0,-213.1,,271.9,-198.0,-151.4,-129.4,-375.0,-44.6,-43.0,-136.0,-270.5,True,False,,False,False,False,False,False,True,True,False,False
Missouri,3597,3836.6,3488.0,2907.9,,3270.4,2397.0,2999.8,3537.1,2603.8,2901.6,3584.7,3425.0,2271.2,268.6,-80.0,-660.1,,-297.6,-1171.0,-568.2,-30.9,-964.2,-666.4,16.7,-143.0,-1296.8,True,False,,False,False,False,True,False,False,True,True,False
Montana,600,298.7,2063.0,435.1,,365.0,295.0,383.6,427.3,205.3,259.9,472.7,389.0,220.1,-301.3,1463.0,-164.9,,-235.0,-305.0,-216.4,-172.7,-394.7,-340.1,-127.3,-211.0,-379.9,False,True,,True,False,True,True,False,False,True,True,False
Nebraska,905,690.0,898.0,668.0,,1001.7,652.0,684.4,642.1,543.7,572.6,754.1,599.0,538.5,-215.0,-7.0,-237.0,,96.7,-253.0,-220.6,-262.9,-361.3,-332.4,-150.9,-306.0,-366.5,True,False,,True,False,False,False,False,False,True,False,False
Nevada,2011,2009.3,2925.0,1957.9,,2347.2,1900.0,1940.6,1988.9,1690.2,2143.5,2115.0,2173.0,1860.6,-1.7,914.0,-53.1,,336.2,-111.0,-70.4,-22.1,-320.8,132.5,104.0,162.0,-150.4,False,False,,False,False,False,False,False,False,False,False,False
New Hampshire,508,446.9,464.0,460.3,,484.7,457.0,458.4,499.2,447.6,462.2,576.2,445.0,449.7,-61.1,-44.0,-47.7,,-23.3,-51.0,-49.6,-8.8,-60.4,-45.8,68.2,-63.0,-58.3,True,True,,True,True,True,True,True,True,False,False,True
