,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,3457,3166.9,3187.9,3194.0,3264.0,3177.9,3279.0,3202.0,3657.0,3371.6,3060.0,3189.3,3127.8,3301.1,,3843.2,3201.0,3335.5,3344.4,3497.0,3105.8,3212.5,3571.7,3249.3,3316.3,3238.0,3328.3,3322.4,,3406.3,3310.2,3060.0,,3346.0,3233.7,,3322.0,3254.7,3343.0,3119.9,,3506.6,3343.4,3203.0,3281.4,3551.0,3321.0,3165.5,3105.1,3255.0,-290.1,-269.1,-263.0,-193.0,-279.1,-178.0,-255.0,200.0,-85.4,-397.0,-267.7,-329.2,-155.9,,386.2,-256.0,-121.5,-112.6,40.0,-351.2,-244.5,114.7,-207.7,-140.7,-219.0,-128.7,-134.6,,-50.7,-146.8,-397.0,,-111.0,-223.3,,-135.0,-202.3,-114.0,-337.1,,49.6,-113.6,-254.0,-175.6,94.0,-136.0,-291.5,-351.9,-202.0,True,True,True,True,True,True,True,True,False,True,False,True,,False,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,False,,True,True,,True,True,True,False,,True,True,True,True,True,True,False,False,True
Alaska,102,71.9,73.1,76.6,99.0,73.0,89.0,107.0,90.0,115.8,99.0,89.6,81.9,87.3,,97.5,,83.2,112.7,118.0,94.7,68.0,94.6,109.8,95.4,167.0,73.0,137.8,,104.6,73.8,69.0,,,75.9,,91.0,91.3,124.0,79.0,,88.2,76.7,122.0,81.7,131.0,80.0,75.0,76.1,,-30.1,-28.9,-25.4,-3.0,-29.0,-13.0,5.0,-12.0,13.8,-3.0,-12.4,-20.1,-14.7,,-4.5,,-18.8,10.7,16.0,-7.3,-34.0,-7.4,7.8,-6.6,65.0,-29.0,35.8,,2.6,-28.2,-33.0,,,-26.1,,-11.0,-10.7,22.0,-23.0,,-13.8,-25.3,20.0,-20.3,29.0,-22.0,-27.0,-25.9,,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,False,True,True,True,False,True,False,,True,True,False,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,
Arizona,6457,6055.3,6205.4,6061.9,6181.0,6059.9,6137.0,6190.0,6133.0,6237.9,5972.0,6167.6,5937.9,6264.2,,6173.9,6125.0,6168.3,6254.2,6148.0,6062.7,6035.5,6197.9,6112.9,6129.1,6109.0,5979.2,6293.1,,6152.5,6131.9,5977.0,,6138.8,5986.2,,6181.0,6893.2,6297.0,6107.0,,5922.1,6007.0,6246.0,6385.3,6512.9,6215.0,6016.0,6191.9,6041.0,-401.7,-251.6,-395.1,-276.0,-397.1,-320.0,-267.0,-324.0,-219.1,-485.0,-289.4,-519.1,-192.8,,-283.1,-332.0,-288.7,-202.8,-309.0,-394.3,-421.5,-259.1,-344.1,-327.9,-348.0,-477.8,-163.9,,-304.5,-325.1,-480.0,,-318.2,-470.8,,-276.0,436.2,-160.0,-350.0,,-534.9,-450.0,-211.0,-71.7,55.9,-242.0,-441.0,-265.1,-416.0,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,True,True,True,True,False,True,True,True,True,False,True,,True,True,False,,True,False,,True,False,True,True,,False,False,True,True,True,True,False,True,False
Arkansas,2337,2228.6,2187.6,2226.2,2321.0,2248.8,2284.0,2236.0,2267.0,2351.4,2309.0,2395.2,2251.2,2471.9,,2549.4,2256.0,2497.3,2435.8,2384.0,2087.1,2323.0,2422.6,2151.7,2256.8,2179.0,2302.4,2302.0,,2071.3,2406.3,2172.0,,2568.8,1969.6,,2366.3,1863.2,2376.0,2153.2,,2348.3,2316.6,2191.0,2221.7,2124.9,2325.0,2215.0,2053.8,2132.0,-108.4,-149.4,-110.8,-16.0,-88.2,-53.0,-101.0,-70.0,14.4,-28.0,58.2,-85.8,134.9,,212.4,-81.0,160.3,98.8,47.0,-249.9,-14.0,85.6,-185.3,-80.2,-158.0,-34.6,-35.0,,-265.7,69.3,-165.0,,231.8,-367.4,,29.3,-473.8,39.0,-183.8,,11.3,-20.4,-146.0,-115.3,-212.1,-12.0,-122.0,-283.2,-205.0,False,False,True,True,True,True,True,True,True,True,True,False,,False,True,False,True,True,False,True,True,False,True,False,True,True,,False,True,False,,False,False,,True,False,True,False,,True,True,False,False,False,True,False,False,False
California,18672,18819.9,19770.3,18888.5,19018.0,18891.9,18878.0,19262.0,19059.0,18867.7,18062.0,18658.3,19053.0,19080.3,,19044.2,18792.0,18908.6,18752.5,19143.0,18722.3,18739.5,19014.8,18366.2,18912.5,18587.0,19111.0,18968.3,,18096.6,18705.8,18143.0,,18792.9,18089.0,,19190.0,18430.2,19629.0,18792.8,19231.0,18230.8,19136.6,18824.0,19129.6,19383.7,19314.0,18329.0,18663.7,18339.0,147.9,1098.3,216.5,346.0,219.9,206.0,590.0,387.0,195.7,-610.0,-13.7,381.0,408.3,,372.2,120.0,236.6,80.5,471.0,50.3,67.5,342.8,-305.8,240.5,-85.0,439.0,296.3,,-575.4,33.8,-529.0,,120.9,-583.0,,518.0,-241.8,957.0,120.8,559.0,-441.2,464.6,152.0,457.6,711.7,642.0,-343.0,-8.3,-333.0,False,False,False,False,False,False,False,False,False,True,False,False,,False,True,False,True,False,True,True,False,False,False,True,False,False,,False,True,False,,True,False,,False,False,False,True,False,False,False,False,False,False,False,False,True,False
Colorado,2787,2404.3,2320.1,2398.8,2499.0,2389.2,2482.0,2704.0,2654.0,2662.9,2749.0,2451.2,2568.3,2556.1,,2574.1,2385.0,2518.0,2856.2,2538.0,2438.8,2426.5,2510.4,2453.7,2567.9,2550.0,2405.7,2490.3,,2476.5,2602.0,2295.0,,2526.4,2283.2,,2458.0,2548.7,2522.0,2329.5,,2578.5,2429.2,2647.0,2405.5,3450.3,2501.0,2459.0,2313.5,,-382.7,-466.9,-388.2,-288.0,-397.8,-305.0,-83.0,-133.0,-124.1,-38.0,-335.8,-218.7,-230.9,,-212.9,-402.0,-269.0,69.2,-249.0,-348.2,-360.5,-276.6,-333.3,-219.1,-237.0,-381.3,-296.7,,-310.5,-185.0,-492.0,,-260.6,-503.8,,-329.0,-238.3,-265.0,-457.5,,-208.5,-357.8,-140.0,-381.5,663.3,-286.0,-328.0,-473.5,,False,False,True,False,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,False,,True,True,True,False,,True,True,True,True,False,True,True,False,
Connecticut,4828,4712.0,4906.3,4724.2,4721.0,4734.2,4725.0,4723.0,4817.0,4761.1,4834.0,4686.9,4707.7,4754.7,,4585.0,4659.0,4712.4,4870.2,4757.0,4666.4,4756.0,4798.5,4615.0,4695.7,4678.0,4756.2,4730.9,,4668.6,4754.9,4654.0,,4675.1,4657.5,,4725.0,5874.2,4666.0,4661.4,,4650.7,4784.1,4991.0,4667.2,5433.3,4746.0,4670.0,4586.6,,-116.0,78.3,-103.8,-107.0,-93.8,-103.0,-105.0,-11.0,-66.9,6.0,-141.1,-120.3,-73.3,,-243.0,-169.0,-115.6,42.2,-71.0,-161.6,-72.0,-29.5,-213.0,-132.3,-150.0,-71.8,-97.1,,-159.4,-73.1,-174.0,,-152.9,-170.5,,-103.0,1046.2,-162.0,-166.6,,-177.3,-43.9,163.0,-160.8,605.3,-82.0,-158.0,-241.4,,True,True,True,True,True,True,True,True,True,False,False,True,,False,False,True,True,True,False,True,True,False,False,False,True,True,,False,True,False,,False,False,,True,False,False,False,,False,True,False,False,False,True,False,False,
Delaware,746,742.7,751.1,743.9,731.0,745.5,737.0,733.0,728.0,735.4,737.0,782.5,739.2,752.0,,721.8,712.0,729.9,721.8,768.0,713.1,729.5,727.0,702.9,721.1,727.0,748.1,740.2,,731.0,748.2,700.0,,,717.1,,736.0,751.9,751.0,721.0,,732.7,776.4,724.0,755.9,817.0,742.0,747.5,709.5,748.0,-3.3,5.1,-2.1,-15.0,-0.5,-9.0,-13.0,-18.0,-10.6,-9.0,36.5,-6.8,6.0,,-24.2,-34.0,-16.1,-24.2,22.0,-32.9,-16.5,-19.0,-43.1,-24.9,-19.0,2.1,-5.8,,-15.0,2.2,-46.0,,,-28.9,,-10.0,5.9,5.0,-25.0,,-13.3,30.4,-22.0,9.9,71.0,-4.0,1.5,-36.5,2.0,False,True,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,True,False,,,False,,False,False,False,False,,False,False,False,False,False,False,True,False,True
District of Columbia,670,645.9,644.2,647.0,658.0,652.0,659.0,658.0,666.0,679.8,649.0,679.4,661.4,663.6,,677.7,651.0,652.7,678.7,663.0,655.0,642.0,673.1,658.1,643.1,664.0,,,,652.5,645.6,651.0,,,669.0,,661.0,698.3,673.0,649.0,,671.2,,659.0,,707.6,661.0,653.0,651.8,,-24.1,-25.8,-23.0,-12.0,-18.0,-11.0,-12.0,-4.0,9.8,-21.0,9.4,-8.6,-6.4,,7.7,-19.0,-17.3,8.7,-7.0,-15.0,-28.0,3.1,-11.9,-26.9,-6.0,,,,-17.5,-24.4,-19.0,,,-1.0,,-9.0,28.3,3.0,-21.0,,1.2,,-11.0,,37.6,-9.0,-17.0,-18.2,,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,False,True,,,,True,False,True,,,True,,True,False,True,True,,True,,True,,False,True,True,True,
Florida,17930,18211.0,18205.8,18624.6,18318.0,18416.7,18483.0,18607.0,20419.0,19260.3,17815.0,18104.8,18548.0,18928.8,,20170.5,18436.0,19431.5,19396.8,18335.0,18210.1,18223.0,19899.2,17743.5,18283.5,18160.0,18542.3,18448.7,,18167.1,18934.4,17867.0,,18939.6,18183.1,,19224.8,20155.7,19042.0,18083.3,,18334.9,18565.5,18492.0,18439.1,17888.3,19563.0,18265.0,17892.6,18664.0,281.0,275.8,694.6,388.0,486.7,553.0,677.0,2489.0,1330.3,-115.0,174.8,618.0,998.8,,2240.5,506.0,1501.5,1466.8,405.0,280.1,293.0,1969.2,-186.5,353.5,230.0,612.3,518.7,,237.1,1004.4,-63.0,,1009.6,253.1,,1294.8,2225.7,1112.0,153.3,,404.9,635.5,562.0,509.1,-41.7,1633.0,335.0,-37.4,734.0,True,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,False,False,True,False,False,True,False,True,False,False,,True,False,True,,False,True,,False,False,False,True,,False,False,False,False,True,False,False,True,False
