,mean_rank
Karlen-pypm,13.4
OliverWyman-Navigator,14.1
USC-SI_kJalpha,14.5
JHUAPL-Bucky,14.6
Google_Harvard-CPF,14.7
Covid19Sim-Simulator,15.7
UMass-MechBayes,15.7
SteveMcConnell-CovidComplete,15.8
UCSD_NEU-DeepGLEAM,16.2
JHU_CSSE-DECOM,16.3
MOBS-GLEAM_COVID,16.6
CU-select,16.9
UA-EpiCovDA,17.0
MSRA-DeepST,17.5
COVIDhub-ensemble,18.1
JCB-PRM,18.2
LNQ-ens1,18.2
Columbia_UNC-SurvCon,19.4
BPagano-RtDriven,20.8
CMU-TimeSeries,21.0
COVIDhub-baseline,21.7
GT-DeepCOVID,22.0
TTU-squider,22.1
MIT_CritData-GBCF,22.4
IHME-CurveFit,22.8
DDS-NBDS,23.1
UMich-RidgeTfReg,23.5
CEID-Walk,24.0
epiforecasts-ensemble1,24.1
USACE-ERDC_SEIR,24.3
UT-Mobility,24.5
NotreDame-mobility,25.1
IowaStateLW-STEM,25.2
JHU_UNC_GAS-StatMechPool,25.3
CovidAnalytics-DELPHI,25.4
JHU_IDD-CovidSP,27.5
PSI-DRAFT,28.3
UCLA-SuEIR,28.9
UCSB-ACTS,29.1
LANL-GrowthRate,29.9
RobertWalraven-ESG,33.7
WalmartLabsML-LogForecasting,35.5
