,mean_rank
OliverWyman-Navigator,15.1
UMass-MechBayes,15.1
Karlen-pypm,15.4
Google_Harvard-CPF,15.8
BPagano-RtDriven,17.1
USC-SI_kJalpha,17.2
COVIDhub-ensemble,17.5
Columbia_UNC-SurvCon,17.7
MSRA-DeepST,17.7
UCSD_NEU-DeepGLEAM,17.9
Caltech-CS156,17.9
JCB-PRM,18.1
SteveMcConnell-CovidComplete,18.5
LNQ-ens1,18.6
UChicagoCHATTOPADHYAY-UnIT,19.0
CU-select,19.0
MOBS-GLEAM_COVID,19.6
UCSB-ACTS,19.8
LANL-GrowthRate,20.0
JHU_CSSE-DECOM,20.9
IowaStateLW-STEM,21.1
UA-EpiCovDA,21.5
GT-DeepCOVID,21.6
Geneva-DetGrowth,21.7
JHU_IDD-CovidSP,22.0
epiforecasts-ensemble1,22.2
MIT_CritData-GBCF,22.7
JHUAPL-Bucky,23.8
UT-Mobility,24.4
COVIDhub-baseline,24.9
CEID-Walk,25.0
UMich-RidgeTfReg,25.0
CovidAnalytics-DELPHI,25.0
CMU-TimeSeries,25.1
RobertWalraven-ESG,25.1
DDS-NBDS,25.5
PSI-DRAFT,26.0
IQVIA_ACOE-STAN,26.4
USACE-ERDC_SEIR,27.1
UCLA-SuEIR,28.3
NotreDame-mobility,29.4
TTU-squider,36.1
WalmartLabsML-LogForecasting,38.3
