,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,3457,3270.7,3529.3,5505.0,,-186.3,72.3,2048.0,,True,False,
Alaska,102,35.9,206.0,,,-66.1,104.0,,,False,,
Arizona,6457,10006.1,11183.3,6142.0,,3549.1,4726.3,-315.0,,False,True,
Arkansas,2337,962.1,1171.7,2130.0,,-1374.9,-1165.3,-207.0,,True,True,
California,18672,19836.1,32419.4,12209.0,,1164.1,13747.4,-6463.0,,False,False,
Colorado,2787,2177.6,2744.5,2178.0,,-609.4,-42.5,-609.0,,True,True,
Connecticut,4828,4593.1,4462.5,4522.0,,-234.9,-365.5,-306.0,,False,False,
Delaware,746,611.3,988.7,655.0,,-134.7,242.7,-91.0,,False,True,
District of Columbia,670,737.7,603.5,604.0,,67.7,-66.5,-66.0,,True,True,
Florida,17930,13878.0,40925.4,10894.0,,-4052.0,22995.4,-7036.0,,False,False,
Georgia,9179,5699.6,12511.4,7008.0,,-3479.4,3332.4,-2171.0,,True,True,
Hawaii,231,19.0,160.3,,,-212.0,-70.7,,,True,,
Idaho,847,271.7,2057.1,531.0,,-575.3,1210.1,-316.0,,False,True,
Illinois,11951,14327.4,8995.1,9256.0,,2376.4,-2955.9,-2695.0,,False,False,
Indiana,5246,4023.4,5800.9,4014.0,,-1222.6,554.9,-1232.0,,True,False,
Iowa,2191,1336.6,2483.8,1253.0,,-854.4,292.8,-938.0,,True,False,
Kansas,1410,542.1,2081.3,1082.0,,-867.9,671.3,-328.0,,True,True,
Kentucky,1783,1379.3,1965.0,1262.0,,-403.7,182.0,-521.0,,True,False,
Louisiana,6233,5829.7,8565.2,10554.0,,-403.3,2332.2,4321.0,,False,False,
Maine,174,208.3,129.2,122.0,,34.3,-44.8,-52.0,,False,False,
Maryland,4415,4752.1,3964.6,3656.0,,337.1,-450.4,-759.0,,False,False,
Massachusetts,10488,11002.7,8648.0,13274.0,,514.7,-1840.0,2786.0,,False,False,
Michigan,8875,8124.3,7832.7,6959.0,,-750.7,-1042.3,-1916.0,,False,False,
Minnesota,3257,2143.4,3264.0,3059.0,,-1113.6,7.0,-198.0,,True,True,
Mississippi,3657,3851.3,3919.0,3456.0,,194.3,262.0,-201.0,,False,False,
Missouri,3574,1865.1,2645.0,2075.0,,-1708.9,-929.0,-1499.0,,True,True,
Montana,600,142.1,915.6,94.0,,-457.9,315.6,-506.0,,True,False,
Nebraska,905,303.9,555.4,574.0,,-601.1,-349.6,-331.0,,True,True,
Nevada,2011,1705.6,3081.8,1121.0,,-305.4,1070.8,-890.0,,False,False,
New Hampshire,508,579.6,448.8,502.0,,71.6,-59.2,-6.0,,True,True,
New Jersey,16746,21446.1,16582.4,20896.0,,4700.1,-163.6,4150.0,,True,True,
New Mexico,1350,1148.4,1371.7,1672.0,,-201.6,21.7,322.0,,True,False,
New York,34296,35065.4,33270.5,35778.0,,814.4,-980.5,1527.0,,False,False,
North Carolina,5005,3388.9,4647.6,6291.0,,-1616.1,-357.4,1286.0,,True,True,
North Dakota,840,219.0,322.7,288.0,,-621.0,-517.3,-552.0,,True,True,
Ohio,5984,5830.0,6500.9,5931.0,,-154.0,516.9,-53.0,,False,True,
Oklahoma,1624,874.6,2199.9,2846.0,,-749.4,575.9,1222.0,,True,False,
Oregon,819,592.3,1011.7,799.0,,-226.7,192.7,-20.0,,True,True,
Pennsylvania,9775,9751.4,9183.0,9053.0,,-23.6,-592.0,-722.0,,False,False,
Rhode Island,1294,1277.7,1116.7,1182.0,,-5.3,-166.3,-101.0,,False,False,
South Carolina,4274,3619.9,4728.5,3998.0,,-654.1,454.5,-276.0,,True,True,
South Dakota,777,335.3,204.4,244.0,,-441.7,-572.6,-533.0,,False,False,
Tennessee,4211,2551.3,4368.5,4536.0,,-1659.7,157.5,325.0,,True,True,
Texas,20903,14058.9,33638.2,28030.0,11238.0,-6314.1,13265.2,7657.0,-9135.0,False,False,False
Utah,787,799.6,1403.3,1043.0,,12.6,616.3,256.0,,False,False,
Vermont,63,56.0,60.1,58.0,,-7.0,-2.9,-5.0,,True,True,
Virginia,3938,4096.9,2835.2,3003.0,,158.9,-1102.8,-935.0,,False,False,
Washington,2619,2927.7,3845.7,2506.0,,308.7,1226.7,-113.0,,False,True,
West Virginia,658,133.7,1138.9,233.0,,-524.3,480.9,-425.0,,True,True,
Wisconsin,3143,1272.6,3177.7,1510.0,,-1841.4,63.7,-1604.0,,True,True,
Wyoming,176,39.9,187.4,58.0,,-136.1,11.4,-118.0,,True,True,
US,255947,234110.7,312813.5,228108.0,175252.0,-21221.3,57481.5,-27224.0,-80080.0,False,False,False
