,mean_rank
Karlen-pypm,12.3
Caltech-CS156,13.9
USC-SI_kJalpha,15.6
UMass-MechBayes,16.1
OliverWyman-Navigator,16.2
Google_Harvard-CPF,16.4
UCSD_NEU-DeepGLEAM,16.6
LNQ-ens1,16.8
SteveMcConnell-CovidComplete,16.8
COVIDhub-ensemble,16.9
UChicagoCHATTOPADHYAY-UnIT,17.0
MSRA-DeepST,18.0
MOBS-GLEAM_COVID,18.4
Columbia_UNC-SurvCon,18.5
GT-DeepCOVID,19.8
LANL-GrowthRate,19.8
USC-SI_kJalpha_RF,20.1
CMU-TimeSeries,20.3
UA-EpiCovDA,20.9
JCB-PRM,21.1
CU-select,21.1
BPagano-RtDriven,21.2
JHU_CSSE-DECOM,21.4
epiforecasts-ensemble1,21.6
MIT_CritData-GBCF,22.0
IowaStateLW-STEM,22.0
DDS-NBDS,22.9
JHUAPL-Bucky,23.3
UT-Mobility,24.2
COVIDhub-baseline,24.4
CEID-Walk,24.6
Covid19Sim-Simulator,25.4
RobertWalraven-ESG,25.9
UMich-RidgeTfReg,26.9
UCLA-SuEIR,27.6
IQVIA_ACOE-STAN,27.7
UCSB-ACTS,28.0
CovidAnalytics-DELPHI,28.6
NotreDame-mobility,30.2
PSI-DRAFT,30.3
JHU_UNC_GAS-StatMechPool,30.4
TTU-squider,33.2
JHU_IDD-CovidSP,36.1
WalmartLabsML-LogForecasting,39.6
