,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3457,3699.4,2747.2,3286.0,,2932.0,242.4,-709.8,-171.0,,-525.0,False,True,,False
Alaska,102,55.7,153.2,,,52.4,-46.3,51.2,,,-49.6,False,,,False
Arizona,6457,9439.1,4549.0,7711.0,,6729.9,2982.1,-1908.0,1254.0,,272.9,True,True,,True
Arkansas,2337,1361.1,1306.0,1460.0,,830.6,-975.9,-1031.0,-877.0,,-1506.4,False,True,,False
California,18672,23243.3,19860.7,21536.0,,17794.6,4571.3,1188.7,2864.0,,-877.4,True,True,,True
Colorado,2787,2422.6,2319.1,2182.0,,2417.5,-364.4,-467.9,-605.0,,-369.5,False,False,,False
Connecticut,4828,4619.3,4555.0,4535.0,,4604.5,-208.7,-273.0,-293.0,,-223.5,False,False,,False
Delaware,746,620.7,670.6,645.0,,640.6,-125.3,-75.4,-101.0,,-105.4,True,True,,True
District of Columbia,670,680.1,673.1,642.0,,678.9,10.1,3.1,-28.0,,8.9,True,False,,True
Florida,17930,26995.1,12934.7,18551.0,,18918.0,9065.1,-4995.3,621.0,,988.0,True,True,,True
Georgia,9179,11672.1,7240.8,7296.0,,8309.0,2493.1,-1938.2,-1883.0,,-870.0,True,True,,True
Hawaii,231,164.7,668.4,,,253.2,-66.3,437.4,,,22.2,False,,,True
Idaho,847,712.4,597.9,465.0,,417.6,-134.6,-249.1,-382.0,,-429.4,False,False,,False
Illinois,11951,9479.3,9876.8,8737.0,,9008.0,-2471.7,-2074.2,-3214.0,,-2943.0,True,False,,False
Indiana,5246,4407.9,4465.9,3932.0,,4088.4,-838.1,-780.1,-1314.0,,-1157.6,True,False,,False
Iowa,2191,1584.7,1500.2,1569.0,,1189.0,-606.3,-690.8,-622.0,,-1002.0,False,False,,False
Kansas,1410,766.3,787.2,655.0,,595.7,-643.7,-622.8,-755.0,,-814.3,True,False,,False
Kentucky,1783,1322.7,,1072.0,,1235.8,-460.3,,-711.0,,-547.2,,False,,False
Louisiana,6233,7888.1,,7106.0,,5387.2,1655.1,,873.0,,-845.8,,True,,True
Maine,174,154.7,,142.0,,141.2,-19.3,,-32.0,,-32.8,,False,,False
Maryland,4415,4387.3,,3932.0,,4086.7,-27.7,,-483.0,,-328.3,,False,,False
Massachusetts,10488,10265.3,,8984.0,,9616.5,-222.7,,-1504.0,,-871.5,,False,,False
