,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,3457,3928.7,3163.2,2668.6,3135.0,,3118.7,471.7,-293.8,-788.4,-322.0,,-338.3,True,False,True,,True
Alaska,102,96.3,102.0,37.4,,,66.4,-5.7,0.0,-64.6,,,-35.6,True,False,,,False
Arizona,6457,8101.0,6333.4,6885.1,7302.0,,7063.5,1644.0,-123.6,428.1,845.0,,606.5,True,True,True,,True
Arkansas,2337,1934.1,1555.8,2096.0,1741.0,,1531.6,-402.9,-781.2,-241.0,-596.0,,-805.4,False,True,False,,False
California,18710,22233.0,19985.5,32794.3,20286.0,,19892.3,3523.0,1275.5,14084.3,1576.0,,1182.3,True,False,True,,True
Colorado,2787,2226.6,2146.1,2287.6,2249.0,,2106.1,-560.4,-640.9,-499.4,-538.0,,-680.9,False,True,True,,False
Connecticut,4828,4524.3,4565.0,4590.0,4595.0,,4532.4,-303.7,-263.0,-238.0,-233.0,,-295.6,True,True,True,,True
Delaware,786,651.4,651.7,667.0,665.0,,645.2,-123.6,-123.3,-108.0,-110.0,,-129.8,True,True,True,,False
District of Columbia,670,629.7,643.6,847.6,643.0,,630.1,-40.3,-26.4,177.6,-27.0,,-39.9,True,False,True,,True
Florida,17930,20533.6,14536.1,23764.6,17988.0,,18435.3,2603.6,-3393.9,5834.6,58.0,,505.3,False,False,True,,True
Georgia,9179,11200.6,8582.1,11731.5,8062.0,,9186.9,2021.6,-596.9,2552.5,-1117.0,,7.9,True,False,True,,True
Hawaii,231,252.7,415.0,63.0,,,171.7,21.7,184.0,-168.0,,,-59.3,False,False,,,False
Idaho,847,975.6,699.9,1240.2,801.0,,669.4,128.6,-147.1,393.2,-46.0,,-177.6,False,False,True,,False
Illinois,11952,9876.1,10018.7,13824.6,9244.0,,9209.2,-2075.9,-1933.3,1872.6,-2708.0,,-2742.8,True,True,False,,False
Indiana,5697,4132.9,4250.9,5635.6,4155.0,,3907.9,-1605.1,-1487.1,-102.4,-1583.0,,-1830.1,True,True,True,,False
