,actual_deaths,Baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2501,2734.9,,2654.0,2493.5,2288.3,,2513.2,2771.0,2389.0,2617.4,233.9,,153.0,-7.5,-212.7,,12.2,270.0,-112.0,116.4,,True,True,True,,True,False,True,True
Alaska,52,39.7,,68.0,33.9,34.3,,36.9,46.4,28.0,48.6,-12.3,,16.0,-18.1,-17.7,,-15.1,-5.6,-24.0,-3.4,,False,False,False,,False,True,False,True
Arizona,5622,6790.0,,6485.0,5892.1,5012.8,,5641.0,5378.8,4904.0,6172.4,1168.0,,863.0,270.1,-609.2,,19.0,-243.2,-718.0,550.4,,True,True,True,,True,True,True,True
Arkansas,1285,1092.6,,935.0,1010.8,810.5,,892.5,885.2,1001.0,957.0,-192.4,,-350.0,-274.2,-474.5,,-392.5,-399.8,-284.0,-328.0,,False,False,False,,False,False,False,False
California,15583,17103.9,,17677.0,16886.8,13017.4,,14930.4,15716.8,13835.0,16142.5,1520.9,,2094.0,1303.8,-2565.6,,-652.6,133.8,-1748.0,559.5,,False,True,False,,True,True,False,True
Colorado,2040,1954.0,,2028.0,2503.9,1966.7,,1938.2,2512.8,1977.0,2157.8,-86.0,,-12.0,463.9,-73.3,,-101.8,472.8,-63.0,117.8,,True,False,True,,False,False,True,False
Connecticut,4501,4502.7,,4449.0,4586.0,4468.3,,4501.8,4763.6,4467.0,4525.3,1.7,,-52.0,85.0,-32.7,,0.8,262.6,-34.0,24.3,,False,False,False,,True,False,False,False
Delaware,633,632.1,,627.0,632.2,607.8,,635.7,733.2,599.0,640.8,-0.9,,-6.0,-0.8,-25.2,,2.7,100.2,-34.0,7.8,,False,True,False,,False,False,False,False
District of Columbia,624,625.3,,612.0,594.7,623.7,,630.9,758.2,618.0,630.6,1.3,,-12.0,-29.3,-0.3,,6.9,134.2,-6.0,6.6,,False,False,True,,False,False,False,False
Florida,14022,15742.6,,13268.0,14995.3,11694.2,,12355.0,12256.2,12515.0,14387.4,1720.6,,-754.0,973.3,-2327.8,,-1667.0,-1765.8,-1507.0,365.4,,True,True,False,,True,False,True,True
Georgia,6914,6660.7,,5962.0,7202.5,5794.0,,5922.9,6910.8,5755.0,6206.2,-253.3,,-952.0,288.5,-1120.0,,-991.1,-3.2,-1159.0,-707.8,,False,False,False,,False,True,False,False
Hawaii,131,65.3,,87.0,28.3,78.9,,66.6,186.7,31.0,81.9,-65.7,,-44.0,-102.7,-52.1,,-64.4,55.7,-100.0,-49.1,,True,False,True,,True,True,False,True
Idaho,460,511.3,,415.0,552.7,404.6,,319.5,422.7,508.0,544.9,51.3,,-45.0,92.7,-55.4,,-140.5,-37.3,48.0,84.9,,True,False,False,,False,True,True,False
Illinois,8832,8743.3,,7946.0,8459.9,8339.0,,8843.9,11505.1,9064.0,9002.5,-88.7,,-886.0,-372.1,-493.0,,11.9,2673.1,232.0,170.5,,False,False,False,,True,False,False,False
Indiana,3577,3493.6,,3401.0,3593.2,3395.7,,3333.8,5576.2,3583.0,3750.6,-83.4,,-176.0,16.2,-181.3,,-243.2,1999.2,6.0,173.6,,False,True,False,,False,False,True,False
Iowa,1314,1294.4,,991.0,1201.7,1092.3,,1144.2,1339.1,1255.0,1266.2,-19.6,,-323.0,-112.3,-221.7,,-169.8,25.1,-59.0,-47.8,,False,False,False,,False,False,False,False
Kansas,635,510.3,,526.0,797.9,451.5,,450.5,566.4,498.0,554.0,-124.7,,-109.0,162.9,-183.5,,-184.5,-68.6,-137.0,-81.0,,True,False,False,,False,True,False,True
Kentucky,1154,985.6,,1042.0,1383.1,896.4,,927.9,1302.4,975.0,1064.6,-168.4,,-112.0,229.1,-257.6,,-226.1,148.4,-179.0,-89.4,,True,False,False,,False,True,False,True
Louisiana,5444,6018.4,,5077.0,5845.9,5258.9,,5345.5,6246.2,4840.0,5388.9,574.4,,-367.0,401.9,-185.1,,-98.5,802.2,-604.0,-55.1,,True,True,True,,True,False,False,True
Maine,140,138.7,,128.0,138.8,132.2,,130.2,145.6,133.0,139.7,-1.3,,-12.0,-1.2,-7.8,,-9.8,5.6,-7.0,-0.3,,False,True,False,,False,False,False,True
Maryland,3925,4065.0,,3874.0,4075.5,3805.8,,3913.8,4831.9,3894.0,4268.9,140.0,,-51.0,150.5,-119.2,,-11.2,906.9,-31.0,343.9,,True,False,True,,True,False,True,False
Massachusetts,9391,9400.1,,8754.0,9217.8,9144.1,,9107.8,10249.6,9659.0,9507.3,9.1,,-637.0,-173.2,-246.9,,-283.2,858.6,268.0,116.3,,False,False,False,,False,False,False,False
Michigan,7044,6944.1,,6820.0,6960.9,6713.5,,6841.1,8457.5,6843.0,6990.5,-99.9,,-224.0,-83.1,-330.5,,-202.9,1413.5,-201.0,-53.5,,False,True,False,,False,False,False,True
Minnesota,2056,1999.7,,1786.0,1902.4,1875.3,,1953.7,2728.3,1994.0,2065.6,-56.3,,-270.0,-153.6,-180.7,,-102.3,672.3,-62.0,9.6,,False,False,False,,False,False,False,True
Mississippi,2911,3219.4,,2990.0,2995.9,2416.7,,2610.2,2916.4,2544.0,2920.2,308.4,,79.0,84.9,-494.3,,-300.8,5.4,-367.0,9.2,,True,True,False,,True,True,False,True
Missouri,2054,1731.7,,2053.0,2546.8,1505.8,,1773.3,2085.5,1647.0,1825.0,-322.3,,-1.0,492.8,-548.2,,-280.7,31.5,-407.0,-229.0,,True,False,False,,True,True,False,True
Montana,171,171.0,,125.0,132.8,122.6,,111.4,153.5,183.0,177.8,0.0,,-46.0,-38.2,-48.4,,-59.6,-17.5,12.0,6.8,,False,False,False,,False,False,False,False
Nebraska,469,434.1,,380.0,456.6,384.4,,398.4,472.2,418.0,453.9,-34.9,,-89.0,-12.4,-84.6,,-70.6,3.2,-51.0,-15.1,,False,True,False,,False,True,False,True
Nevada,1582,1814.1,,1462.0,1786.7,1348.2,,1458.6,1524.0,1490.0,1632.5,232.1,,-120.0,204.7,-233.8,,-123.4,-58.0,-92.0,50.5,,True,True,False,,True,True,True,True
New Hampshire,439,432.7,,433.0,474.5,457.4,,456.4,499.2,443.0,481.4,-6.3,,-6.0,35.5,18.4,,17.4,60.2,4.0,42.4,,True,False,False,,False,False,True,False
New Jersey,16103,16134.6,,15917.0,16205.4,16363.4,,16197.1,18315.7,16227.0,16172.9,31.6,,-186.0,102.4,260.4,,94.1,2212.7,124.0,69.9,,False,False,False,,False,False,False,False
New Mexico,870,897.6,,861.0,960.6,775.8,,801.6,923.0,822.0,922.1,27.6,,-9.0,90.6,-94.2,,-68.4,53.0,-48.0,52.1,,True,False,False,,False,False,False,False
New York,33125,33212.9,,32793.0,33183.5,33201.9,,33049.3,35067.0,33092.0,33134.1,68.9,,-351.0,39.5,57.9,,-94.7,1923.0,-52.0,-9.9,,False,True,True,,False,False,True,True
North Carolina,3440,3625.1,,3158.0,3619.9,2881.0,,3267.0,3191.2,3107.0,3352.4,185.1,,-282.0,179.9,-559.0,,-173.0,-248.8,-333.0,-87.6,,False,True,False,,True,False,False,True
North Dakota,227,160.0,,125.0,146.7,142.1,,177.2,206.6,182.0,165.8,-67.0,,-102.0,-80.3,-84.9,,-49.8,-20.4,-45.0,-61.2,,False,False,False,,True,True,True,True
Ohio,4740,4629.0,,4567.0,5268.1,4220.6,,4172.9,5440.7,4541.0,4755.6,-111.0,,-173.0,528.1,-519.4,,-567.1,700.7,-199.0,15.6,,False,False,False,,False,False,False,True
Oklahoma,1004,966.4,,969.0,1220.1,750.1,,828.7,1014.3,861.0,970.7,-37.6,,-35.0,216.1,-253.9,,-175.3,10.3,-143.0,-33.3,,True,False,False,,False,True,False,True
Oregon,542,561.7,,552.0,818.0,485.1,,433.3,591.4,526.0,612.9,19.7,,10.0,276.0,-56.9,,-108.7,49.4,-16.0,70.9,,True,False,False,,False,False,True,False
Pennsylvania,8083,7914.4,,7461.0,7877.7,7591.6,,7823.5,9258.0,7765.0,7999.5,-168.6,,-622.0,-205.3,-491.4,,-259.5,1175.0,-318.0,-83.5,,False,False,False,,False,False,False,True
Rhode Island,1107,1062.0,,1030.0,1049.0,1052.5,,1084.7,1211.0,1038.0,1082.5,-45.0,,-77.0,-58.0,-54.5,,-22.3,104.0,-69.0,-24.5,,False,False,False,,True,False,False,True
South Carolina,3323,3772.7,,3342.0,3366.3,2843.6,,2929.8,3028.8,3047.0,3539.6,449.7,,19.0,43.3,-479.4,,-393.2,-294.2,-276.0,216.6,,True,True,False,,True,True,True,True
South Dakota,218,221.4,,171.0,182.8,200.4,,208.6,242.0,283.0,202.5,3.4,,-47.0,-35.2,-17.6,,-9.4,24.0,65.0,-15.5,,False,False,False,,False,False,False,False
Tennessee,2374,2251.6,,2114.0,1822.1,1835.5,,2097.3,2001.5,1705.0,2058.1,-122.4,,-260.0,-551.9,-538.5,,-276.7,-372.5,-669.0,-315.9,,False,False,False,,False,False,False,False
Texas,15707,19963.9,,15034.0,16843.5,16596.1,14857.0,13584.9,14698.0,15773.0,16889.2,4256.9,,-673.0,1136.5,889.1,-850.0,-2122.1,-1009.0,66.0,1182.2,,True,True,True,True,True,True,True,True
Utah,448,507.4,,473.0,534.4,446.6,,441.9,454.9,451.0,552.2,59.4,,25.0,86.4,-1.4,,-6.1,6.9,3.0,104.2,,True,False,True,,True,True,True,False
Vermont,58,64.9,,59.0,59.0,60.5,,62.0,67.6,58.0,65.5,6.9,,1.0,1.0,2.5,,4.0,9.6,0.0,7.5,,True,True,True,,True,False,True,False
Virginia,3142,3066.6,,2522.0,3660.7,2767.3,,2686.0,3758.6,2550.0,3381.5,-75.4,,-620.0,518.7,-374.7,,-456.0,616.6,-592.0,239.5,,False,False,False,,False,False,False,False
Washington,2100,2318.9,,2266.0,2303.8,2003.5,,2059.6,2533.9,2222.0,2388.9,218.9,,166.0,203.8,-96.5,,-40.4,433.9,122.0,288.9,,True,True,True,,True,False,True,False
West Virginia,337,289.9,,196.0,178.8,173.2,,190.4,240.6,218.0,280.8,-47.1,,-141.0,-158.2,-163.8,,-146.6,-96.4,-119.0,-56.2,,False,False,False,,False,False,False,False
Wisconsin,1281,1340.9,,1218.0,1500.5,1203.0,,1195.9,1653.5,1304.0,1439.3,59.9,,-63.0,219.5,-78.0,,-85.1,372.5,23.0,158.3,,False,False,False,,False,False,True,False
Wyoming,50,41.7,,45.0,27.0,32.9,,40.3,40.9,29.0,37.5,-8.3,,-5.0,-23.0,-17.1,,-9.7,-9.1,-21.0,-12.5,,True,False,False,,False,False,False,False
US,204490,213495.7,192743.0,198226.0,210210.9,188117.4,204529.0,195918.1,217880.6,195967.0,207469.1,8986.7,-11766.0,-6283.0,5701.9,-16391.6,20.0,-8590.9,13371.6,-8542.0,2960.1,False,True,True,False,True,True,False,True,True
