,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2501,2571.6,2611.0,,2349.2,2744.0,2830.3,2470.0,2782.0,2392.0,2292.9,,2269.6,2221.0,,2267.5,,2522.4,,2544.6,2301.0,,2461.3,70.6,110.0,,-151.8,243.0,329.3,-31.0,281.0,-109.0,-208.1,,-231.4,-280.0,,-233.5,,21.4,,43.6,-200.0,,-39.7,False,,False,False,False,True,False,False,False,,False,False,,False,,True,,True,False,,True
Alaska,52,51.4,57.0,,64.9,54.0,31.0,,88.6,49.7,41.0,,91.0,57.0,,34.7,,42.4,,48.7,33.0,,45.9,-0.6,5.0,,12.9,2.0,-21.0,,36.6,-2.3,-11.0,,39.0,5.0,,-17.3,,-9.6,,-3.3,-19.0,,-6.1,False,,False,False,False,,False,False,False,,False,False,,False,,False,,False,False,,False
Arizona,5622,6058.1,5784.0,,4470.8,5958.0,5995.5,6481.0,5556.1,5283.5,5357.1,,5419.4,5537.0,,5458.1,,5920.7,,5373.1,5385.0,,5600.0,436.1,162.0,,-1151.2,336.0,373.5,859.0,-65.9,-338.5,-264.9,,-202.6,-85.0,,-163.9,,298.7,,-248.9,-237.0,,-22.0,True,,False,True,True,False,True,True,True,,True,True,,True,,True,,True,True,,True
Arkansas,1285,1114.4,983.0,,895.7,1013.0,934.6,975.0,1177.3,924.9,931.6,,1139.7,1262.0,,848.4,,985.5,,923.3,979.0,,968.8,-170.6,-302.0,,-389.3,-272.0,-350.4,-310.0,-107.7,-360.1,-353.4,,-145.3,-23.0,,-436.6,,-299.5,,-361.7,-306.0,,-316.2,False,,False,False,False,False,True,False,False,,True,True,,False,,False,,False,False,,False
California,15583,16573.0,15655.0,,14449.9,16822.0,18418.6,17146.0,17558.3,16006.6,13983.6,,15343.7,18891.0,,14158.8,,16118.6,18273.0,15815.6,15546.0,,15700.1,990.0,72.0,,-1133.1,1239.0,2835.6,1563.0,1975.3,423.6,-1599.4,,-239.3,3308.0,,-1424.2,,535.6,2690.0,232.6,-37.0,,117.1,True,,False,False,False,False,False,True,False,,True,False,,False,,True,False,True,True,,True
Colorado,2040,2024.9,2198.0,,2064.6,2027.0,2029.8,2130.0,2235.2,1999.3,1988.5,,1994.6,2059.0,,2040.5,,2008.6,,2308.0,1998.0,,2045.3,-15.1,158.0,,24.6,-13.0,-10.2,90.0,195.2,-40.7,-51.5,,-45.4,19.0,,0.5,,-31.4,,268.0,-42.0,,5.3,False,,False,True,True,False,False,False,False,,False,False,,True,,False,,False,False,,True
Connecticut,4501,4494.0,4705.0,,4485.9,4483.0,4489.2,4556.0,4577.8,4489.2,4487.5,,4485.2,4461.5,,4482.6,,4496.0,,4703.8,4475.0,,4504.9,-7.0,204.0,,-15.1,-18.0,-11.8,55.0,76.8,-11.8,-13.5,,-15.8,-39.5,,-18.4,,-5.0,,202.8,-26.0,,3.9,False,,False,False,False,False,False,False,False,,False,False,,False,,True,,False,False,,True
Delaware,633,634.0,685.0,,624.1,617.0,614.1,631.0,637.0,617.9,609.1,,620.3,602.0,,619.8,,629.5,,690.4,626.0,,639.9,1.0,52.0,,-8.9,-16.0,-18.9,-2.0,4.0,-15.1,-23.9,,-12.7,-31.0,,-13.2,,-3.5,,57.4,-7.0,,6.9,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
District of Columbia,624,638.0,671.0,,623.5,619.0,636.7,617.0,630.9,628.6,611.2,,616.5,611.0,,625.3,,629.5,,676.6,636.0,,631.6,14.0,47.0,,-0.5,-5.0,12.7,-7.0,6.9,4.6,-12.8,,-7.5,-13.0,,1.3,,5.5,,52.6,12.0,,7.6,False,,True,True,True,True,True,True,True,,True,True,,True,,True,,False,True,,True
Florida,14022,14565.3,13602.0,,11065.4,14345.0,16429.3,15010.0,15348.0,16454.4,12369.6,,14184.0,15224.0,,11915.9,,14340.3,,12862.2,12704.0,,13108.6,543.3,-420.0,,-2956.6,323.0,2407.3,988.0,1326.0,2432.4,-1652.4,,162.0,1202.0,,-2106.1,,318.3,,-1159.8,-1318.0,,-913.4,True,,False,True,False,False,False,False,False,,True,False,,False,,True,,False,False,,False
Georgia,6914,7220.6,6552.0,,5824.4,6733.0,8180.6,6183.0,6518.6,6901.0,6281.5,,7770.4,7244.0,,5983.1,,6864.4,,6824.7,6649.0,,6626.7,306.6,-362.0,,-1089.6,-181.0,1266.6,-731.0,-395.4,-13.0,-632.5,,856.4,330.0,,-930.9,,-49.6,,-89.3,-265.0,,-287.3,False,,False,True,False,False,False,True,False,,False,False,,False,,True,,True,True,,True
Hawaii,131,81.0,83.0,,179.9,110.0,71.5,,160.5,149.2,79.3,,109.9,206.0,,69.2,,82.7,,103.6,95.0,,89.4,-50.0,-48.0,,48.9,-21.0,-59.5,,29.5,18.2,-51.7,,-21.1,75.0,,-61.8,,-48.3,,-27.4,-36.0,,-41.6,True,,True,True,False,,True,True,False,,True,False,,False,,True,,True,True,,True
Idaho,460,491.6,464.0,,436.8,446.0,419.2,397.0,647.3,465.0,377.0,,690.0,404.0,,346.8,,444.4,,419.2,429.0,,464.8,31.6,4.0,,-23.2,-14.0,-40.8,-63.0,187.3,5.0,-83.0,,230.0,-56.0,,-113.2,,-15.6,,-40.8,-31.0,,4.8,True,,True,True,False,False,False,True,False,,False,False,,False,,True,,False,True,,True
