,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,2501,1675.1,1830.6,1325.0,874.0,-825.9,-670.4,-1176.0,-1627.0,True,False,False
Alaska,52,10.0,15.1,13.0,,-42.0,-36.9,-39.0,,True,True,
Arizona,5622,3334.4,2101.7,7363.2,1903.0,-2287.6,-3520.3,1741.2,-3719.0,False,True,False
Arkansas,1285,487.0,561.9,3220.6,517.0,-798.0,-723.1,1935.6,-768.0,True,False,True
California,15583,11926.3,11092.9,11106.0,6698.0,-3656.7,-4490.1,-4477.0,-8885.0,False,False,False
Colorado,2040,2827.3,1916.4,2282.6,1723.0,787.3,-123.6,242.6,-317.0,True,True,True
Connecticut,4501,6084.9,4629.0,4328.3,4427.0,1583.9,128.0,-172.7,-74.0,True,True,True
Delaware,633,905.4,478.8,504.5,466.0,272.4,-154.2,-128.5,-167.0,True,True,True
District of Columbia,624,853.7,599.0,630.4,652.0,229.7,-25.0,6.4,28.0,True,True,True
Florida,14022,6648.4,4039.7,6171.5,4513.0,-7373.6,-9982.3,-7850.5,-9509.0,False,False,False
Georgia,6914,4193.9,3223.7,7088.3,2626.0,-2720.1,-3690.3,174.3,-4288.0,False,True,False
Hawaii,131,17.0,17.8,875.1,,-114.0,-113.2,744.1,,True,False,
Idaho,460,98.9,165.6,338.4,84.0,-361.1,-294.4,-121.6,-376.0,True,True,False
Illinois,8832,14054.6,7583.8,7765.5,7752.0,5222.6,-1248.2,-1066.5,-1080.0,True,True,True
Indiana,3577,4982.9,2825.8,3244.7,2433.0,1405.9,-751.2,-332.3,-1144.0,True,True,True
Iowa,1314,1715.0,952.7,2905.6,834.0,401.0,-361.3,1591.6,-480.0,True,False,False
Kansas,635,518.4,323.4,1164.3,331.0,-116.6,-311.6,529.3,-304.0,False,False,False
Kentucky,1154,1088.4,656.2,1178.6,559.0,-65.6,-497.8,24.6,-595.0,False,True,False
Louisiana,5444,5235.3,3527.8,3255.8,3382.0,-208.7,-1916.2,-2188.2,-2062.0,False,False,False
Maine,140,257.6,173.1,1425.0,126.0,117.6,33.1,1285.0,-14.0,True,False,True
Maryland,3925,6190.0,4570.4,3801.3,3731.0,2265.0,645.4,-123.7,-194.0,True,True,True
Massachusetts,9391,14768.9,8866.0,8154.0,8824.0,5377.9,-525.0,-1237.0,-567.0,True,True,True
Michigan,7044,12301.3,6163.8,6870.6,7766.0,5289.3,-848.2,-141.4,754.0,True,True,True
Minnesota,2056,3528.0,1806.1,3125.3,3282.0,1472.0,-249.9,1069.3,1226.0,True,True,True
Mississippi,2911,2133.1,1306.1,1491.0,987.0,-777.9,-1604.9,-1420.0,-1924.0,False,False,False
Missouri,2054,1433.4,1074.9,1376.0,1031.0,-585.6,-944.1,-643.0,-988.0,False,False,False
Montana,171,33.9,19.7,19.9,19.0,-137.1,-151.3,-151.1,-152.0,False,False,False
Nebraska,469,456.6,486.7,3308.8,273.0,-12.4,17.7,2839.8,-196.0,False,False,False
Nevada,1582,771.0,568.7,806.4,562.0,-811.0,-1013.3,-775.6,-1020.0,False,True,False
New Hampshire,439,936.1,336.2,652.7,314.0,497.1,-102.8,213.7,-125.0,True,True,True
New Jersey,16103,19755.7,12912.8,13309.7,13611.0,5492.7,-1350.2,-953.3,-652.0,True,True,True
New Mexico,870,1030.3,542.0,846.6,506.0,160.3,-328.0,-23.4,-364.0,False,True,False
New York,33125,39729.7,32112.9,31818.7,32514.0,7456.7,-160.1,-454.3,241.0,True,True,True
North Carolina,3440,2538.4,3150.4,10220.4,2016.0,-901.6,-289.6,6780.4,-1424.0,True,False,False
North Dakota,227,246.4,122.0,273.7,142.0,19.4,-105.0,46.7,-85.0,False,False,False
Ohio,4740,5931.0,3246.3,4777.5,3082.0,1191.0,-1493.7,37.5,-1658.0,False,True,False
Oklahoma,1004,570.0,425.9,498.6,435.0,-434.0,-578.1,-505.4,-569.0,False,False,False
Oregon,542,321.6,180.0,399.7,190.0,-220.4,-362.0,-142.3,-352.0,False,True,False
Pennsylvania,8083,12095.6,6804.7,7872.0,6524.0,4012.6,-1278.3,-211.0,-1559.0,True,True,True
Rhode Island,1107,1628.3,916.7,1024.8,942.0,521.3,-190.3,-82.2,-165.0,True,True,True
South Carolina,3323,1370.6,1043.7,919.5,661.0,-1952.4,-2279.3,-2403.5,-2662.0,False,False,False
South Dakota,218,112.6,148.3,122.4,90.0,-105.4,-69.7,-95.6,-128.0,True,True,False
Tennessee,2374,1274.3,857.0,1255.8,970.0,-1099.7,-1517.0,-1118.2,-1404.0,False,False,False
Texas,15707,4473.3,4073.2,6740.2,2892.0,-11108.7,-11508.8,-8841.8,-12690.0,False,True,False
Utah,448,247.9,719.3,2405.9,299.0,-200.1,271.3,1957.9,-149.0,False,False,True
Vermont,58,55.0,57.8,88.6,56.0,-3.0,-0.2,30.6,-2.0,True,False,True
Virginia,3142,2824.7,2279.4,2375.6,1998.0,-306.3,-851.6,-755.4,-1133.0,False,False,False
