,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2501,2659.4,2486.0,,2402.7,2508.0,2633.0,2210.3,2518.3,,3056.2,2370.0,,2199.0,,2518.2,2492.5,2280.0,2554.7,158.4,-15.0,,-98.3,7.0,132.0,-290.7,17.3,,555.2,-131.0,,-302.0,,17.2,-8.5,-221.0,53.7,True,,True,True,True,False,True,,False,True,,False,,True,True,False,True
Alaska,52,39.7,51.0,,74.9,54.0,,40.7,99.3,,106.4,56.0,,36.1,,39.3,56.1,28.0,44.6,-12.3,-1.0,,22.9,2.0,,-11.3,47.3,,54.4,4.0,,-15.9,,-12.7,4.1,-24.0,-7.4,True,,False,True,,True,False,,False,True,,False,,False,True,False,True
Arizona,5622,6591.1,5718.0,,4348.5,6295.0,6415.0,5428.2,5258.4,,6303.0,5157.0,,5457.4,,5929.5,5371.8,5104.0,6042.2,969.1,96.0,,-1273.5,673.0,793.0,-193.8,-363.6,,681.0,-465.0,,-164.6,,307.5,-250.2,-518.0,420.2,True,,False,True,True,True,True,,True,True,,True,,True,True,True,True
Arkansas,1285,921.1,887.0,,944.9,906.0,954.0,748.5,662.5,,1267.2,1064.0,,704.7,,781.6,876.1,830.0,923.7,-363.9,-398.0,,-340.1,-379.0,-331.0,-536.5,-622.5,,-17.8,-221.0,,-580.3,,-503.4,-408.9,-455.0,-361.3,False,,True,False,True,False,False,,True,True,,False,,False,False,False,True
California,15583,16315.3,14645.0,,14458.3,16658.0,16657.0,13621.9,16779.6,,15085.4,11413.0,,13208.8,,15177.5,17283.2,15602.0,15830.5,732.3,-938.0,,-1124.7,1075.0,1074.0,-1961.1,1196.6,,-497.6,-4170.0,,-2374.2,,-405.5,1700.2,19.0,247.5,False,,False,False,False,False,False,,True,False,,False,,True,False,True,True
Colorado,2040,2118.6,2177.0,,2104.3,2021.0,2084.0,1973.4,2430.5,,2217.0,2118.5,,2037.8,,2163.7,2391.5,2027.0,2138.9,78.6,137.0,,64.3,-19.0,44.0,-66.6,390.5,,177.0,78.5,,-2.2,,123.7,351.5,-13.0,98.9,False,,True,True,True,True,False,,False,True,,True,,False,False,True,False
Connecticut,4501,4523.3,4704.0,,4496.1,4459.0,4519.0,4476.7,4485.8,,4492.0,4452.0,,4476.9,,4530.5,4732.9,4476.0,4511.6,22.3,203.0,,-4.9,-42.0,18.0,-24.3,-15.2,,-9.0,-49.0,,-24.1,,29.5,231.9,-25.0,10.6,False,,True,False,True,False,True,,True,False,,False,,False,False,False,True
Delaware,633,604.7,679.0,,621.6,619.0,628.0,621.0,669.0,,681.2,602.0,,600.5,,616.6,799.9,603.0,642.9,-28.3,46.0,,-11.4,-14.0,-5.0,-12.0,36.0,,48.2,-31.0,,-32.5,,-16.4,166.9,-30.0,9.9,False,,True,True,True,True,False,,False,False,,False,,True,False,False,True
District of Columbia,624,632.1,665.0,,629.2,614.0,617.0,614.2,588.4,,608.9,601.0,,,,638.9,719.1,632.0,631.0,8.1,41.0,,5.2,-10.0,-7.0,-9.8,-35.6,,-15.1,-23.0,,,,14.9,95.1,8.0,7.0,False,,True,False,True,False,False,,False,False,,,,False,False,True,True
Florida,14022,16867.1,14186.0,,11082.4,13592.0,14617.0,12628.1,9225.2,,16170.0,11245.5,,12494.4,,15019.5,13166.0,13264.0,14571.3,2845.1,164.0,,-2939.6,-430.0,595.0,-1393.9,-4796.8,,2148.0,-2776.5,,-1527.6,,997.5,-856.0,-758.0,549.3,True,,False,True,True,True,False,,True,True,,True,,True,True,True,True
