,total_deaths_2020-07-12,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
YYG-ParamSearch,135784,200733.4,204490,65528.4,68706,-3177.6,-4.6%
Covid19Sim-Simulator,135784,212867.6,204490,77662.6,68706,8956.6,13.0%
Baseline,135784,192150.7,204490,56945.7,68706,-11760.3,-17.1%
IowaStateLW-STEM,135784,187944.0,204490,52739.0,68706,-15967.0,-23.2%
UCLA-SuEIR,135784,177134.0,204490,41929.0,68706,-26777.0,-39.0%
STH-3PU,135784,147950.0,204490,12745.0,68706,-55961.0,-81.4%
