,mean_rank
COVIDhub-ensemble,11.6
JCB-PRM,11.8
YYG-ParamSearch,12.0
Covid19Sim-Simulator,12.0
CMU-TimeSeries,12.6
USC-SI_kJalpha,13.3
Karlen-pypm,13.6
DDS-NBDS,13.9
UMass-MechBayes,14.2
LNQ-ens1,14.2
OliverWyman-Navigator,14.5
NotreDame-mobility,15.8
SteveMcConnell-CovidComplete,15.9
GT-DeepCOVID,16.4
CovidAnalytics-DELPHI,16.4
COVIDhub-baseline,16.6
UCLA-SuEIR,16.8
CEID-Walk,17.3
LANL-GrowthRate,17.4
UA-EpiCovDA,17.7
MOBS-GLEAM_COVID,17.8
IowaStateLW-STEM,18.0
PSI-DRAFT,18.8
JHU_IDD-CovidSP,18.9
UMich-RidgeTfReg,19.1
CU-select,19.4
epiforecasts-ensemble1,19.4
JHUAPL-Bucky,20.0
USACE-ERDC_SEIR,20.2
IHME-CurveFit,20.7
Google_Harvard-CPF,20.8
RobertWalraven-ESG,21.2
