,mean_rank
COVIDhub-ensemble,14.1
JCB-PRM,14.2
UMass-MechBayes,14.2
Karlen-pypm,14.4
LNQ-ens1,14.7
OliverWyman-Navigator,15.5
USC-SI_kJalpha,15.9
DDS-NBDS,16.3
YYG-ParamSearch,16.4
SteveMcConnell-CovidComplete,16.8
PSI-DRAFT,17.8
CMU-TimeSeries,17.8
Columbia_UNC-SurvCon,18.7
IQVIA_ACOE-STAN,18.7
CovidAnalytics-DELPHI,19.0
LANL-GrowthRate,19.1
NotreDame-mobility,19.1
CEID-Walk,19.4
COVIDhub-baseline,19.5
MOBS-GLEAM_COVID,19.6
Geneva-DetGrowth,19.8
GT-DeepCOVID,20.0
UCLA-SuEIR,20.7
UT-Mobility,21.7
JHU_IDD-CovidSP,22.1
MITCovAlliance-SIR,22.1
MIT_CritData-GBCF,22.2
UA-EpiCovDA,22.5
UCSD_NEU-DeepGLEAM,22.7
RobertWalraven-ESG,23.7
IowaStateLW-STEM,24.9
CU-select,24.9
UMich-RidgeTfReg,24.9
USACE-ERDC_SEIR,25.0
WalmartLabsML-LogForecasting,25.3
Covid19Sim-Simulator,26.6
JHUAPL-Bucky,26.8
epiforecasts-ensemble1,27.2
IHME-CurveFit,28.0
Google_Harvard-CPF,28.0
