,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,2501,1961.7,1873.2,791.0,-539.3,-627.8,-1710.0,False,False
Alaska,52,10.0,11.7,,-42.0,-40.3,,True,
Arizona,5622,2693.9,1757.9,1790.0,-2928.1,-3864.1,-3832.0,False,False
Arkansas,1285,419.6,445.8,1252.0,-865.4,-839.2,-33.0,True,True
California,15583,11235.1,10092.5,7854.0,-4347.9,-5490.5,-7729.0,False,False
Colorado,2040,3349.9,1860.6,1938.0,1309.9,-179.4,-102.0,True,True
Connecticut,4501,8175.1,4818.6,4356.0,3674.1,317.6,-145.0,True,True
Delaware,633,1040.3,491.7,460.0,407.3,-141.3,-173.0,True,True
District of Columbia,624,1039.1,611.6,722.0,415.1,-12.4,98.0,True,True
Florida,14022,6058.4,3714.7,3326.0,-7963.6,-10307.3,-10696.0,False,False
Georgia,6914,5862.7,3113.1,2643.0,-1051.3,-3800.9,-4271.0,False,False
Hawaii,131,17.0,17.8,,-114.0,-113.2,,True,
Idaho,460,132.6,157.8,88.0,-327.4,-302.2,-372.0,True,False
Illinois,8832,14391.7,7920.2,8028.0,5559.7,-911.8,-804.0,True,True
Indiana,3577,4797.4,2744.9,2864.0,1220.4,-832.1,-713.0,True,True
Iowa,1314,1866.7,923.7,894.0,552.7,-390.3,-420.0,True,True
Kansas,635,383.6,320.3,357.0,-251.4,-314.7,-278.0,False,False
Kentucky,1154,1105.3,598.6,509.0,-48.7,-555.4,-645.0,False,False
Louisiana,5444,4476.7,3516.1,3515.0,-967.3,-1927.9,-1929.0,False,False
Maine,140,274.4,177.3,1046.0,134.4,37.3,906.0,True,False
Maryland,3925,6830.6,4699.2,3800.0,2905.6,774.2,-125.0,True,True
Massachusetts,9391,14836.3,8450.1,8750.0,5445.3,-940.9,-641.0,True,True
Michigan,7044,9924.4,6181.3,6176.0,3120.4,-622.7,-628.0,True,True
Minnesota,2056,3949.4,2024.4,15445.0,1893.4,-31.6,13389.0,True,False
Mississippi,2911,2571.4,1231.8,1111.0,-339.6,-1679.2,-1800.0,False,False
Missouri,2054,2293.1,954.0,1091.0,277.1,-1062.0,-925.0,False,False
Montana,171,33.9,18.3,18.0,-137.1,-152.7,-153.0,False,False
Nebraska,469,557.7,501.4,411.0,88.7,32.4,-58.0,True,True
Nevada,1582,1040.7,547.3,632.0,-541.3,-1034.7,-950.0,False,False
New Hampshire,439,851.9,325.5,287.0,412.9,-113.5,-152.0,True,True
New Jersey,16103,21138.0,12777.6,13404.0,6855.0,-1505.4,-879.0,True,True
New Mexico,870,1013.4,526.6,494.0,143.4,-343.4,-376.0,False,False
New York,33286,40623.1,32246.2,32990.0,8252.1,-124.8,619.0,True,True
North Carolina,3440,3516.1,2972.1,1880.0,76.1,-467.9,-1560.0,False,False
North Dakota,227,195.9,138.0,649.0,-31.1,-89.0,422.0,False,False
Ohio,4740,5290.4,3226.8,2857.0,550.4,-1513.2,-1883.0,False,False
Oklahoma,1004,721.7,421.4,548.0,-282.3,-582.6,-456.0,False,False
Oregon,542,237.3,173.1,177.0,-304.7,-368.9,-365.0,False,False
Pennsylvania,8083,12618.1,6731.1,5944.0,4535.1,-1351.9,-2139.0,True,True
Rhode Island,1107,2572.3,877.4,992.0,1572.3,-122.6,-8.0,True,True
South Carolina,3323,1488.6,907.3,685.0,-1834.4,-2415.7,-2638.0,False,False
South Dakota,218,264.3,162.8,246.0,46.3,-55.2,28.0,False,True
Tennessee,2374,836.0,710.0,806.0,-1538.0,-1664.0,-1568.0,False,False
Texas,15781,4153.0,3874.5,4014.0,-11473.0,-11751.5,-11612.0,False,False
Utah,448,382.7,653.0,199.0,-65.3,205.0,-249.0,False,False
Vermont,58,71.9,57.0,56.0,13.9,-1.0,-2.0,True,True
Virginia,3144,4813.9,2225.4,2216.0,1669.9,-918.6,-928.0,True,True
Washington,2074,2078.9,1621.3,1309.0,9.9,-447.7,-760.0,False,False
West Virginia,337,125.6,149.8,78.0,-211.4,-187.2,-259.0,True,False
Wisconsin,1357,1974.3,1428.3,1423.0,675.3,129.3,124.0,True,True
Wyoming,50,83.4,30.1,19.0,33.4,-19.9,-31.0,True,True
US,204780,216683.3,142270.1,151653.0,15241.3,-59171.9,-49789.0,False,False
