,mean_rank
JCB-PRM,13.0
SteveMcConnell-CovidComplete,13.6
COVIDhub-ensemble,14.0
Covid19Sim-Simulator,14.4
UMass-MechBayes,14.9
YYG-ParamSearch,15.1
OliverWyman-Navigator,15.6
Karlen-pypm,16.0
GT-DeepCOVID,16.1
IQVIA_ACOE-STAN,16.7
CEID-Walk,16.8
DDS-NBDS,16.9
CMU-TimeSeries,16.9
USC-SI_kJalpha,17.2
COVIDhub-baseline,17.4
UCLA-SuEIR,17.8
Columbia_UNC-SurvCon,18.7
LNQ-ens1,19.7
UA-EpiCovDA,19.8
LANL-GrowthRate,19.8
UCSD_NEU-DeepGLEAM,20.4
MOBS-GLEAM_COVID,20.5
UT-Mobility,20.6
Google_Harvard-CPF,20.6
CovidAnalytics-DELPHI,20.8
PSI-DRAFT,20.9
MITCovAlliance-SIR,21.5
JHU_IDD-CovidSP,21.5
IowaStateLW-STEM,22.4
MIT_CritData-GBCF,22.9
CU-select,23.0
UMich-RidgeTfReg,24.5
NotreDame-mobility,24.6
WalmartLabsML-LogForecasting,25.3
USACE-ERDC_SEIR,25.5
JHUAPL-Bucky,26.6
RobertWalraven-ESG,26.6
epiforecasts-ensemble1,29.1
TTU-squider,32.5
