,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2501,2736.7,2724.9,2550.0,2716.4,2626.0,2694.0,,2506.8,2722.0,2595.6,2638.9,,2664.6,2267.4,2538.0,2519.9,2422.5,2740.0,2481.5,2595.9,2778.1,2723.2,,2722.0,2759.8,2406.0,,2626.4,2517.1,,2625.0,3068.0,2598.3,,2843.0,2576.2,2599.6,2625.0,,2532.3,2511.0,235.7,223.9,49.0,215.4,125.0,193.0,,5.8,221.0,94.6,137.9,,163.6,-233.6,37.0,18.9,-78.5,239.0,-19.5,94.9,277.1,222.2,,221.0,258.8,-95.0,,125.4,16.1,,124.0,567.0,97.3,,342.0,75.2,98.6,124.0,,31.3,10.0,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,False,True,True,False,True,,True,False,True,,True,True,,True,False,True,,False,True,True,True,,True,True
Alaska,52,56.3,58.6,60.0,61.0,53.0,56.0,,60.1,53.0,53.0,52.5,,106.4,36.8,,53.2,51.1,76.8,58.3,45.9,37.8,64.8,,51.3,61.8,53.0,,,42.1,,57.0,54.0,52.9,,47.0,41.7,51.7,61.0,,51.3,47.0,4.3,6.6,8.0,9.0,1.0,4.0,,8.1,1.0,1.0,0.5,,54.4,-15.2,,1.2,-0.9,24.8,6.3,-6.1,-14.2,12.8,,-0.7,9.8,1.0,,,-9.9,,5.0,2.0,0.9,,-5.0,-10.3,-0.3,9.0,,-0.7,-5.0,False,False,False,True,True,,False,True,True,True,,False,False,,True,True,False,False,False,False,False,,True,False,True,,,False,,False,True,True,,False,False,True,False,,True,False
Arizona,5622,6029.0,5986.8,5687.0,6010.6,5623.0,5476.0,,5676.7,5899.0,5725.5,5530.3,,5744.9,5812.2,6048.0,5489.7,5126.7,5602.9,5378.2,5533.2,5531.6,5454.9,,5457.3,5667.3,5578.0,,5634.8,5474.3,,5935.0,5623.0,5895.7,,5499.0,6039.5,5415.6,5594.0,,5633.4,5153.0,407.0,364.8,65.0,388.6,1.0,-146.0,,54.7,277.0,103.5,-91.7,,122.9,190.2,426.0,-132.3,-495.3,-19.1,-243.8,-88.8,-90.4,-167.1,,-164.7,45.3,-44.0,,12.8,-147.7,,313.0,1.0,273.7,,-123.0,417.5,-206.4,-28.0,,11.4,-469.0,True,True,True,True,True,,True,True,True,True,,True,True,False,True,False,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,,True,False,True,True,,True,False
Arkansas,1285,1158.1,1163.3,1111.0,1164.0,1079.0,1042.0,,1094.6,1044.0,1110.9,1029.6,,1078.8,994.6,1076.0,1071.5,894.6,1170.7,994.8,1065.4,1136.4,1195.6,,936.5,1246.0,1160.0,,,921.3,,1090.0,1404.0,1085.1,,1156.0,1021.0,977.8,1117.0,,1042.4,1017.0,-126.9,-121.7,-174.0,-121.0,-206.0,-243.0,,-190.4,-241.0,-174.1,-255.4,,-206.2,-290.4,-209.0,-213.5,-390.4,-114.3,-290.2,-219.6,-148.6,-89.4,,-348.5,-39.0,-125.0,,,-363.7,,-195.0,119.0,-199.9,,-129.0,-264.0,-307.2,-168.0,,-242.6,-268.0,True,False,True,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,True,,False,True,True,,,False,,False,True,False,,False,False,False,False,,False,False
California,15583,15961.0,15892.7,15546.0,15946.0,15704.0,15489.0,,15864.3,16609.0,15730.4,15713.0,,15151.8,16810.9,16068.0,15590.1,14444.6,16479.4,15379.8,14718.1,15555.6,15023.9,,15121.9,15166.7,15828.0,,17888.2,14753.3,,15905.0,17176.0,15736.9,18206.0,14864.0,15618.7,15691.2,15032.0,,15606.1,15040.0,378.0,309.7,-37.0,363.0,121.0,-94.0,,281.3,1026.0,147.4,130.0,,-431.2,1227.9,485.0,7.1,-1138.4,896.4,-203.2,-864.9,-27.4,-559.1,,-461.1,-416.3,245.0,,2305.2,-829.7,,322.0,1593.0,153.9,2623.0,-719.0,35.7,108.2,-551.0,,23.1,-543.0,True,True,True,True,True,,True,False,True,True,,False,False,False,True,False,False,True,False,True,False,,False,False,True,,False,False,,True,False,True,False,False,True,True,False,,True,False
Colorado,2040,2034.6,2067.7,2046.0,2050.2,2051.0,2057.0,,2027.9,2015.0,2058.6,2069.1,,2122.6,2023.0,2071.0,2015.1,2127.7,2165.4,2015.5,1988.8,2012.5,1978.2,,2067.5,2023.3,2018.0,,2102.8,2002.0,,2082.0,2067.0,2021.0,,2018.0,2179.2,2214.0,2015.0,,2032.8,1982.0,-5.4,27.7,6.0,10.2,11.0,17.0,,-12.1,-25.0,18.6,29.1,,82.6,-17.0,31.0,-24.9,87.7,125.4,-24.5,-51.2,-27.5,-61.8,,27.5,-16.7,-22.0,,62.8,-38.0,,42.0,27.0,-19.0,,-22.0,139.2,174.0,-25.0,,-7.2,-58.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,,False,False
Connecticut,4501,4484.3,4483.0,4497.0,4554.7,4500.0,4658.0,,4523.5,4479.0,4497.0,4500.4,,4677.5,4470.6,4543.0,4503.8,4548.0,4548.4,4493.3,4487.9,4473.6,4500.4,,4505.2,4486.2,4509.0,,4502.8,4483.3,,4492.0,4487.0,4489.1,,4486.0,,4736.5,4493.0,,4515.0,4465.0,-16.7,-18.0,-4.0,53.7,-1.0,157.0,,22.5,-22.0,-4.0,-0.6,,176.5,-30.4,42.0,2.8,47.0,47.4,-7.7,-13.1,-27.4,-0.6,,4.2,-14.8,8.0,,1.8,-17.7,,-9.0,-14.0,-11.9,,-15.0,,235.5,-8.0,,14.0,-36.0,False,True,False,True,False,,False,False,True,True,,False,False,False,True,False,False,True,True,False,True,,True,True,True,,True,False,,True,True,True,,True,,False,True,,True,False
Delaware,633,619.4,619.3,621.0,629.9,628.0,644.0,,627.3,615.0,631.2,657.9,,683.0,615.0,633.0,619.4,627.9,631.3,617.0,629.2,605.5,633.5,,647.9,621.3,626.0,,,613.1,,627.0,628.0,620.1,,613.0,711.0,677.1,622.0,,628.4,605.0,-13.6,-13.7,-12.0,-3.1,-5.0,11.0,,-5.7,-18.0,-1.8,24.9,,50.0,-18.0,0.0,-13.6,-5.1,-1.7,-16.0,-3.8,-27.5,0.5,,14.9,-11.7,-7.0,,,-19.9,,-6.0,-5.0,-12.9,,-20.0,78.0,44.1,-11.0,,-4.6,-28.0,False,True,True,True,True,,True,False,True,False,,False,False,True,False,True,True,False,True,False,True,,False,True,True,,,False,,True,True,True,,False,False,False,True,,True,False
District of Columbia,624,613.7,611.8,618.0,616.8,620.0,641.0,,623.0,617.0,626.3,629.3,,655.6,641.2,620.0,623.3,629.2,620.9,620.7,615.3,608.3,,,620.0,611.4,609.0,,,614.5,,621.0,628.0,612.9,,621.0,,669.5,620.0,,623.9,,-10.3,-12.2,-6.0,-7.2,-4.0,17.0,,-1.0,-7.0,2.3,5.3,,31.6,17.2,-4.0,-0.7,5.2,-3.1,-3.3,-8.7,-15.7,,,-4.0,-12.6,-15.0,,,-9.5,,-3.0,4.0,-11.1,,-3.0,,45.5,-4.0,,-0.1,,False,True,True,True,False,,True,True,True,True,,False,False,True,True,True,True,True,True,False,,,True,False,False,,,True,,True,True,False,,True,,False,True,,True,
Florida,14022,14181.6,14377.1,13593.0,14428.2,13465.0,12895.0,,12806.4,13945.0,13895.1,12797.1,,13299.5,15165.5,13988.0,13295.7,11663.9,14647.1,15252.5,12814.5,13308.1,12874.9,,13441.9,13196.8,13510.0,,14971.7,12655.1,,14122.0,13149.0,14125.9,,13189.0,13757.2,12880.3,12957.0,,13158.7,13504.0,159.6,355.1,-429.0,406.2,-557.0,-1127.0,,-1215.6,-77.0,-126.9,-1224.9,,-722.5,1143.5,-34.0,-726.3,-2358.1,625.1,1230.5,-1207.5,-713.9,-1147.1,,-580.1,-825.2,-512.0,,949.7,-1366.9,,100.0,-873.0,103.9,,-833.0,-264.8,-1141.7,-1065.0,,-863.3,-518.0,False,False,False,False,False,,False,True,True,False,,False,False,True,False,False,False,False,False,False,False,,False,False,False,,False,False,,True,False,True,,False,False,False,False,,False,False
