,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51,70355.9,11348.5,163074.5,41.7,908.1,57641.4,937844.0
Covid19Sim-Simulator,51,162896.7,15168.8,600626.0,0.0,592.2,84478.7,4236195.4
USC-SI_kJalpha,51,218663.5,10816.0,533454.0,1.0,1525.0,105040.0,2560000.0
IHME-CurveFit,51,243497.1,23845.8,652681.3,0.3,2068.8,126629.2,3107074.2
UCLA-SuEIR,51,272577.9,13536.9,1348518.2,0.4,2124.7,35587.3,9527400.7
IowaStateLW-STEM,49,540849.0,13225.0,2701405.0,0.0,1122.5,182260.0,19166884.0
Baseline,51,1015091.5,11025.0,5316297.2,0.7,1515.8,76772.8,37387983.8
USACE-ERDC_SEIR,51,1146180.5,29593.0,2491255.0,1.4,5711.4,615549.4,11959774.3
MITCovAlliance-SIR,51,1791148.6,16167.0,6287619.0,3.0,1077.5,220392.5,32748494.1
