,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2501,2923.3,2971.5,2119.1,2396.0,,2505.4,3141.7,422.3,470.5,-381.9,-105.0,,4.4,640.7,False,True,True,,True,False
Alaska,52,27.9,107.1,22.7,,,33.6,29.1,-24.1,55.1,-29.3,,,-18.4,-22.9,False,False,,,True,True
Arizona,5622,7926.1,6657.6,4566.7,6175.0,,5709.2,5999.1,2304.1,1035.6,-1055.3,553.0,,87.2,377.1,True,True,True,,True,True
Arkansas,1285,711.9,1014.7,562.8,670.0,,552.6,756.7,-573.1,-270.3,-722.2,-615.0,,-732.4,-528.3,True,False,False,,False,True
California,15583,14260.1,17552.8,17398.1,13648.0,,12764.2,13896.3,-1322.9,1969.8,1815.1,-1935.0,,-2818.8,-1686.7,False,False,False,,False,False
Colorado,2040,2018.1,2314.8,1957.2,1946.0,,2080.4,2437.9,-21.9,274.8,-82.8,-94.0,,40.4,397.9,False,False,False,,False,False
Connecticut,4501,4869.1,4474.7,4434.6,4527.0,,4617.7,4565.7,368.1,-26.3,-66.4,26.0,,116.7,64.7,True,True,True,,True,True
Delaware,633,582.1,659.3,545.4,570.0,,607.1,619.1,-50.9,26.3,-87.6,-63.0,,-25.9,-13.9,True,False,False,,True,True
District of Columbia,624,676.6,615.2,652.9,632.0,,642.7,662.6,52.6,-8.8,28.9,8.0,,18.7,38.6,True,True,True,,True,True
Florida,14022,12276.3,20050.9,13761.5,12884.0,,10421.0,14005.7,-1745.7,6028.9,-260.5,-1138.0,,-3601.0,-16.3,False,True,True,,False,True
Georgia,6914,4859.6,7935.6,4297.0,4073.0,,6213.2,5286.5,-2054.4,1021.6,-2617.0,-2841.0,,-700.8,-1627.5,True,False,False,,True,True
Hawaii,131,73.3,56.1,20.7,,,41.5,46.3,-57.7,-74.9,-110.3,,,-89.5,-84.7,False,False,,,False,False
Idaho,460,286.6,1025.3,299.4,272.0,,207.7,481.9,-173.4,565.3,-160.6,-188.0,,-252.3,21.9,False,True,False,,False,True
Illinois,8832,8473.7,8411.3,8116.4,8145.0,,8577.8,8299.3,-358.3,-420.7,-715.6,-687.0,,-254.2,-532.7,False,False,False,,True,False
Indiana,3577,3433.1,3540.9,3311.6,2980.0,,3421.2,3605.2,-143.9,-36.1,-265.4,-597.0,,-155.8,28.2,True,False,False,,False,True
Iowa,1314,1197.1,1497.0,1074.5,895.0,,997.6,1103.2,-116.9,183.0,-239.5,-419.0,,-316.4,-210.8,False,False,False,,False,False
Kansas,635,427.3,941.6,382.1,417.0,,408.9,512.1,-207.7,306.6,-252.9,-218.0,,-226.1,-122.9,False,False,False,,False,True
Kentucky,1154,1113.6,1111.0,1056.6,790.0,,1095.4,1452.2,-40.4,-43.0,-97.4,-364.0,,-58.6,298.2,False,False,False,,False,False
