,total_deaths_2020-08-02,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,155637,203553.5,204654,48693.5,49017,-323.5,-0.7%
IHME-CurveFit,155637,202949.0,204654,48089.0,49017,-928.0,-1.9%
UCLA-SuEIR,155637,205928.6,204654,51068.6,49017,2051.6,4.2%
USC-SI_kJalpha,155637,206060.0,204654,51200.0,49017,2183.0,4.5%
YYG-ParamSearch,155637,206607.7,204654,51747.7,49017,2730.7,5.6%
IowaStateLW-STEM,155637,198014.0,204654,43154.0,49017,-5863.0,-12.0%
Columbia_UNC-SurvCon,155637,192105.0,204654,37245.0,49017,-11772.0,-24.0%
Baseline,155637,217127.9,204654,62267.9,49017,13250.9,27.0%
USACE-ERDC_SEIR,155637,221084.5,204654,66224.5,49017,17207.5,35.1%
MITCovAlliance-SIR,155637,181647.8,204654,26787.8,49017,-22229.2,-45.4%
STH-3PU,155637,285546.0,204654,130686.0,49017,81669.0,166.6%
