,mean_rank
COVIDhub-ensemble,12.5
CMU-TimeSeries,12.6
UMass-MechBayes,12.8
SteveMcConnell-CovidComplete,13.9
YYG-ParamSearch,14.2
OliverWyman-Navigator,14.4
USC-SI_kJalpha,14.8
JCB-PRM,15.0
Covid19Sim-Simulator,15.5
LNQ-ens1,15.7
Karlen-pypm,15.8
UCLA-SuEIR,16.1
COVIDhub-baseline,16.8
CEID-Walk,17.1
Columbia_UNC-SurvCon,17.8
LANL-GrowthRate,18.0
MOBS-GLEAM_COVID,18.0
GT-DeepCOVID,18.9
NotreDame-mobility,19.0
DDS-NBDS,19.0
MIT_CritData-GBCF,19.1
UA-EpiCovDA,19.2
CovidAnalytics-DELPHI,20.3
CU-select,20.8
JHU_IDD-CovidSP,21.0
IowaStateLW-STEM,21.1
MITCovAlliance-SIR,21.1
UCSD_NEU-DeepGLEAM,21.7
UMich-RidgeTfReg,22.9
IHME-CurveFit,23.1
USACE-ERDC_SEIR,23.5
PSI-DRAFT,24.1
Google_Harvard-CPF,24.3
JHUAPL-Bucky,25.1
epiforecasts-ensemble1,25.3
WalmartLabsML-LogForecasting,26.1
RobertWalraven-ESG,26.4
