,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2501,2358.7,2505.1,3532.0,,2283.7,3399.9,-142.3,4.1,1031.0,,-217.3,898.9,True,False,,False,False
Alaska,52,27.9,79.7,,,30.2,38.6,-24.1,27.7,,,-21.8,-13.4,False,,,True,True
Arizona,5622,6710.1,7833.9,4898.0,,5321.7,5911.2,1088.1,2211.9,-724.0,,-300.3,289.2,False,True,,True,True
Arkansas,1285,690.1,893.5,1280.0,,526.8,1018.5,-594.9,-391.5,-5.0,,-758.2,-266.5,True,True,,False,True
California,15583,14412.1,18308.8,10952.0,,12800.3,17051.7,-1170.9,2725.8,-4631.0,,-2782.7,1468.7,False,False,,False,False
Colorado,2040,1985.6,2165.3,2049.0,,1949.3,2277.6,-54.4,125.3,9.0,,-90.7,237.6,False,True,,False,False
Connecticut,4501,4489.1,4461.6,4510.0,,4472.6,4455.0,-11.9,-39.4,9.0,,-28.4,-46.0,False,True,,False,False
Delaware,633,571.3,730.6,622.0,,653.3,634.6,-61.7,97.6,-11.0,,20.3,1.6,False,True,,True,True
District of Columbia,624,665.7,595.4,603.0,,627.8,663.5,41.7,-28.6,-21.0,,3.8,39.5,True,True,,True,True
Florida,14022,9790.0,23061.9,8452.0,,11805.1,12722.8,-4232.0,9039.9,-5570.0,,-2216.9,-1299.2,False,False,,True,True
Georgia,6914,4555.6,7587.9,5336.0,,4654.4,6053.3,-2358.4,673.9,-1578.0,,-2259.6,-860.7,True,True,,True,True
Hawaii,131,19.0,63.5,,,22.0,29.9,-112.0,-67.5,,,-109.0,-101.1,True,,,True,True
Idaho,460,199.7,857.5,323.0,,165.0,295.6,-260.3,397.5,-137.0,,-295.0,-164.4,False,True,,False,True
Illinois,8832,11383.4,8058.3,8698.0,,9411.2,8360.5,2551.4,-773.7,-134.0,,579.2,-471.5,True,True,,True,True
Indiana,3577,3487.4,3577.5,3431.0,,3348.7,3711.9,-89.6,0.5,-146.0,,-228.3,134.9,True,False,,False,False
Iowa,1314,1088.6,1460.4,1029.0,,967.2,1107.6,-225.4,146.4,-285.0,,-346.8,-206.4,True,False,,False,True
Kansas,635,438.1,967.8,751.0,,415.4,503.5,-196.9,332.8,116.0,,-219.6,-131.5,False,True,,False,True
Kentucky,1154,1059.3,1065.7,1007.0,,871.9,1380.9,-94.7,-88.3,-147.0,,-282.1,226.9,True,False,,False,False
Louisiana,5444,4805.7,5678.6,6976.0,,4305.1,5258.2,-638.3,234.6,1532.0,,-1138.9,-185.8,True,False,,False,True
Maine,140,168.3,128.5,117.0,,131.8,161.0,28.3,-11.5,-23.0,,-8.2,21.0,True,True,,True,True
Maryland,3925,4144.1,3665.7,3648.0,,3985.8,3965.2,219.1,-259.3,-277.0,,60.8,40.2,False,False,,True,True
Massachusetts,9391,9866.7,8505.5,10984.0,,9030.1,8948.4,475.7,-885.5,1593.0,,-360.9,-442.6,False,False,,True,True
Michigan,7044,7356.3,6901.3,6673.0,,6925.9,7474.6,312.3,-142.7,-371.0,,-118.1,430.6,True,False,,True,False
Minnesota,2056,1887.4,2175.6,2306.0,,1805.9,2010.8,-168.6,119.6,250.0,,-250.1,-45.2,True,False,,False,True
Mississippi,2911,2747.3,2632.4,2444.0,,2096.0,2626.2,-163.7,-278.6,-467.0,,-815.0,-284.8,False,False,,False,False
Missouri,2054,1537.1,1864.0,1687.0,,1906.5,1839.3,-516.9,-190.0,-367.0,,-147.5,-214.7,True,True,,True,True
Montana,171,94.1,216.3,55.0,,85.2,125.4,-76.9,45.3,-116.0,,-85.8,-45.6,True,False,,False,True
Nebraska,469,295.9,436.6,457.0,,327.7,413.6,-173.1,-32.4,-12.0,,-141.3,-55.4,True,True,,True,True
Nevada,1582,1233.6,1825.0,1025.0,,949.2,1672.1,-348.4,243.0,-557.0,,-632.8,90.1,True,False,,False,True
New Hampshire,439,499.6,448.2,456.0,,501.0,445.7,60.6,9.2,17.0,,62.0,6.7,True,True,,False,True
New Jersey,16103,18934.1,16301.4,18991.0,,16731.4,16476.8,2831.1,198.4,2888.0,,628.4,373.8,True,False,,True,True
New Mexico,870,892.4,925.4,1195.0,,852.5,914.9,22.4,55.4,325.0,,-17.5,44.9,False,False,,True,False
New York,33286,33913.4,32833.6,34907.0,,32939.6,33333.8,672.4,-407.4,1666.0,,-301.4,92.8,True,False,,True,True
North Carolina,3440,2596.9,3324.8,3996.0,,2696.6,2937.6,-843.1,-115.2,556.0,,-743.4,-502.4,True,True,,True,True
North Dakota,227,163.0,156.9,194.0,,122.3,159.4,-64.0,-70.1,-33.0,,-104.7,-67.6,False,True,,False,False
Ohio,4740,4654.0,4871.7,4578.0,,4547.1,5421.0,-86.0,131.7,-162.0,,-192.9,681.0,False,False,,False,False
Oklahoma,1004,682.6,1243.4,1680.0,,608.8,704.4,-321.4,239.4,676.0,,-395.2,-299.6,True,False,,False,True
Oregon,542,440.3,599.6,554.0,,356.3,674.5,-101.7,57.6,12.0,,-185.7,132.5,True,True,,False,False
Pennsylvania,8083,8543.4,8099.9,8270.0,,8456.0,8594.2,460.4,16.9,187.0,,373.0,511.2,True,True,,True,False
Rhode Island,1107,1149.7,1092.6,1178.0,,1094.8,1098.1,53.7,-3.4,82.0,,-1.2,2.1,True,False,,True,True
South Carolina,3323,2491.9,3233.4,2674.0,,2065.2,3324.4,-831.1,-89.6,-649.0,,-1257.8,1.4,True,True,,False,True
South Dakota,218,239.3,156.0,182.0,,140.1,190.9,21.3,-62.0,-36.0,,-77.9,-27.1,False,False,,False,False
Tennessee,2374,1783.3,2619.1,2799.0,,1402.4,2580.8,-590.7,245.1,425.0,,-971.6,206.8,True,True,,False,True
Texas,15720,9458.9,17122.4,15608.0,9849.0,8641.2,11254.5,-5731.1,1932.4,418.0,-5341.0,-6548.8,-3935.5,True,True,True,False,True
Utah,448,551.6,891.8,666.0,,495.5,748.9,103.6,443.8,218.0,,47.5,300.9,False,False,,True,False
Vermont,58,56.0,60.0,57.0,,57.3,68.4,-2.0,2.0,-1.0,,-0.7,10.4,False,True,,True,False
Virginia,3144,3192.9,2438.5,2678.0,,2547.6,3577.5,48.9,-705.5,-466.0,,-596.4,433.5,False,False,,False,False
Washington,2100,2295.7,2348.9,2146.0,,1977.3,2279.9,195.7,248.9,46.0,,-122.7,179.9,False,True,,True,True
West Virginia,337,117.7,326.7,168.0,,128.0,133.5,-219.3,-10.3,-169.0,,-209.0,-203.5,True,True,,True,True
Wisconsin,1357,1080.6,1668.5,1211.0,,1092.7,1412.4,-247.4,340.5,-117.0,,-235.3,84.4,False,True,,True,True
Wyoming,50,31.9,83.5,41.0,,27.3,37.8,-18.1,33.5,-9.0,,-22.7,-12.2,False,True,,False,True
US,204745,192150.7,212867.6,187944.0,147950.0,177134.0,200733.4,-11979.3,8737.6,-16186.0,-56180.0,-26996.0,-3396.6,True,False,False,False,True
