,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2501,2837.0,,3358.7,3068.0,2464.0,2485.4,,2626.8,3023.7,2459.0,2732.5,336.0,,857.7,567.0,-37.0,-15.6,,125.8,522.7,-42.0,231.5,,False,False,True,True,,True,False,True,True
Alaska,52,55.4,,106.9,21.9,,100.2,,58.7,99.9,74.0,71.2,3.4,,54.9,-30.1,,48.2,,6.7,47.9,22.0,19.2,,False,False,,False,,False,False,False,False
Arizona,5622,7379.3,,5172.7,7321.4,7038.0,5246.5,,5531.0,5823.9,5597.0,6434.0,1757.3,,-449.3,1699.4,1416.0,-375.5,,-91.0,201.9,-25.0,812.0,,True,True,True,True,,True,True,True,True
Arkansas,1285,959.0,,994.0,772.1,887.0,664.4,,796.9,799.9,797.0,859.3,-326.0,,-291.0,-512.9,-398.0,-620.6,,-488.1,-485.1,-488.0,-425.7,,True,False,False,False,,False,False,False,False
California,15583,16844.6,,16002.4,13820.3,15234.0,16843.8,,15751.3,15521.5,14816.0,15689.5,1261.6,,419.4,-1762.7,-349.0,1260.8,,168.3,-61.5,-767.0,106.5,,True,False,True,True,,True,True,True,True
Colorado,2040,2236.9,,2330.2,2207.0,2086.0,2433.8,,2133.9,2707.3,2102.0,2334.2,196.9,,290.2,167.0,46.0,393.8,,93.9,667.3,62.0,294.2,,False,True,True,False,,True,False,True,False
Connecticut,4501,4581.3,,4526.5,4713.0,4518.0,4484.6,,4562.2,5198.7,4833.0,4581.5,80.3,,25.5,212.0,17.0,-16.4,,61.2,697.7,332.0,80.5,,True,False,True,True,,True,False,False,False
Delaware,646,632.1,,656.2,653.2,627.0,669.1,,629.9,744.2,638.0,643.0,1.1,,25.2,22.2,-4.0,38.1,,-1.1,113.2,7.0,12.0,,False,False,False,False,,False,False,False,False
District of Columbia,624,607.6,,645.0,629.6,602.0,588.1,,622.6,663.4,585.0,628.5,-14.4,,23.0,7.6,-20.0,-33.9,,0.6,41.4,-37.0,6.5,,False,True,False,False,,True,False,False,True
Florida,14022,16748.3,,14600.2,14636.3,14026.0,9194.2,,14669.9,12152.2,12791.0,14502.5,2726.3,,578.2,614.3,4.0,-4827.8,,647.9,-1869.8,-1231.0,480.5,,True,True,True,False,,True,True,True,True
Georgia,6914,6527.1,,6405.0,7346.3,5260.0,4619.2,,5580.9,6839.7,6153.0,5945.6,-386.9,,-509.0,432.3,-1654.0,-2294.8,,-1333.1,-74.3,-761.0,-968.4,,False,False,False,False,,False,True,False,False
Hawaii,131,26.0,,73.5,34.3,,28.8,,31.5,207.8,26.0,45.3,-105.0,,-57.5,-96.7,,-102.2,,-99.5,76.8,-105.0,-85.7,,True,True,,True,,True,True,False,True
Idaho,460,597.7,,636.4,334.9,345.0,485.7,,488.0,340.4,475.0,661.0,137.7,,176.4,-125.1,-115.0,25.7,,28.0,-119.6,15.0,201.0,,False,True,True,True,,True,True,True,False
Illinois,8832,8688.3,,8971.6,8100.3,8372.0,9174.5,,8684.9,12001.8,8847.0,9004.3,-143.7,,139.6,-731.7,-460.0,342.5,,-147.1,3169.8,15.0,172.3,,True,False,False,False,,False,False,True,False
Indiana,3581,3540.7,,3650.0,3636.6,3186.0,3704.1,,3425.9,4842.0,3639.0,3814.7,-107.3,,2.0,-11.4,-462.0,56.1,,-222.1,1194.0,-9.0,166.7,,True,True,False,True,,False,False,True,False
Iowa,1314,1263.0,,1266.4,1314.6,957.0,1068.3,,1125.8,1381.4,1138.0,1254.4,-51.0,,-47.6,0.6,-357.0,-245.7,,-188.2,67.4,-176.0,-59.6,,True,True,False,False,,False,False,False,False
Kansas,635,596.7,,719.2,500.7,584.0,494.8,,520.8,551.6,511.0,606.3,-38.3,,84.2,-134.3,-51.0,-140.2,,-114.2,-83.4,-124.0,-28.7,,False,False,False,False,,False,False,False,True
Kentucky,1154,1072.0,,1303.4,975.2,944.0,1220.0,,1079.6,1427.3,1210.0,1185.5,-82.0,,149.4,-178.8,-210.0,66.0,,-74.4,273.3,56.0,31.5,,False,False,False,True,,True,False,True,True
Louisiana,5444,5924.1,,5437.2,5488.8,5316.0,4253.7,,5178.7,6378.2,4687.0,5289.0,480.1,,-6.8,44.8,-128.0,-1190.3,,-265.3,934.2,-757.0,-155.0,,True,True,True,False,,True,False,False,True
Maine,140,154.4,,136.0,138.1,173.0,147.8,,148.5,167.0,150.0,162.7,14.4,,-4.0,-1.9,33.0,7.8,,8.5,27.0,10.0,22.7,,True,True,False,True,,True,False,True,False
Maryland,3925,4104.3,,4289.7,3859.9,3775.0,4010.9,,4056.8,5587.1,4339.0,4392.3,179.3,,364.7,-65.1,-150.0,85.9,,131.8,1662.1,414.0,467.3,,False,True,True,True,,True,False,False,False
Massachusetts,9391,9494.4,,8889.6,9344.8,8890.0,8531.4,,9355.1,11346.6,10272.0,9560.6,103.4,,-501.4,-46.2,-501.0,-859.6,,-35.9,1955.6,881.0,169.6,,False,True,False,False,,True,False,False,False
Michigan,7044,6904.9,,7021.0,6717.9,6976.0,7798.9,,6918.6,9220.9,6817.0,7006.2,-139.1,,-23.0,-326.1,-68.0,754.9,,-125.4,2176.9,-227.0,-37.8,,True,False,True,False,,True,False,False,True
Minnesota,2056,1968.3,,2254.2,1901.6,1755.0,1943.5,,1913.2,2840.3,1996.0,2065.8,-87.7,,198.2,-154.4,-301.0,-112.5,,-142.8,784.3,-60.0,9.8,,False,False,False,False,,False,False,True,True
Mississippi,2911,3353.0,,2689.5,2745.8,2353.0,2414.0,,3092.4,2999.9,2756.0,3153.4,442.0,,-221.5,-165.2,-558.0,-497.0,,181.4,88.9,-155.0,242.4,,True,True,False,False,,True,True,True,True
Missouri,2083,1802.4,,2836.9,1885.5,1572.0,1779.7,,2240.4,2769.7,2846.0,2045.0,-266.6,,767.9,-183.5,-497.0,-289.3,,171.4,700.7,777.0,-24.0,,False,True,False,False,,True,False,False,True
