,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-YYG-ParamSearch
Alabama,2501,1976.4,2209.6,3466.3,1136.0,,2338.7,-524.6,-291.4,965.3,-1365.0,,-162.3,True,False,False,,True
Alaska,52,41.7,21.9,44.7,,,14.4,-10.3,-30.1,-7.3,,,-37.6,False,True,,,False
Arizona,5622,3271.0,6932.0,7007.2,3482.0,,4068.0,-2351.0,1310.0,1385.2,-2140.0,,-1554.0,True,True,True,,True
Arkansas,1285,550.4,742.5,1342.8,1584.0,,740.5,-734.6,-542.5,57.8,299.0,,-544.5,True,True,True,,True
California,15583,12037.3,12407.2,14009.1,7429.0,,16304.0,-3545.7,-3175.8,-1573.9,-8154.0,,721.0,True,True,False,,True
Colorado,2040,2652.9,2071.8,5505.8,1752.0,,2891.6,612.9,31.8,3465.8,-288.0,,851.6,True,False,True,,False
Connecticut,4501,6132.4,4799.3,4437.7,4508.0,,5260.3,1631.4,298.3,-63.3,7.0,,759.3,True,True,True,,True
Delaware,633,778.6,537.1,569.8,483.0,,761.6,145.6,-95.9,-63.2,-150.0,,128.6,True,True,False,,True
District of Columbia,624,901.3,684.1,703.3,657.0,,771.8,277.3,60.1,79.3,33.0,,147.8,True,True,True,,True
Florida,14022,6363.0,6937.2,16589.1,7843.0,,8391.1,-7659.0,-7084.8,2567.1,-6179.0,,-5630.9,True,True,True,,True
Georgia,6914,6477.3,3676.0,9501.8,2960.0,,5675.8,-436.7,-3238.0,2587.8,-3954.0,,-1238.2,False,False,False,,False
Hawaii,131,17.0,19.3,27.8,,,21.1,-114.0,-111.7,-103.2,,,-109.9,True,True,,,True
Idaho,460,146.4,182.3,105.2,90.0,,108.1,-313.6,-277.7,-354.8,-370.0,,-351.9,True,False,False,,False
Illinois,8832,12310.3,7798.1,8195.1,8152.0,,11856.4,3478.3,-1033.9,-636.9,-680.0,,3024.4,True,True,True,,True
Indiana,3577,4190.0,3244.4,3361.0,2522.0,,4032.7,613.0,-332.6,-216.0,-1055.0,,455.7,True,True,False,,True
Iowa,1314,1350.3,1300.1,1224.7,870.0,,1134.6,36.3,-13.9,-89.3,-444.0,,-179.4,True,False,False,,False
Kansas,635,423.3,326.9,416.7,343.0,,398.6,-211.7,-308.1,-218.3,-292.0,,-236.4,False,False,False,,False
Kentucky,1154,929.9,796.3,809.0,598.0,,1296.9,-224.1,-357.7,-345.0,-556.0,,142.9,False,False,False,,True
