,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,2501,1676.0,1461.6,708.0,-825.0,-1039.4,-1793.0,False,False
Alaska,52,10.0,11.3,,-42.0,-40.7,,True,
Arizona,5622,2961.7,2228.8,1622.0,-2660.3,-3393.2,-4000.0,False,False
Arkansas,1285,437.4,358.2,1684.0,-847.6,-926.8,399.0,False,True
California,15583,12932.6,8180.8,6964.0,-2651.4,-7403.2,-8620.0,False,False
Colorado,2040,3421.3,1972.4,1991.0,1381.3,-67.6,-49.0,True,True
Connecticut,4501,8782.3,5009.5,4200.0,4281.3,508.5,-301.0,True,True
Delaware,633,968.9,536.6,435.0,335.9,-96.4,-198.0,True,True
District of Columbia,624,1307.0,623.5,685.0,683.0,-0.5,61.0,True,True
Florida,14022,6951.3,3440.2,3000.0,-7070.7,-10581.8,-11022.0,False,False
Georgia,6914,5702.0,2928.2,2470.0,-1212.0,-3985.8,-4444.0,False,False
Hawaii,131,17.0,18.1,,-114.0,-112.9,,True,
Idaho,460,186.1,141.9,93.0,-273.9,-318.1,-367.0,False,False
Illinois,8832,16981.0,8696.1,7988.0,8149.0,-135.9,-844.0,True,True
Indiana,3577,5993.9,2822.3,2817.0,2416.9,-754.7,-760.0,True,True
Iowa,1314,2331.0,772.3,930.0,1017.0,-541.7,-384.0,True,True
Kansas,635,383.6,370.2,480.0,-251.4,-264.8,-155.0,False,True
Kentucky,1154,1408.9,604.7,481.0,254.9,-549.3,-673.0,False,False
Louisiana,5444,6262.4,3604.8,5119.0,818.4,-1839.2,-325.0,False,True
Maine,140,220.9,200.2,419.0,80.9,60.2,279.0,True,False
Maryland,3925,7366.3,4901.4,3532.0,3441.3,976.4,-393.0,True,True
Massachusetts,9391,16639.9,8800.4,8516.0,7248.9,-590.6,-875.0,True,True
Michigan,7044,11245.9,6337.1,6314.0,4439.9,-468.9,-492.0,True,True
Minnesota,2056,3503.0,2133.8,15026.0,1447.0,77.8,12970.0,True,False
Mississippi,2911,2482.1,1492.4,1282.0,-428.9,-1418.6,-1629.0,False,False
Missouri,2054,2221.7,911.3,1081.0,249.7,-1060.7,-891.0,False,False
Montana,171,16.0,17.0,24.0,-155.0,-154.0,-147.0,True,True
Nebraska,469,575.6,469.0,456.0,106.6,-0.0,-13.0,True,True
Nevada,1582,915.7,508.9,588.0,-666.3,-1073.1,-994.0,False,False
New Hampshire,439,869.7,286.1,331.0,430.7,-152.9,-108.0,True,True
New Jersey,16103,24977.3,12948.0,13164.0,10663.3,-1366.0,-1150.0,True,True
New Mexico,870,1245.6,535.7,702.0,375.6,-334.3,-168.0,True,True
New York,33286,45373.1,32618.7,32450.0,13071.1,316.7,148.0,True,True
North Carolina,3440,2534.0,2471.9,2237.0,-906.0,-968.1,-1203.0,False,False
North Dakota,227,231.6,167.4,1806.0,4.6,-59.6,1579.0,False,False
Ohio,4740,8111.9,3608.2,2569.0,3371.9,-1131.8,-2171.0,True,True
Oklahoma,1004,721.7,447.3,2256.0,-282.3,-556.7,1252.0,False,False
Oregon,542,344.4,183.3,160.0,-197.6,-358.7,-382.0,False,False
Pennsylvania,8083,16582.4,6812.0,5826.0,8499.4,-1271.0,-2257.0,True,True
Rhode Island,1107,2554.4,839.4,885.0,1458.4,-256.6,-211.0,True,True
South Carolina,3323,1327.9,751.5,731.0,-1995.1,-2571.5,-2592.0,False,False
South Dakota,218,157.1,169.9,615.0,-60.9,-48.1,397.0,True,False
Tennessee,2374,1014.6,971.9,827.0,-1359.4,-1402.1,-1547.0,False,False
Texas,15987,4831.6,4345.3,8940.0,-11000.4,-11486.7,-6892.0,False,True
Utah,448,400.6,529.3,127.0,-47.4,81.3,-321.0,False,False
Vermont,58,54.0,56.4,55.0,-4.0,-1.6,-3.0,True,True
Virginia,3144,4046.0,2412.3,1729.0,902.0,-731.7,-1415.0,True,False
Washington,2074,2132.4,1469.7,1238.0,81.4,-581.3,-813.0,False,False
West Virginia,337,161.3,99.2,75.0,-175.7,-237.8,-262.0,False,False
Wisconsin,1357,1527.9,1133.4,1775.0,224.9,-169.6,472.0,True,False
Wyoming,50,83.4,29.8,13.0,33.4,-20.2,-37.0,True,False
US,204986,243398.6,142700.0,158245.0,41747.6,-58951.0,-43406.0,False,False
