,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2501,1947.6,2076.1,1874.5,1644.0,,1658.6,1119.4,2584.8,-553.4,-424.9,-626.5,-857.0,,-842.4,-1381.6,83.8,True,False,False,,False,False,True
Alaska,52,39.7,33.0,17.0,,,15.2,21.8,33.9,-12.3,-19.0,-35.0,,,-36.8,-30.2,-18.1,False,False,,,False,False,False
Arizona,5622,4744.0,9256.5,4075.9,2672.0,,3937.9,4069.5,5152.1,-878.0,3634.5,-1546.1,-2950.0,,-1684.1,-1552.5,-469.9,False,False,False,,False,False,True
Arkansas,1285,765.4,1097.4,747.4,751.0,,484.8,348.2,924.5,-519.6,-187.6,-537.6,-534.0,,-800.2,-936.8,-360.5,True,False,False,,False,False,True
California,15583,11293.4,14510.9,9737.8,7098.0,,9941.9,7277.1,14054.1,-4289.6,-1072.1,-5845.2,-8485.0,,-5641.1,-8305.9,-1528.9,True,False,False,,False,False,True
Colorado,2040,2048.9,1969.2,2083.7,1838.0,,1855.0,2313.4,2404.6,8.9,-70.8,43.7,-202.0,,-185.0,273.4,364.6,False,False,False,,False,False,False
Connecticut,4501,5036.0,4506.5,4592.2,4419.0,,4539.2,4465.8,4856.9,535.0,5.5,91.2,-82.0,,38.2,-35.2,355.9,True,True,True,,True,True,True
Delaware,633,1432.7,547.2,574.4,622.0,,566.2,763.9,716.7,799.7,-85.8,-58.6,-11.0,,-66.8,130.9,83.7,True,True,True,,True,True,True
District of Columbia,624,768.6,591.9,625.0,677.0,,627.2,574.6,720.6,144.6,-32.1,1.0,53.0,,3.2,-49.4,96.6,True,True,True,,True,True,True
Florida,14022,6736.1,30760.5,12408.1,6500.0,,7063.8,31536.1,8180.6,-7285.9,16738.5,-1613.9,-7522.0,,-6958.2,17514.1,-5841.4,False,True,False,,True,False,True
Georgia,6914,4513.7,5520.8,5105.1,4339.0,,4205.9,4436.2,5819.5,-2400.3,-1393.2,-1808.9,-2575.0,,-2708.1,-2477.8,-1094.5,True,True,False,,False,False,True
Hawaii,131,30.9,71.0,52.2,,,19.0,33.2,23.5,-100.1,-60.0,-78.8,,,-112.0,-97.8,-107.5,True,True,,,False,True,False
Idaho,460,116.7,524.7,115.8,144.0,,103.5,603.6,156.0,-343.3,64.7,-344.2,-316.0,,-356.5,143.6,-304.0,True,False,True,,False,True,True
Illinois,8832,9986.6,7442.2,8577.1,8747.0,,7672.6,7359.8,10217.8,1154.6,-1389.8,-254.9,-85.0,,-1159.4,-1472.2,1385.8,False,True,True,,False,False,False
Indiana,3577,3634.7,3057.1,2963.9,2915.0,,2858.5,3126.7,3950.9,57.7,-519.9,-613.1,-662.0,,-718.5,-450.3,373.9,False,False,False,,False,False,False
