,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,1964,2023.4,1928.0,1996.0,59.4,-36.0,32.0,True,True
Argentina,31002,23016.0,20942.1,21495.5,-7986.0,-10059.9,-9506.5,False,False
Australia,907,1056.0,984.0,943.2,149.0,77.0,36.2,True,True
Austria,1109,824.6,882.0,813.8,-284.4,-227.0,-295.2,True,False
Bangladesh,5923,6145.6,5918.2,6340.5,222.6,-4.8,417.5,True,False
Belarus,980,955.7,995.1,1120.4,-24.3,15.1,140.4,True,False
Belgium,11625,10082.7,10235.1,10207.7,-1542.3,-1389.9,-1417.3,True,True
Bolivia,8725,9216.0,8746.3,8612.3,491.0,21.3,-112.7,True,True
Brazil,159884,167762.1,159696.2,155145.3,7878.1,-187.8,-4738.7,True,True
Bulgaria,1279,1001.1,990.4,998.2,-277.9,-288.6,-280.8,False,False
Canada,10187,9542.3,9743.6,9525.2,-644.7,-443.4,-661.8,True,False
Chile,14207,14259.9,14500.8,13974.3,52.9,293.8,-232.7,False,False
China,4739,4754.6,4789.4,4814.3,15.6,50.4,75.3,False,False
Colombia,31314,31728.6,29675.5,32049.5,414.6,-1638.5,735.5,False,False
Croatia,546,388.6,347.2,392.8,-157.4,-198.8,-153.2,False,True
Cuba,128,156.0,154.1,146.3,28.0,26.1,18.3,True,True
Cyprus,26,22.0,26.0,24.1,-4.0,-0.0,-1.9,True,True
Czechia,3251,778.3,836.5,856.0,-2472.7,-2414.5,-2395.0,True,True
Denmark,721,679.0,699.3,719.6,-42.0,-21.7,-1.4,True,True
Dominican Republic,2245,2509.7,2632.6,3981.7,264.7,387.6,1736.7,False,False
Ecuador,12670,12185.3,12373.2,19641.6,-484.7,-296.8,6971.6,True,False
Egypt,6266,6484.6,6510.4,6379.6,218.6,244.4,113.6,False,True
Estonia,73,64.0,68.4,64.4,-9.0,-4.6,-8.6,True,True
Finland,358,350.7,354.7,339.1,-7.3,-3.3,-18.9,True,False
France,36826,33330.4,35472.9,39297.1,-3495.6,-1353.1,2471.1,True,True
Germany,10483,9600.9,9668.6,9696.3,-882.1,-814.4,-786.7,True,True
Greece,626,531.3,555.3,488.0,-94.7,-70.7,-138.0,True,False
Honduras,2669,2799.0,2706.2,2234.9,130.0,37.2,-434.1,True,False
Hungary,1750,952.4,971.0,762.5,-797.6,-779.0,-987.5,True,False
Iceland,12,10.0,11.2,10.7,-2.0,-0.8,-1.3,True,True
India,122111,127927.7,134947.8,176769.3,5816.7,12836.8,54658.3,False,False
Indonesia,13869,14414.4,14411.1,14051.7,545.4,542.1,182.7,True,True
Iran,34864,31001.6,30118.6,30894.8,-3862.4,-4745.4,-3969.2,False,False
Ireland,1913,1838.9,1858.6,1916.5,-74.1,-54.4,3.5,True,True
Israel,2539,2058.4,2085.4,2607.2,-480.6,-453.6,68.2,True,True
Italy,38618,36275.1,36778.5,37402.7,-2342.9,-1839.5,-1215.3,True,True
Japan,1769,1859.4,1816.2,2103.5,90.4,47.2,334.5,True,False
Kuwait,779,724.6,746.8,677.2,-54.4,-32.2,-101.8,True,False
Latvia,71,41.9,42.2,36.1,-29.1,-28.8,-34.9,True,False
Lithuania,165,87.0,94.3,84.7,-78.0,-70.7,-80.3,True,False
Luxembourg,152,124.0,137.7,126.3,-28.0,-14.3,-25.7,True,True
Malaysia,249,141.7,138.5,133.6,-107.3,-110.5,-115.4,False,False
Malta,62,49.3,48.6,20.4,-12.7,-13.4,-41.6,False,False
Mexico,91753,89143.3,88414.7,96897.7,-2609.7,-3338.3,5144.7,False,False
Moldova,1785,1671.6,1583.7,1984.8,-113.4,-201.3,199.8,False,False
Morocco,3695,3306.0,3384.6,4196.4,-389.0,-310.4,501.4,True,False
Netherlands,7459,6511.4,6624.1,6734.3,-947.6,-834.9,-724.7,True,True
Nigeria,1144,1191.7,1227.8,1381.4,47.7,83.8,237.4,False,False
Norway,282,278.7,283.6,262.9,-3.3,1.6,-19.1,True,False
Pakistan,6823,6636.7,6751.6,6635.8,-186.3,-71.4,-187.2,True,False
Panama,2700,2790.0,2869.5,2701.0,90.0,169.5,1.0,False,True
Peru,34411,36306.6,34105.4,43267.1,1895.6,-305.6,8856.1,True,False
Philippines,7221,8574.4,7845.2,7889.8,1353.4,624.2,668.8,True,True
Poland,5631,2908.0,2962.3,2687.8,-2723.0,-2668.7,-2943.2,True,False
Portugal,2507,2175.6,2203.6,2226.0,-331.4,-303.4,-281.0,True,True
Romania,6968,6028.1,5961.7,6663.7,-939.9,-1006.3,-304.3,False,True
Russia,27787,24222.1,24378.5,25900.8,-3564.9,-3408.5,-1886.2,True,True
Saudi Arabia,5402,5756.0,5227.0,5269.3,354.0,-175.0,-132.7,True,True
Serbia,820,787.9,807.7,761.0,-32.1,-12.3,-59.0,True,False
Slovakia,219,44.9,50.2,43.6,-174.1,-168.8,-175.4,True,False
Slovenia,338,183.0,166.2,145.1,-155.0,-171.8,-192.9,False,False
South Africa,19276,18916.7,18215.4,18698.7,-359.3,-1060.6,-577.3,False,False
South Korea,466,513.9,500.7,555.9,47.9,34.7,89.9,True,False
Spain,35878,34876.1,36526.9,37744.4,-1001.9,648.9,1866.4,True,False
Sweden,5938,5976.3,5958.1,6117.9,38.3,20.1,179.9,True,False
Switzerland,2297,2185.6,2214.9,2146.4,-111.4,-82.1,-150.6,True,False
Turkey,10252,10141.7,10145.5,13200.0,-110.3,-106.5,2948.0,True,False
Ukraine,7399,5892.7,6184.5,7820.9,-1506.3,-1214.5,421.9,True,True
United Arab Emirates,495,433.3,513.5,488.5,-61.7,18.5,-6.5,True,True
United Kingdom,46645,42738.7,43800.8,59600.4,-3906.3,-2844.2,12955.4,True,False
