,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2437,1962.4,2319.4,2393.2,1802.0,,1863.5,2593.1,-474.6,-117.6,-43.8,-635.0,,-573.5,156.1,True,True,False,,False,True
Alaska,45,37.7,50.4,13.7,,,20.5,43.2,-7.3,5.4,-31.3,,,-24.5,-1.8,True,False,,,False,True
Arizona,5467,4333.0,8125.3,4331.9,7081.0,,3769.6,5323.2,-1134.0,2658.3,-1135.1,1614.0,,-1697.4,-143.8,False,False,False,,False,True
Arkansas,1181,536.7,939.9,584.6,1722.0,,494.9,861.4,-644.3,-241.1,-596.4,541.0,,-686.1,-319.6,True,True,True,,False,True
California,15018,11161.0,16511.5,12621.0,11502.0,,10437.2,13102.7,-3857.0,1493.5,-2397.0,-3516.0,,-4580.8,-1915.3,True,True,True,,False,True
Colorado,2013,1972.4,2016.3,1868.0,1835.0,,1964.1,2280.0,-40.6,3.3,-145.0,-178.0,,-48.9,267.0,True,False,False,,False,False
Connecticut,4492,4541.3,4457.6,4595.4,4935.0,,4544.8,4559.2,49.3,-34.4,103.4,443.0,,52.8,67.2,True,False,False,,False,False
Delaware,621,566.3,685.2,584.0,620.0,,627.1,644.3,-54.7,64.2,-37.0,-1.0,,6.1,23.3,False,True,True,,True,True
District of Columbia,619,656.7,590.5,642.1,674.0,,632.7,660.3,37.7,-28.5,23.1,55.0,,13.7,41.3,True,True,False,,True,False
Florida,13287,7118.4,25520.9,12382.0,5926.0,,6951.0,9077.6,-6168.6,12233.9,-905.0,-7361.0,,-6336.0,-4209.4,False,True,False,,False,True
Georgia,6599,3750.3,6366.6,3613.1,4423.0,,4344.8,5868.4,-2848.7,-232.4,-2985.9,-2176.0,,-2254.2,-730.6,True,False,True,,True,True
Hawaii,120,29.9,45.5,18.1,,,20.5,24.3,-90.1,-74.5,-101.9,,,-99.5,-95.7,True,False,,,False,False
Idaho,441,114.7,670.0,114.1,400.0,,131.8,172.5,-326.3,229.0,-326.9,-41.0,,-309.2,-268.5,True,False,True,,True,True
Illinois,8672,8453.1,7585.4,8407.3,8167.0,,8345.8,8343.1,-218.9,-1086.6,-264.7,-505.0,,-326.2,-328.9,False,False,False,,False,False
Indiana,3503,3496.4,3186.1,3123.6,2939.0,,3072.1,3638.2,-6.6,-316.9,-379.4,-564.0,,-430.9,135.2,False,False,False,,False,False
Iowa,1265,883.9,1238.0,822.3,863.0,,877.6,903.3,-381.1,-27.0,-442.7,-402.0,,-387.4,-361.7,True,False,False,,False,True
Kansas,596,446.9,693.1,481.7,327.0,,357.9,415.3,-149.1,97.1,-114.3,-269.0,,-238.1,-180.7,True,True,False,,False,False
Kentucky,1108,878.1,789.5,925.1,846.0,,763.6,995.0,-229.9,-318.5,-182.9,-262.0,,-344.4,-113.0,False,True,False,,False,True
Louisiana,5342,4254.3,4660.4,4243.5,6090.0,,3959.9,4600.4,-1087.7,-681.6,-1098.5,748.0,,-1382.1,-741.6,True,False,True,,False,True
Maine,139,163.3,132.7,122.6,145.0,,116.9,148.4,24.3,-6.3,-16.4,6.0,,-22.1,9.4,True,True,True,,True,True
Maryland,3876,4057.3,3559.9,3677.1,3717.0,,3664.2,3953.0,181.3,-316.1,-198.9,-159.0,,-211.8,77.0,False,False,True,,False,True
Massachusetts,9295,9518.4,8379.2,10723.2,8965.0,,8877.4,8879.6,223.4,-915.8,1428.2,-330.0,,-417.6,-415.4,False,False,False,,False,False
Michigan,6969,6880.3,6632.1,6806.3,6961.0,,6535.8,7155.5,-88.7,-336.9,-162.7,-8.0,,-433.2,186.5,False,False,True,,False,False
Minnesota,2015,2029.1,1932.6,1864.3,2171.0,,1797.2,2305.7,14.1,-82.4,-150.7,156.0,,-217.8,290.7,False,False,False,,False,False
Mississippi,2809,1892.7,2296.8,2039.8,2458.0,,1888.1,2140.2,-916.3,-512.2,-769.2,-351.0,,-920.9,-668.8,True,True,True,,False,True
Missouri,1825,1452.7,1818.8,1572.9,1421.0,,1644.7,1559.1,-372.3,-6.2,-252.1,-404.0,,-180.3,-265.9,True,True,False,,True,True
Montana,156,33.9,122.0,22.0,52.0,,38.8,44.9,-122.1,-34.0,-134.0,-104.0,,-117.2,-111.1,True,False,True,,True,True
Nebraska,442,468.6,404.8,486.6,435.0,,363.7,484.9,26.6,-37.2,44.6,-7.0,,-78.3,42.9,False,False,True,,False,False
Nevada,1528,903.1,2374.9,926.8,649.0,,769.4,1167.2,-624.9,846.9,-601.2,-879.0,,-758.6,-360.8,False,True,False,,False,True
New Hampshire,438,533.0,455.5,577.1,387.0,,518.6,604.3,95.0,17.5,139.1,-51.0,,80.6,166.3,True,False,True,,True,False
New Jersey,16064,17773.3,13604.0,16547.7,17606.0,,16274.5,16252.4,1709.3,-2460.0,483.7,1542.0,,210.5,188.4,False,True,True,,True,True
New Mexico,847,741.0,824.2,778.1,578.0,,775.1,814.0,-106.0,-22.8,-68.9,-269.0,,-71.9,-33.0,True,True,False,,True,True
New York,33081,35061.4,32774.2,31976.3,34299.0,,32716.4,33296.3,2018.4,-268.8,-1066.7,1256.0,,-326.6,253.3,True,True,True,,True,True
North Carolina,3235,2193.9,2982.5,2013.9,2378.0,,2490.3,2448.7,-1041.1,-252.5,-1221.1,-857.0,,-744.7,-786.3,True,False,True,,True,True
North Dakota,192,90.9,115.4,94.0,128.0,,85.0,110.8,-101.1,-76.6,-98.0,-64.0,,-107.0,-81.2,True,True,True,,False,True
Ohio,4612,4040.1,4413.4,4712.4,3414.0,,4120.0,4439.9,-571.9,-198.6,100.4,-1198.0,,-492.0,-172.1,True,True,False,,True,True
Oklahoma,943,539.1,1180.3,528.2,619.0,,519.9,645.4,-403.9,237.3,-414.8,-324.0,,-423.1,-297.6,True,False,True,,False,True
Oregon,525,356.1,557.2,346.2,453.0,,310.7,482.9,-168.9,32.2,-178.8,-72.0,,-214.3,-42.1,True,False,True,,False,True
