,mean_rank
COVIDhub-ensemble,11.3
JCB-PRM,11.7
YYG-ParamSearch,12.3
CMU-TimeSeries,12.5
Covid19Sim-Simulator,12.8
UMass-MechBayes,13.1
USC-SI_kJalpha,13.2
LNQ-ens1,13.7
Karlen-pypm,14.1
OliverWyman-Navigator,14.5
DDS-NBDS,14.5
SteveMcConnell-CovidComplete,15.3
GT-DeepCOVID,15.9
LANL-GrowthRate,16.5
COVIDhub-baseline,16.6
CovidAnalytics-DELPHI,16.7
NotreDame-mobility,16.7
UCLA-SuEIR,16.8
CEID-Walk,17.2
UA-EpiCovDA,17.4
UMich-RidgeTfReg,18.2
JHU_IDD-CovidSP,18.3
PSI-DRAFT,18.4
IowaStateLW-STEM,18.4
MOBS-GLEAM_COVID,18.4
CU-select,19.5
epiforecasts-ensemble1,19.8
Google_Harvard-CPF,19.9
RobertWalraven-ESG,20.5
IHME-CurveFit,20.8
USACE-ERDC_SEIR,20.9
JHUAPL-Bucky,22.0
