,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2437,1867.6,1980.7,1818.6,1583.0,,1618.2,1119.4,2474.2,-569.4,-456.3,-618.4,-854.0,,-818.8,-1317.6,37.2,True,False,False,,False,False,True
Alaska,45,37.7,31.5,16.6,,,15.2,21.7,32.4,-7.3,-13.5,-28.4,,,-29.8,-23.3,-12.6,False,False,,,False,False,False
Arizona,5451,4499.0,8502.3,3978.6,2612.0,,3842.7,4056.4,4959.3,-952.0,3051.3,-1472.4,-2839.0,,-1608.3,-1394.6,-491.7,False,False,False,,False,False,True
Arkansas,1181,726.4,1016.5,722.5,692.0,,474.7,348.1,880.2,-454.6,-164.5,-458.5,-489.0,,-706.3,-832.9,-300.8,True,False,False,,False,False,True
California,15018,10876.4,13552.0,9576.5,7078.0,,9742.1,7277.1,13495.3,-4141.6,-1466.0,-5441.5,-7940.0,,-5275.9,-7740.9,-1522.7,True,False,False,,False,False,True
Colorado,2013,2019.9,1953.9,2051.8,1836.0,,1852.6,2276.2,2345.4,6.9,-59.1,38.8,-177.0,,-160.4,263.2,332.4,False,False,False,,False,False,False
Connecticut,4492,4980.0,4506.2,4582.2,4419.0,,4537.2,4463.8,4826.6,488.0,14.2,90.2,-73.0,,45.2,-28.2,334.6,True,True,True,,True,True,True
Delaware,621,1360.7,544.6,573.0,619.0,,565.3,755.8,703.1,739.7,-76.4,-48.0,-2.0,,-55.7,134.8,82.1,True,True,True,,True,True,True
District of Columbia,619,751.6,591.6,623.8,674.0,,626.2,574.6,710.1,132.6,-27.4,4.8,55.0,,7.2,-44.4,91.1,True,True,True,,True,True,True
Florida,13287,6478.1,26507.7,11229.4,6200.0,,6873.7,31355.8,7908.2,-6808.9,13220.7,-2057.6,-7087.0,,-6413.3,18068.8,-5378.8,False,True,False,,True,False,True
Georgia,6599,4378.7,5257.0,4967.2,4259.0,,4151.1,4430.5,5631.8,-2220.3,-1342.0,-1631.8,-2340.0,,-2447.9,-2168.5,-967.2,True,True,False,,False,True,True
Hawaii,120,29.9,61.5,43.9,,,19.0,32.6,22.8,-90.1,-58.5,-76.1,,,-101.0,-87.4,-97.2,True,True,,,False,True,False
Idaho,441,114.7,447.0,114.6,137.0,,103.1,588.1,149.2,-326.3,6.0,-326.4,-304.0,,-337.9,147.1,-291.8,True,False,True,,False,True,True
Illinois,8672,9745.6,7432.9,8515.9,8710.0,,7663.9,7359.8,9987.4,1073.6,-1239.1,-156.1,38.0,,-1008.1,-1312.2,1315.4,False,True,True,,True,False,False
Indiana,3503,3555.7,3041.3,2944.9,2896.0,,2856.1,3119.1,3856.5,52.7,-461.7,-558.1,-607.0,,-646.9,-383.9,353.5,False,False,False,,False,False,False
Iowa,1265,943.1,1122.2,824.1,887.0,,885.2,898.6,1015.9,-321.9,-142.8,-440.9,-378.0,,-379.8,-366.4,-249.1,True,False,False,,False,False,True
