,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51,2795.5,169.0,9658.0,0.0,12.5,733.0,65025.0
COVIDhub-ensemble,51,4222.3,169.0,15816.9,0.0,25.0,1040.0,107584.0
SteveMcConnell-CovidComplete,51,4428.3,196.0,15603.1,0.0,20.5,1652.5,105625.0
LNQ-ens1,51,4635.0,310.6,18355.7,0.0,47.1,1498.3,129379.5
CMU-TimeSeries,49,4690.2,225.0,12613.5,0.0,49.0,2405.0,67600.0
OliverWyman-Navigator,51,4873.3,277.9,16521.6,0.0,53.7,1664.3,98766.2
YYG-ParamSearch,51,5454.2,234.8,22500.0,0.0,35.2,1006.5,157191.7
JCB-PRM,51,5640.3,228.7,20059.6,0.1,17.4,1823.9,110747.3
USC-SI_kJalpha,51,5907.9,289.0,16626.7,0.0,25.0,4850.5,111556.0
JHU_IDD-CovidSP,51,6282.9,1112.7,12339.4,1.7,94.4,6216.4,60319.4
Karlen-pypm,51,6433.9,158.8,23629.2,0.2,21.3,951.2,146918.9
DDS-NBDS,51,6640.6,544.3,24503.4,0.0,59.7,2829.1,157825.0
UCLA-SuEIR,51,6808.2,347.8,19280.1,0.0,60.2,3381.5,100228.5
Baseline,51,7377.1,298.8,27301.7,0.0,78.3,2579.2,185145.8
MIT_CritData-GBCF,51,7965.8,796.6,29265.3,0.1,169.6,3068.6,166476.8
Covid19Sim-Simulator,51,8358.7,510.9,32891.1,0.0,42.0,2887.6,229066.5
Google_Harvard-CPF,51,9609.1,934.3,41238.9,0.0,186.8,6640.0,295299.9
CU-select,51,9802.4,1089.0,17051.3,1.0,36.0,11674.0,69169.0
CEID-Walk,51,9880.3,333.0,38541.8,0.1,56.9,2491.5,256820.9
MOBS-GLEAM_COVID,50,9911.1,541.0,42156.5,0.3,119.3,2114.2,294766.5
COVIDhub-baseline,51,10207.5,418.6,36128.2,0.0,49.0,3503.9,236683.5
CovidAnalytics-DELPHI,51,10682.6,676.0,33761.0,0.0,42.5,4886.5,208849.0
NotreDame-mobility,51,10693.4,888.7,25819.6,0.4,31.8,5883.9,128700.9
IowaStateLW-STEM,49,11364.1,1225.0,37559.0,0.0,82.0,4097.0,228484.0
LANL-GrowthRate,51,11979.8,246.1,47231.1,0.1,32.3,3853.2,318104.8
Columbia_UNC-SurvCon,50,12443.1,961.0,35296.2,0.0,36.0,4032.5,194481.0
IHME-CurveFit,51,12961.4,694.8,40578.6,0.1,207.2,7556.3,273600.8
PSI-DRAFT,51,13753.6,1296.0,39254.5,1.0,169.0,7686.5,226576.0
UCSD_NEU-DeepGLEAM,50,17470.7,972.1,68129.4,0.0,83.3,5009.0,463499.4
MITCovAlliance-SIR,51,20436.7,480.1,87190.8,0.0,25.4,3704.0,601125.8
GT-DeepCOVID,48,21141.2,283.3,96882.8,0.0,36.4,4616.6,677884.6
RobertWalraven-ESG,51,29177.8,787.9,112902.0,0.0,206.4,7920.9,707466.0
USACE-ERDC_SEIR,51,33608.3,2339.7,85257.1,0.5,171.3,11398.4,392063.7
UMich-RidgeTfReg,49,37040.9,544.6,180790.8,0.0,84.5,5580.8,1230198.4
IQVIA_ACOE-STAN,49,38317.9,484.0,188507.1,0.0,100.0,5930.0,1320201.0
UA-EpiCovDA,51,40221.6,196.0,147919.8,0.0,30.5,3600.0,912025.0
WalmartLabsML-LogForecasting,51,40788.1,1494.9,164079.9,0.0,330.2,23193.8,1162084.0
epiforecasts-ensemble1,46,45376.9,961.0,152676.2,0.0,144.0,18722.5,844561.0
JHUAPL-Bucky,51,76606.6,2308.7,342456.5,4.9,240.3,20046.4,2339117.9
