,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,2437,1613.0,1388.2,703.0,-824.0,-1048.8,-1734.0,False,False
Alaska,45,10.0,11.3,,-35.0,-33.7,,True,
Arizona,5467,2840.7,2179.4,1606.0,-2626.3,-3287.6,-3861.0,False,False
Arkansas,1181,419.4,345.1,1539.0,-761.6,-835.9,358.0,False,True
California,15018,12418.6,7855.4,6932.0,-2600.4,-7163.6,-8087.0,False,False
Colorado,2013,3304.3,1942.7,1991.0,1291.3,-70.3,-22.0,True,True
Connecticut,4492,8497.3,4958.5,4200.0,4005.3,466.5,-292.0,True,True
Delaware,621,932.9,527.5,435.0,311.9,-93.5,-186.0,True,True
District of Columbia,619,1258.0,615.6,684.0,639.0,-3.4,65.0,True,True
Florida,13287,6687.3,3377.6,2999.0,-6599.7,-9909.4,-10288.0,False,False
Georgia,6599,5485.0,2869.0,2468.0,-1114.0,-3730.0,-4131.0,False,False
Hawaii,120,17.0,18.1,,-103.0,-101.9,,True,
Idaho,441,180.1,137.1,93.0,-260.9,-303.9,-348.0,False,False
Illinois,8672,16302.0,8544.7,7970.0,7630.0,-127.3,-702.0,True,True
Indiana,3503,5768.9,2795.5,2816.0,2265.9,-707.5,-687.0,True,True
Iowa,1265,2226.0,761.2,894.0,961.0,-503.8,-371.0,True,True
Kansas,596,373.6,364.7,463.0,-222.4,-231.3,-133.0,False,True
Kentucky,1108,1351.9,593.6,481.0,243.9,-514.4,-627.0,False,False
Louisiana,5342,6062.4,3549.3,4963.0,720.4,-1792.7,-379.0,False,True
Maine,139,212.9,190.5,395.0,73.9,51.5,256.0,True,False
Maryland,3876,7081.3,4731.0,3531.0,3205.3,855.0,-345.0,True,True
Massachusetts,9295,16064.9,8673.7,8511.0,6769.9,-621.3,-784.0,True,True
Michigan,6969,10908.9,6295.0,6294.0,4177.9,-436.0,-437.0,True,True
Minnesota,2015,3356.0,2102.0,13725.0,1341.0,87.0,11710.0,True,False
Mississippi,2809,2378.1,1462.0,1244.0,-430.9,-1347.0,-1565.0,False,False
Missouri,1825,2135.7,902.9,1076.0,392.7,-840.1,-667.0,False,False
Montana,156,16.0,17.0,22.0,-140.0,-139.0,-134.0,True,True
Nebraska,442,551.6,459.8,452.0,109.6,17.8,10.0,True,True
Nevada,1528,885.7,505.5,588.0,-642.3,-1022.5,-940.0,False,False
New Hampshire,438,832.7,281.9,330.0,394.7,-156.1,-108.0,True,True
New Jersey,16064,24202.3,12916.9,13164.0,9927.3,-1358.1,-1111.0,True,True
New Mexico,847,1193.6,522.3,673.0,346.6,-324.7,-174.0,True,True
New York,33081,44464.1,32581.3,32450.0,12367.1,484.3,353.0,True,True
North Carolina,3235,2436.0,2331.3,2130.0,-799.0,-903.7,-1105.0,False,False
North Dakota,192,221.6,160.6,1688.0,29.6,-31.4,1496.0,False,False
Ohio,4612,7767.9,3523.1,2569.0,3155.9,-1088.9,-2043.0,True,True
Oklahoma,943,698.7,441.4,2038.0,-244.3,-501.6,1095.0,False,False
Oregon,525,333.4,183.3,160.0,-191.6,-341.7,-365.0,False,False
Pennsylvania,7940,15941.4,6747.6,5826.0,8001.4,-1192.4,-2114.0,True,True
Rhode Island,1088,2445.4,827.3,882.0,1368.4,-249.7,-195.0,True,True
South Carolina,3188,1277.9,730.8,717.0,-1910.1,-2457.2,-2471.0,False,False
South Dakota,200,151.1,164.0,573.0,-48.9,-36.0,373.0,True,False
Tennessee,2216,976.6,929.4,805.0,-1239.4,-1286.6,-1411.0,False,False
Texas,15059,4646.6,4148.4,8256.0,-10325.4,-10823.6,-6716.0,False,True
Utah,440,383.6,487.0,127.0,-56.4,47.0,-313.0,True,False
Vermont,58,54.0,56.4,55.0,-4.0,-1.6,-3.0,True,True
Virginia,2990,3885.0,2358.6,1727.0,895.0,-631.4,-1263.0,True,False
Washington,2037,2072.4,1442.4,1238.0,35.4,-594.6,-799.0,False,False
West Virginia,311,156.3,99.0,75.0,-154.7,-212.0,-236.0,False,False
Wisconsin,1296,1470.9,1096.4,1668.0,228.9,-145.6,426.0,True,False
Wyoming,49,79.4,28.8,13.0,30.4,-20.2,-36.0,True,False
US,199352,235240.6,140484.6,154982.0,39132.6,-55623.4,-41126.0,False,False
