,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2437,2244.7,2370.0,3281.0,,2198.6,3225.9,-192.3,-67.0,844.0,,-238.4,788.9,True,False,,False,False
Alaska,45,26.9,70.1,,,28.9,36.2,-18.1,25.1,,,-16.1,-8.8,False,,,True,True
Arizona,5467,6298.1,7332.8,4723.0,,5163.4,5724.4,831.1,1865.8,-744.0,,-303.6,257.4,False,True,,True,True
Arkansas,1181,656.1,851.9,1170.0,,516.9,954.9,-524.9,-329.1,-11.0,,-664.1,-226.1,True,True,,False,True
California,15018,13734.1,16876.7,10760.0,,12428.5,16185.2,-1283.9,1858.7,-4258.0,,-2589.5,1167.2,False,False,,False,True
Colorado,2013,1961.6,2114.9,2032.0,,1935.6,2226.8,-51.4,101.9,19.0,,-77.4,213.8,False,True,,False,False
Connecticut,4492,4476.1,4461.0,4507.0,,4465.5,4449.4,-15.9,-31.0,15.0,,-26.5,-42.6,False,True,,False,False
Delaware,621,566.3,707.8,617.0,,641.6,625.3,-54.7,86.8,-4.0,,20.6,4.3,False,True,,True,True
District of Columbia,619,656.7,594.2,602.0,,625.0,654.7,37.7,-24.8,-17.0,,6.0,35.7,True,True,,True,True
Florida,13287,9279.0,20818.2,8102.0,,11228.1,12094.4,-4008.0,7531.2,-5185.0,,-2058.9,-1192.6,False,False,,True,True
Georgia,6599,4412.6,7045.3,5122.0,,4550.1,5769.4,-2186.4,446.3,-1477.0,,-2048.9,-829.6,True,True,,True,True
Hawaii,120,19.0,56.6,,,21.5,28.1,-101.0,-63.4,,,-98.5,-91.9,True,,,True,True
Idaho,441,190.7,744.3,297.0,,160.7,272.4,-250.3,303.3,-144.0,,-280.3,-168.6,False,True,,False,True
Illinois,8672,11015.4,7965.2,8624.0,,9311.8,8295.3,2343.4,-706.8,-48.0,,639.8,-376.7,True,True,,True,True
Indiana,3503,3420.4,3444.5,3359.0,,3303.8,3625.8,-82.6,-58.5,-144.0,,-199.2,122.8,True,False,,False,False
Iowa,1265,1057.6,1368.3,1001.0,,953.3,1078.4,-207.4,103.3,-264.0,,-311.7,-186.6,True,False,,False,True
Kansas,596,425.1,867.3,709.0,,405.5,483.5,-170.9,271.3,113.0,,-190.5,-112.5,False,True,,False,True
Kentucky,1108,1019.3,1001.4,975.0,,859.5,1289.3,-88.7,-106.6,-133.0,,-248.5,181.3,False,False,,False,False
Louisiana,5342,4677.7,5372.6,6516.0,,4254.1,5105.7,-664.3,30.6,1174.0,,-1087.9,-236.3,True,False,,False,True
Maine,139,163.3,128.0,116.0,,131.3,155.2,24.3,-11.0,-23.0,,-7.7,16.2,True,True,,True,True
Maryland,3876,4068.1,3633.8,3645.0,,3930.4,3919.8,192.1,-242.2,-231.0,,54.4,43.8,False,False,,True,True
Massachusetts,9295,9724.7,8489.6,10698.0,,9003.9,8915.2,429.7,-805.4,1403.0,,-291.1,-379.8,False,False,,True,True
Michigan,6969,7260.3,6822.6,6640.0,,6882.8,7353.5,291.3,-146.4,-329.0,,-86.2,384.5,True,False,,True,False
Minnesota,2015,1855.4,2091.1,2213.0,,1789.0,1970.1,-159.6,76.1,198.0,,-226.0,-44.9,True,False,,False,True
Mississippi,2809,2609.3,2490.6,2318.0,,2056.9,2547.4,-199.7,-318.4,-491.0,,-752.1,-261.6,False,False,,False,False
Missouri,1825,1496.1,1781.7,1638.0,,1818.9,1763.2,-328.9,-43.3,-187.0,,-6.1,-61.8,True,True,,True,True
Montana,156,88.1,177.6,51.0,,78.2,113.2,-67.9,21.6,-105.0,,-77.8,-42.8,True,False,,False,True
Nebraska,442,294.9,423.1,442.0,,324.0,405.2,-147.1,-18.9,0.0,,-118.0,-36.8,True,True,,True,True
