,count,mean,median,std,min,25%,75%,max
IHME-CurveFit,51,811937.5,39766.3,2286401.7,58.0,11611.9,240602.3,12555862.3
YYG-ParamSearch,51,2398452.3,79268.3,11219649.0,3.5,17782.2,386711.3,74968780.7
Covid19Sim-Simulator,51,2596490.9,58806.6,12219150.2,0.1,8067.5,565687.5,85678674.3
IowaStateLW-STEM,49,3611712.7,90601.0,12112855.2,1.0,11612.5,680986.0,55115776.0
Baseline,51,4106792.1,106462.4,15699359.2,10.8,12886.6,1090902.7,100431893.9
UCLA-SuEIR,51,4985288.3,118049.0,19235119.7,45.5,13039.4,649380.8,116573638.9
