,total_deaths_2020-08-16,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
UCLA-SuEIR,170482,199382.0,199605,29330.0,29123,207.0,0.7%
STH-3PU,170482,199653.0,199605,29601.0,29123,478.0,1.6%
Columbia_UNC-SurvCon,170482,199799.0,199605,29747.0,29123,624.0,2.1%
QJHong-Encounter,170482,200042.8,199605,29990.8,29123,867.8,3.0%
YYG-ParamSearch,170482,200300.4,199605,30248.4,29123,1125.4,3.9%
UCM_MESALab-FoGSEIR,170482,201355.0,199605,31303.0,29123,2180.0,7.5%
IowaStateLW-STEM,170482,196398.0,199605,26346.0,29123,-2777.0,-9.5%
USC-SI_kJalpha,170482,195724.0,199605,25672.0,29123,-3451.0,-11.8%
CovidAnalytics-DELPHI,170482,195405.0,199605,25353.0,29123,-3770.0,-12.9%
PSI-DRAFT,170482,193848.0,199605,23796.0,29123,-5327.0,-18.3%
Baseline,170482,204605.7,199605,34553.7,29123,5430.7,18.6%
NotreDame-mobility,170482,205461.1,199605,35409.1,29123,6286.1,21.6%
Auquan-SEIR,170482,191019.0,199605,20967.0,29123,-8156.0,-28.0%
Karlen-pypm,170482,207575.1,199605,37523.1,29123,8400.1,28.8%
LANL-GrowthRate,170482,189571.6,199605,19519.6,29123,-9603.4,-33.0%
USACE-ERDC_SEIR,170482,209333.0,199605,39281.0,29123,10158.0,34.9%
RobertWalraven-ESG,170482,185311.7,199605,15259.7,29123,-13863.3,-47.6%
Covid19Sim-Simulator,170482,183294.2,199605,13242.2,29123,-15880.8,-54.5%
JHU_IDD-CovidSP,170482,216937.4,199605,46885.4,29123,17762.4,61.0%
MITCovAlliance-SIR,170482,179952.0,199605,9900.0,29123,-19223.0,-66.0%
NotreDame-FRED,170482,,199605,,29123,,
