,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2437,2683.0,,3092.6,2917.7,2376.0,2504.4,2429.9,,2510.1,2922.2,2433.0,2631.1,246.0,,655.6,480.7,-61.0,67.4,-7.1,,73.1,485.2,-4.0,194.1,,False,False,True,True,True,,True,False,True,True
Alaska,45,51.4,,93.3,21.9,,48.2,86.5,,54.4,84.1,66.0,64.4,6.4,,48.3,-23.1,,3.2,41.5,,9.4,39.1,21.0,19.4,,False,False,,True,False,,False,False,False,False
Arizona,5467,6919.3,,5036.3,7156.6,6753.0,5305.0,5177.2,,5429.4,5721.9,5549.0,6233.8,1452.3,,-430.7,1689.6,1286.0,-162.0,-289.8,,-37.6,254.9,82.0,766.8,,True,False,True,True,True,,True,True,True,True
Arkansas,1181,896.0,,924.6,739.9,823.0,659.9,652.9,,767.6,773.6,779.0,815.7,-285.0,,-256.4,-441.1,-358.0,-521.1,-528.1,,-413.4,-407.4,-402.0,-365.3,,True,False,False,False,False,,False,False,False,False
California,15018,15896.6,,15226.1,13329.8,14681.0,12088.4,15867.6,,15143.1,15144.3,14543.0,15014.3,878.6,,208.1,-1688.2,-337.0,-2929.6,849.6,,125.1,126.3,-475.0,-3.7,,True,False,True,False,True,,True,True,True,True
Colorado,2013,2186.9,,2261.3,2149.7,2071.0,1963.0,2352.6,,2108.5,2639.6,2085.0,2274.2,173.9,,248.3,136.7,58.0,-50.0,339.6,,95.5,626.6,72.0,261.2,,False,True,True,True,False,,True,False,True,False
Connecticut,4492,4562.3,,4512.6,4687.2,4516.0,4564.4,4480.6,,4549.9,5070.3,4754.0,4565.1,70.3,,20.6,195.2,24.0,72.4,-11.4,,57.9,578.3,262.0,73.1,,True,False,True,False,True,,True,False,False,False
Delaware,621,626.1,,647.9,644.2,625.0,616.7,663.8,,624.8,730.8,632.0,636.4,5.1,,26.9,23.2,4.0,-4.3,42.8,,3.8,109.8,11.0,15.4,,False,False,True,True,False,,True,False,False,False
District of Columbia,619,604.6,,636.9,626.3,600.0,594.1,587.6,,617.9,661.2,585.0,623.7,-12.4,,19.9,9.3,-17.0,-22.9,-29.4,,0.9,44.2,-32.0,6.7,,False,True,False,False,False,,True,False,False,True
Florida,13287,15518.3,,13700.5,14113.4,13379.0,11340.0,9099.3,,14014.1,11978.1,12595.0,13938.1,2231.3,,413.5,826.4,92.0,-1947.0,-4187.7,,727.1,-1308.9,-692.0,651.1,,True,True,True,True,False,,True,True,True,True
Georgia,6599,6185.1,,6106.9,6803.4,5149.0,5184.0,4577.5,,5441.6,6590.4,6010.0,5743.4,-413.9,,-492.1,204.4,-1450.0,-1415.0,-2021.5,,-1157.4,-8.6,-589.0,-855.6,,False,True,False,False,False,,False,True,False,False
Hawaii,120,26.0,,63.6,34.3,,61.8,28.7,,30.4,141.6,26.0,42.3,-94.0,,-56.4,-85.7,,-58.2,-91.3,,-89.6,21.6,-94.0,-77.7,,True,True,,True,True,,True,True,False,True
Idaho,441,546.7,,577.6,325.9,331.0,267.1,445.8,,463.3,335.3,456.0,613.0,105.7,,136.6,-115.1,-110.0,-173.9,4.8,,22.3,-105.7,15.0,172.0,,False,False,False,False,True,,True,True,True,False
Illinois,8672,8564.3,,8778.5,8060.9,8330.0,8193.0,9070.1,,8575.9,11330.7,8729.0,8843.2,-107.7,,106.5,-611.1,-342.0,-479.0,398.1,,-96.1,2658.7,57.0,171.2,,True,False,False,False,False,,True,False,True,False
Indiana,3503,3468.7,,3558.2,3574.6,3162.0,3276.2,3651.3,,3383.6,4629.7,3579.0,3712.0,-34.3,,55.2,71.6,-341.0,-226.8,148.3,,-119.4,1126.7,76.0,209.0,,False,False,False,False,False,,False,False,False,False
Iowa,1265,1214.0,,1217.2,1256.5,948.0,1021.7,1054.7,,1105.4,1330.9,1117.0,1212.5,-51.0,,-47.8,-8.5,-317.0,-243.3,-210.3,,-159.6,65.9,-148.0,-52.5,,True,True,False,False,False,,False,False,False,False
Kansas,596,566.7,,668.3,484.8,567.0,411.3,482.8,,506.4,541.8,503.0,575.5,-29.3,,72.3,-111.2,-29.0,-184.7,-113.2,,-89.6,-54.2,-93.0,-20.5,,False,False,True,False,False,,False,False,False,True
Kentucky,1108,1030.0,,1220.6,951.3,924.0,906.4,1167.8,,1045.9,1356.2,1162.0,1130.6,-78.0,,112.6,-156.7,-184.0,-201.6,59.8,,-62.1,248.2,54.0,22.6,,False,False,False,False,True,,True,False,True,True
Louisiana,5342,5680.1,,5270.0,5328.8,5159.0,5451.5,4239.9,,5082.9,6282.6,4671.0,5187.9,338.1,,-72.0,-13.2,-183.0,109.5,-1102.1,,-259.1,940.6,-671.0,-154.1,,True,True,True,True,False,,True,False,False,True
Maine,139,150.4,,134.5,136.7,168.0,134.6,145.4,,146.2,159.5,145.0,156.4,11.4,,-4.5,-2.3,29.0,-4.4,6.4,,7.2,20.5,6.0,17.4,,True,True,False,True,True,,True,False,True,False
Maryland,3876,4029.3,,4176.6,3828.1,3761.0,3813.4,3976.3,,3991.7,5299.2,4256.0,4285.2,153.3,,300.6,-47.9,-115.0,-62.6,100.3,,115.7,1423.2,380.0,409.2,,False,True,True,True,True,,True,False,False,False
Massachusetts,9295,9385.4,,8841.2,9286.7,8867.0,9313.2,8530.0,,9287.3,10737.4,9995.0,9452.4,90.4,,-453.8,-8.3,-428.0,18.2,-765.0,,-7.7,1442.4,700.0,157.4,,False,True,False,True,False,,True,False,False,False
Michigan,6969,6847.9,,6949.5,6686.7,6927.0,6665.6,7677.6,,6868.6,8882.8,6770.0,6936.3,-121.1,,-19.5,-282.3,-42.0,-303.4,708.6,,-100.4,1913.8,-199.0,-32.7,,True,False,True,False,False,,True,False,False,True
Minnesota,2015,1928.3,,2166.9,1880.6,1737.0,1829.9,1910.7,,1883.3,2682.7,1954.0,2017.2,-86.7,,151.9,-134.4,-278.0,-185.1,-104.3,,-131.7,667.7,-61.0,2.2,,False,False,False,False,False,,False,False,True,True
Mississippi,2809,3143.0,,2542.1,2620.7,2273.0,2236.2,2359.6,,2967.3,2923.8,2737.0,3047.1,334.0,,-266.9,-188.3,-536.0,-572.8,-449.4,,158.3,114.8,-72.0,238.1,,True,True,False,False,False,,True,True,True,True
Missouri,1825,1735.4,,2532.6,1816.0,1544.0,1460.9,1730.8,,2102.0,2567.6,2619.0,1946.6,-89.6,,707.6,-9.0,-281.0,-364.1,-94.2,,277.0,742.6,794.0,121.6,,False,True,False,False,False,,False,False,False,False
Montana,156,163.9,,168.7,84.4,145.0,130.1,199.0,,118.3,150.0,185.0,165.5,7.9,,12.7,-71.6,-11.0,-25.9,43.0,,-37.7,-6.0,29.0,9.5,,False,False,False,False,False,,False,True,False,False
Nebraska,442,441.7,,537.7,597.0,392.0,394.2,420.3,,413.0,517.9,427.0,461.3,-0.3,,95.7,155.0,-50.0,-47.8,-21.7,,-29.0,75.9,-15.0,19.3,,False,False,False,False,False,,False,False,False,False
Nevada,1528,1504.0,,1558.9,1611.4,1482.0,1271.8,1164.8,,1290.4,1620.8,1393.0,1425.0,-24.0,,30.9,83.4,-46.0,-256.2,-363.2,,-237.6,92.8,-135.0,-103.0,,False,False,False,False,False,,False,False,False,False
New Hampshire,438,471.9,,435.6,454.1,429.0,465.9,466.0,,463.9,545.3,482.0,509.8,33.9,,-2.4,16.1,-9.0,27.9,28.0,,25.9,107.3,44.0,71.8,,True,True,True,True,True,,True,False,False,False
New Jersey,16064,16172.0,,15962.8,16612.5,16178.0,16975.4,16063.4,,16143.9,18014.2,17358.0,16469.4,108.0,,-101.2,548.5,114.0,911.4,-0.6,,79.9,1950.2,1294.0,405.4,,True,False,False,False,True,,True,False,False,False
New Mexico,847,928.3,,848.1,808.7,973.0,765.9,868.9,,891.2,944.4,960.0,946.3,81.3,,1.1,-38.3,126.0,-81.1,21.9,,44.2,97.4,113.0,99.3,,True,True,False,True,True,,True,False,False,False
New York,33081,33258.6,,32973.1,33828.7,33120.0,33156.7,28564.4,,32951.6,35255.6,33207.0,33175.5,164.6,,-120.9,734.7,26.0,62.7,-4529.6,,-142.4,2161.6,113.0,81.5,,True,False,True,True,False,,True,False,True,True
North Carolina,3235,3121.3,,3163.8,2927.8,2771.0,2540.8,2563.4,,2832.7,3065.5,3030.0,2995.2,-113.7,,-71.2,-307.2,-464.0,-694.2,-671.6,,-402.3,-169.5,-205.0,-239.8,,True,False,False,False,False,,False,False,False,False
North Dakota,192,146.1,,207.1,150.9,122.0,125.2,187.1,,137.4,177.2,164.0,156.2,-45.9,,15.1,-41.1,-70.0,-66.8,-4.9,,-54.6,-14.8,-28.0,-35.8,,True,True,False,False,True,,False,True,True,True
Ohio,4612,5051.3,,4341.0,4679.3,4136.0,4133.2,4591.1,,4739.6,5644.8,4804.0,4664.5,439.3,,-271.0,67.3,-476.0,-478.8,-20.9,,127.6,1032.8,192.0,52.5,,True,True,False,False,True,,True,False,True,True
Oklahoma,943,920.3,,1161.3,919.8,929.0,709.6,801.2,,793.0,1056.1,1155.0,916.2,-22.7,,218.3,-23.2,-14.0,-233.4,-141.8,,-150.0,113.1,212.0,-26.8,,False,False,True,False,False,,False,False,False,False
Oregon,525,579.7,,542.0,483.6,459.0,467.9,827.4,,523.2,590.2,612.0,653.1,54.7,,17.0,-41.4,-66.0,-57.1,302.4,,-1.8,65.2,87.0,128.1,,True,True,False,False,False,,True,False,False,False
Pennsylvania,7940,7881.3,,7854.1,7893.4,7587.0,7542.3,8013.4,,7774.3,9506.5,7927.0,7902.0,-58.7,,-85.9,-46.6,-353.0,-397.7,73.4,,-165.7,1566.5,-13.0,-38.0,,False,True,False,False,False,,False,False,True,True
Rhode Island,1088,1041.3,,1073.3,1037.6,1103.0,1059.3,1033.9,,1049.5,1194.9,1047.0,1074.2,-33.7,,-1.7,-37.4,28.0,-15.7,-41.1,,-25.5,119.9,-28.0,-0.8,,True,False,True,True,False,,True,False,True,True
