,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,2437,1613.1,1716.6,1280.8,870.0,-823.9,-720.4,-1156.2,-1567.0,True,False,False
Alaska,45,10.0,15.1,12.4,,-35.0,-29.9,-32.6,,True,True,
Arizona,5467,3190.4,2007.5,6905.7,1891.0,-2276.6,-3459.5,1438.7,-3576.0,False,True,False
Arkansas,1181,466.0,535.7,2794.3,486.0,-715.0,-645.3,1613.3,-695.0,True,False,True
California,15018,11466.3,10459.5,10800.8,6694.0,-3551.7,-4558.5,-4217.2,-8324.0,False,False,False
Colorado,2013,2745.3,1894.3,2256.7,1723.0,732.3,-118.7,243.7,-290.0,True,True,True
Connecticut,4492,5957.9,4603.5,4327.3,4427.0,1465.9,111.5,-164.7,-65.0,True,True,True
Delaware,635,873.4,475.1,499.0,466.0,364.4,-33.9,-10.0,-43.0,True,True,True
District of Columbia,619,830.7,593.0,624.7,652.0,211.7,-26.0,5.7,33.0,True,True,True
Florida,13287,6399.4,3946.9,5848.5,4462.0,-6887.6,-9340.1,-7438.5,-8825.0,False,False,False
Georgia,6599,4066.9,3159.1,6602.1,2626.0,-2532.1,-3439.9,3.1,-3973.0,False,True,False
Hawaii,120,17.0,17.8,488.3,,-103.0,-102.2,368.3,,True,False,
Idaho,441,97.9,157.7,284.1,84.0,-343.1,-283.3,-156.9,-357.0,True,True,False
Illinois,8672,13540.6,7502.1,7723.6,7750.0,4868.6,-1169.9,-948.4,-922.0,True,True,True
Indiana,3481,4813.9,2804.7,3215.8,2432.0,1277.9,-731.3,-320.2,-1104.0,True,True,True
Iowa,1265,1645.0,935.2,2672.0,823.0,380.0,-329.8,1407.0,-442.0,True,False,False
Kansas,596,500.4,320.9,996.5,331.0,-95.6,-275.1,400.5,-265.0,False,False,False
Kentucky,1108,1049.4,645.0,1144.3,559.0,-58.6,-463.0,36.3,-549.0,False,True,False
Louisiana,5342,5090.3,3488.1,3253.2,3365.0,-251.7,-1853.9,-2088.8,-1977.0,False,False,False
Maine,139,247.6,167.1,1096.0,126.0,108.6,28.1,957.0,-13.0,True,False,True
Maryland,3876,5973.0,4424.7,3781.5,3731.0,2097.0,548.7,-94.5,-145.0,True,True,True
Massachusetts,9295,14298.9,8770.3,8149.8,8823.0,5003.9,-524.7,-1145.2,-472.0,True,True,True
Michigan,6969,11897.3,6145.3,6807.3,7698.0,4960.3,-791.7,-129.7,761.0,True,True,True
Minnesota,2015,3381.0,1787.2,2957.5,3090.0,1366.0,-227.8,942.5,1075.0,True,True,True
Mississippi,2809,2050.1,1269.6,1483.1,981.0,-758.9,-1539.4,-1325.9,-1828.0,False,False,False
Missouri,1854,1394.4,1060.5,1361.6,1031.0,-416.6,-750.5,-449.4,-780.0,False,False,False
Montana,156,32.9,19.7,19.8,19.0,-123.1,-136.3,-136.2,-137.0,False,False,False
Nebraska,442,439.6,471.0,2843.1,273.0,-2.4,29.0,2401.1,-169.0,False,False,False
Nevada,1528,750.0,563.6,777.7,562.0,-778.0,-964.4,-750.3,-966.0,False,True,False
New Hampshire,438,895.1,332.4,620.7,314.0,457.1,-105.6,182.7,-124.0,True,True,True
New Jersey,16064,19277.7,12896.8,13306.3,13611.0,5053.7,-1327.2,-917.7,-613.0,True,True,True
New Mexico,847,990.3,532.3,818.1,506.0,143.3,-314.7,-28.9,-341.0,False,True,False
New York,33081,39139.7,32086.6,31816.7,32514.0,6910.7,-142.4,-412.3,285.0,True,True,True
North Carolina,3235,2443.4,2944.9,8469.9,1954.0,-791.6,-290.1,5234.9,-1281.0,True,False,False
North Dakota,192,235.4,118.7,261.0,139.0,43.4,-73.3,69.0,-53.0,False,False,False
Ohio,4226,5707.0,3183.9,4629.8,3080.0,1361.0,-1162.1,283.8,-1266.0,True,True,True
Oklahoma,943,556.0,425.2,493.3,427.0,-387.0,-517.8,-449.7,-516.0,False,False,False
Oregon,525,311.6,180.0,350.6,190.0,-213.4,-345.0,-174.4,-335.0,False,True,False
Pennsylvania,7940,11707.6,6756.6,7833.5,6524.0,3767.6,-1183.4,-106.5,-1416.0,True,True,True
Rhode Island,1111,1574.3,907.7,1019.9,942.0,577.3,-89.3,22.9,-55.0,True,True,True
South Carolina,3188,1318.6,1000.2,912.7,659.0,-1869.4,-2187.8,-2275.3,-2529.0,False,False,False
South Dakota,200,109.6,143.7,120.5,89.0,-90.4,-56.3,-79.5,-111.0,True,True,False
Tennessee,2216,1220.3,842.9,1170.8,942.0,-995.7,-1373.1,-1045.2,-1274.0,False,False,False
Texas,15323,4307.3,3904.1,5939.4,2836.0,-10814.7,-11217.9,-9182.6,-12286.0,False,True,False
Utah,440,239.9,650.1,1838.2,292.0,-200.1,210.1,1398.2,-148.0,False,False,True
Vermont,58,55.0,57.8,84.4,56.0,-3.0,-0.2,26.4,-2.0,True,False,True
Virginia,2990,2738.7,2261.7,2362.1,1997.0,-240.3,-717.3,-616.9,-982.0,False,False,False
Washington,2026,1736.4,1678.2,1291.2,1362.0,-276.6,-334.8,-721.8,-651.0,False,False,False
West Virginia,311,217.7,148.5,221.0,86.0,-93.3,-162.5,-90.0,-225.0,False,True,False
Wisconsin,1296,1464.1,1352.5,3739.6,1122.0,216.1,104.5,2491.6,-126.0,True,False,True
Wyoming,49,31.9,27.8,47.5,17.0,-17.1,-21.2,-1.5,-32.0,False,True,False
US,199263,201632.9,142671.0,178354.8,135704.0,5457.9,-53504.0,-17820.2,-60471.0,False,False,False
