,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2437,2529.4,2465.0,,2331.3,2416.0,2542.0,2877.4,2511.2,2185.5,2459.0,,2820.3,2315.0,,2160.6,,2439.7,,2457.0,2266.0,2467.1,92.4,28.0,,-105.7,-21.0,105.0,440.4,74.2,-251.5,22.0,,383.3,-122.0,,-276.4,,2.7,,20.0,-171.0,30.1,True,,False,True,False,False,True,False,True,,False,False,,False,,True,,True,False,True
Alaska,45,37.7,50.0,,67.5,49.0,,122.6,48.6,39.0,85.8,,83.1,49.0,,34.8,,37.5,,49.9,28.0,41.6,-7.3,5.0,,22.5,4.0,,77.6,3.6,-6.0,40.8,,38.1,4.0,,-10.2,,-7.5,,4.9,-17.0,-3.4,True,,False,True,,False,True,True,False,,False,True,,False,,False,,True,False,True
Arizona,5467,6235.1,5657.0,,4297.9,6058.0,6196.0,5633.2,5602.9,5357.2,5186.8,,5995.8,5095.0,,5341.6,,5764.3,,5332.7,5075.0,5859.9,768.1,190.0,,-1169.1,591.0,729.0,166.2,135.9,-109.8,-280.2,,528.8,-372.0,,-125.4,,297.3,,-134.3,-392.0,392.9,True,,False,True,True,True,True,True,True,,True,True,,True,,True,,True,True,True
Arkansas,1181,866.1,876.0,,890.2,852.0,890.0,1168.6,964.0,737.2,651.2,,1117.6,968.0,,692.5,,767.4,,843.0,818.0,875.0,-314.9,-305.0,,-290.8,-329.0,-291.0,-12.4,-217.0,-443.8,-529.8,,-63.4,-213.0,,-488.5,,-413.6,,-338.0,-363.0,-306.0,True,,True,False,True,True,True,False,False,,True,True,,False,,False,,False,False,True
California,15018,15449.3,14521.0,,13822.3,15644.0,15935.0,18495.0,16487.1,13375.0,15807.4,,14521.4,11409.0,,12986.4,,14681.1,14604.0,16254.4,15082.0,15157.8,431.3,-497.0,,-1195.7,626.0,917.0,3477.0,1469.1,-1643.0,789.4,,-496.6,-3609.0,,-2031.6,,-336.9,-414.0,1236.4,64.0,139.8,False,,False,False,False,False,False,False,False,,False,False,,False,,True,True,False,True,True
Colorado,2013,2080.6,2167.0,,2073.9,2014.0,2063.0,2396.1,2069.7,1966.2,2349.9,,2151.3,2076.0,,2016.2,,2124.7,,2337.7,2013.0,2099.9,67.6,154.0,,60.9,1.0,50.0,383.1,56.7,-46.8,336.9,,138.3,63.0,,3.2,,111.7,,324.7,0.0,86.9,False,,True,True,True,False,True,True,False,,False,True,,True,,False,,False,True,False
Connecticut,4492,4511.3,4695.0,,4486.7,4459.0,4515.0,4563.4,4491.7,4474.4,4481.7,,4484.7,4452.0,,4474.0,,4519.2,,4700.8,4475.0,4503.0,19.3,203.0,,-5.3,-33.0,23.0,71.4,-0.3,-17.6,-10.3,,-7.3,-40.0,,-18.0,,27.2,,208.8,-17.0,11.0,False,,True,False,False,False,True,True,True,,True,False,,True,,False,,False,True,True
Delaware,621,602.7,676.0,,615.0,617.0,625.0,639.9,609.7,618.3,663.7,,664.6,602.0,,599.5,,612.7,,751.4,602.0,634.9,-18.3,55.0,,-6.0,-4.0,4.0,18.9,-11.3,-2.7,42.7,,43.6,-19.0,,-21.5,,-8.3,,130.4,-19.0,13.9,False,,True,True,True,False,True,True,False,,False,False,,False,,True,,False,False,True
District of Columbia,619,626.1,663.0,,622.9,614.0,614.0,626.2,618.4,612.5,588.0,,607.6,600.0,,,,632.9,,699.8,627.0,626.1,7.1,44.0,,3.9,-5.0,-5.0,7.2,-0.6,-6.5,-31.0,,-11.4,-19.0,,,,13.9,,80.8,8.0,7.1,False,,True,True,True,False,True,True,False,,False,False,,,,False,,False,False,True
Florida,13287,15601.1,13820.0,,10764.3,12990.0,13966.0,14977.6,16601.7,12302.9,9128.5,,15015.2,11068.0,,12113.1,,14317.4,,12818.8,13014.0,13927.8,2314.1,533.0,,-2522.7,-297.0,679.0,1690.6,3314.7,-984.1,-4158.5,,1728.2,-2219.0,,-1173.9,,1030.4,,-468.2,-273.0,640.8,True,,False,True,True,True,False,True,False,,True,True,,True,,True,,True,True,True
