,mean_rank
JCB-PRM,9.6
COVIDhub-ensemble,9.7
Karlen-pypm,11.0
YYG-ParamSearch,11.4
OliverWyman-Navigator,13.2
USC-SI_kJalpha,13.5
UA-EpiCovDA,13.8
CMU-TimeSeries,13.8
UCLA-SuEIR,14.0
CEID-Walk,14.5
CovidAnalytics-DELPHI,14.6
GT-DeepCOVID,14.7
LNQ-ens1,14.8
UMass-MechBayes,15.2
SteveMcConnell-CovidComplete,15.4
COVIDhub-baseline,15.7
MOBS-GLEAM_COVID,16.2
UT-Mobility,16.3
NotreDame-mobility,17.6
DDS-NBDS,17.7
IowaStateLW-STEM,17.7
LANL-GrowthRate,17.8
Auquan-SEIR,18.5
JHU_IDD-CovidSP,18.9
IHME-CurveFit,19.3
USACE-ERDC_SEIR,19.3
CU-select,19.4
PSI-DRAFT,20.0
Covid19Sim-Simulator,20.1
epiforecasts-ensemble1,20.5
RobertWalraven-ESG,21.9
