,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2437,1687.6,2203.9,1938.0,1345.0,,1824.1,2155.5,-749.4,-233.1,-499.0,-1092.0,,-612.9,-281.5,True,True,False,,True,True
Alaska,45,12.0,22.3,28.3,,,13.8,22.9,-33.0,-22.7,-16.7,,,-31.2,-22.1,True,True,,,True,True
Arizona,5467,3380.4,6340.8,5288.4,4037.0,,4425.1,4176.9,-2086.6,873.8,-178.6,-1430.0,,-1041.9,-1290.1,True,True,True,,True,True
Arkansas,1181,816.4,806.0,1019.1,1601.0,,734.0,810.4,-364.6,-375.0,-161.9,420.0,,-447.0,-370.6,False,True,False,,False,False
California,15018,10863.6,11936.7,11474.6,7859.0,,8284.9,13184.3,-4154.4,-3081.3,-3543.4,-7159.0,,-6733.1,-1833.7,True,True,False,,False,True
Colorado,2013,2277.0,1970.3,1896.2,1763.0,,1876.3,2478.1,264.0,-42.7,-116.8,-250.0,,-136.7,465.1,True,True,True,,True,False
Connecticut,4492,5018.6,4618.4,4517.2,4432.0,,4620.6,4745.0,526.6,126.4,25.2,-60.0,,128.6,253.0,True,True,True,,True,True
Delaware,621,602.1,527.8,504.0,475.0,,517.7,631.4,-18.9,-93.2,-117.0,-146.0,,-103.3,10.4,False,False,False,,False,True
District of Columbia,619,764.4,620.8,666.6,647.0,,647.2,677.6,145.4,1.8,47.6,28.0,,28.2,58.6,True,True,True,,True,True
Florida,13287,6118.1,9050.2,14655.0,6457.0,,5325.3,7748.4,-7168.9,-4236.8,1368.0,-6830.0,,-7961.7,-5538.6,True,True,True,,False,True
Georgia,6599,5111.6,4032.7,6484.1,3239.0,,3800.2,5527.0,-1487.4,-2566.3,-114.9,-3360.0,,-2798.8,-1072.0,False,True,False,,False,True
Hawaii,120,17.0,21.4,40.3,,,18.3,21.7,-103.0,-98.6,-79.7,,,-101.7,-98.3,True,True,,,True,True
Idaho,441,114.7,198.5,121.1,159.0,,97.4,139.3,-326.3,-242.5,-319.9,-282.0,,-343.6,-301.7,True,True,True,,False,True
Illinois,8672,11005.6,7558.6,8555.6,8102.0,,7700.9,9894.5,2333.6,-1113.4,-116.4,-570.0,,-971.1,1222.5,True,True,True,,True,True
Indiana,3503,4057.1,3126.0,3284.0,2697.0,,2861.4,4147.2,554.1,-377.0,-219.0,-806.0,,-641.6,644.2,True,True,False,,False,False
Iowa,1265,1123.1,1106.7,873.0,821.0,,902.1,1095.8,-141.9,-158.3,-392.0,-444.0,,-362.9,-169.2,False,False,False,,False,False
Kansas,594,411.3,347.6,424.1,337.0,,294.5,429.6,-182.7,-246.4,-169.9,-257.0,,-299.5,-164.4,False,True,False,,False,True
Kentucky,1108,873.1,783.1,842.5,647.0,,846.2,996.0,-234.9,-324.9,-265.5,-461.0,,-261.8,-112.0,False,False,False,,False,True
Louisiana,5342,4275.0,3885.0,4086.5,4635.0,,3347.7,4124.7,-1067.0,-1457.0,-1255.5,-707.0,,-1994.3,-1217.3,False,False,True,,False,False
Maine,139,127.7,139.4,116.6,116.0,,110.1,140.9,-11.3,0.4,-22.4,-23.0,,-28.9,1.9,True,False,False,,False,True
Maryland,3876,4698.9,3957.3,3617.3,3714.0,,3572.0,4474.7,822.9,81.3,-258.7,-162.0,,-304.0,598.7,True,True,True,,True,True
Massachusetts,9295,10852.7,8483.2,8842.8,8680.0,,8592.9,9136.2,1558.7,-810.8,-451.2,-614.0,,-701.1,-157.8,True,True,True,,True,True
Michigan,6969,7041.4,6398.9,6522.6,7129.0,,6617.1,6669.0,72.4,-570.1,-446.4,160.0,,-351.9,-300.0,False,False,False,,False,False
Minnesota,2015,2479.1,1939.7,1826.5,3291.0,,1872.2,2819.8,464.1,-75.3,-188.5,1276.0,,-142.8,804.8,True,True,False,,True,False
Mississippi,2809,1542.3,1796.7,1233.3,1382.0,,1232.5,1828.8,-1266.7,-1012.3,-1575.7,-1427.0,,-1576.5,-980.2,True,False,False,,False,True
Missouri,1825,1993.6,1401.5,2690.0,1221.0,,1939.1,1630.5,178.6,-413.5,875.0,-594.0,,124.1,-184.5,False,False,False,,True,False
Montana,156,32.9,30.7,39.3,41.0,,24.1,36.2,-123.1,-125.3,-116.7,-115.0,,-131.9,-119.8,False,True,True,,False,True
Nebraska,442,616.9,404.7,539.8,310.0,,347.7,635.6,174.9,-37.3,97.8,-132.0,,-94.3,193.6,True,True,True,,True,False
Nevada,1528,795.6,781.7,786.0,684.0,,688.1,883.6,-732.4,-746.3,-742.0,-844.0,,-839.9,-644.4,False,False,False,,False,True
New Hampshire,438,583.3,535.9,668.8,343.0,,533.8,657.2,145.3,97.9,230.8,-95.0,,95.8,219.2,True,False,True,,True,False
New Jersey,16064,16539.0,13528.2,13841.2,13937.0,,14119.9,13926.2,2338.0,-672.8,-359.8,-264.0,,-81.1,-274.8,True,True,True,,True,True
New Mexico,847,906.1,751.0,837.7,546.0,,621.7,891.3,59.1,-96.0,-9.3,-301.0,,-225.3,44.3,False,True,False,,False,True
New York,33081,34982.1,31843.9,31870.1,32345.0,,31932.2,32065.8,2630.1,-508.1,-481.9,-7.0,,-419.8,-286.2,True,True,True,,True,True
North Carolina,3235,2282.1,3582.1,1947.2,2750.0,,2434.7,2735.0,-922.9,377.1,-1257.8,-455.0,,-770.3,-470.0,True,False,True,,True,True
North Dakota,192,115.6,106.8,91.9,102.0,,99.6,141.7,-76.4,-85.2,-100.1,-90.0,,-92.4,-50.3,False,False,False,,False,True
Ohio,4612,4512.9,3604.9,3728.5,3222.0,,3458.9,4935.5,-99.1,-1007.1,-883.5,-1390.0,,-1153.1,323.5,False,False,False,,False,False
Oklahoma,943,497.6,542.9,532.2,1256.0,,434.6,612.0,-445.4,-400.1,-410.8,313.0,,-508.4,-331.0,True,True,True,,False,True
Oregon,525,342.3,343.6,820.8,272.0,,261.9,377.3,-180.7,-179.4,297.8,-251.0,,-261.1,-145.7,True,False,False,,False,True
Pennsylvania,7940,9097.3,8167.9,7753.4,6764.0,,7516.7,8228.1,1157.3,227.9,-186.6,-1176.0,,-423.3,288.1,True,True,False,,True,True
Rhode Island,1088,1678.3,1112.7,1126.7,1015.0,,1117.4,1349.0,590.3,24.7,38.7,-73.0,,29.4,261.0,True,True,True,,True,True
South Carolina,3188,1334.4,2430.1,1158.3,1328.0,,1437.2,1803.1,-1853.6,-757.9,-2029.7,-1860.0,,-1750.8,-1384.9,True,False,False,,True,True
South Dakota,200,158.1,143.2,175.7,100.0,,102.5,186.9,-41.9,-56.8,-24.3,-100.0,,-97.5,-13.1,False,True,False,,False,True
Tennessee,2216,1194.6,1072.7,961.3,1675.0,,777.9,1375.7,-1021.4,-1143.3,-1254.7,-541.0,,-1438.1,-840.3,False,False,True,,False,True
Texas,15051,4852.4,5617.7,11716.8,7450.0,8299.0,4077.1,6215.5,-10021.6,-9256.3,-3157.2,-7424.0,-6575.0,-10796.9,-8658.5,True,True,True,True,False,True
Utah,440,402.3,1083.2,389.0,383.0,,240.6,488.3,-37.7,643.2,-51.0,-57.0,,-199.4,48.3,False,False,False,,False,False
Vermont,58,68.9,71.7,65.6,57.0,,64.7,72.0,10.9,13.7,7.6,-1.0,,6.7,14.0,False,True,True,,True,False
